,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X600660.SH,X601991.SH,X600688.SH,X600886.SH,X600352.SH,X600362.SH,X600188.SH,X600795.SH,X600111.SH,X000723.SZ,X600801.SH,X601992.SH,X600027.SH,X000898.SZ,X002271.SZ,X600489.SH,X600516.SH,X600176.SH,X002460.SZ,X000709.SZ,X002466.SZ,X000786.SZ,X000629.SZ,X600299.SH,X600219.SH,X000883.SZ,X601158.SH,X000553.SZ,X600808.SH,X000630.SZ,X000401.SZ,X600985.SH,X601699.SH,X000027.SZ,X600583.SH,X600426.SH,X600339.SH,X000825.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002466.SZ,0,0,0,0,0,0,-0.161392926849039,0.0302365432407737,0,0,0,0,0,0,0,0.0428121696533028,0,0,0,0,0.00143287703281722,0,0,0,0,0,0,0.151062117689664,0,0.738031819033757,0,0,0,0,0,0,0,0,-0.0715069303261933,0,0,0,-0.186476991401378,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.00378136371441997,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0.193838833180121,0,0,3.46944695195361e-18,0,0,0,0,0.22437762555089,0.13226441862998,0.109130779335793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.098917767404499,0,0,0,0.0505762776074916,0,0,0.0698330260986147,0,0,0,0,0,0.00948177308789626,0.10147359944052,0,0,0,0.0616647397018052,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0.0428599306515291,0,0,0,0,0,0,0,0,0,0,0.0595184934042174,0,0,0,0,0,0,0.0677146072177864,0,0.0744185627146784,0,0,0,0,-3.46944695195361e-18,0,0,0,0.158675583367111,0,0,0,0.327730136505966,0,0,0,0,0,0,0,0,0.00786560611748633,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0.301998625338419,0,0,0,0,0,0,0,0,0,0,-0.036438322930805,0,0,0,0,0.135565685852464,0.0848147868632151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112122926554746,0,0.0500754000784786,0,0,0,0.0783399289099764,0,0,0,0.299003966132144,0,0,0,0,-0.0478216763699935,0,0,0,0,0.0703278433686873,0,0
X600219.SH,0,0,0,0,0,0,0,0,0.119535172314615,0,0,0,0,0,0,0.130587475667878,0,0,0,0,0.00288287341712952,0.125726841500593,0,0,0,0,0,0.0316121545071365,0,0,0,0,0,0,0.0630386015845325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0360292966067221,-0.0180842808275145,0,0,0,0,0,0
X000883.SZ,0,0,0,-0.104956460455667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194169076866334,0.132649936397132,0,0.0584135149764885,0,0,0,0.0359524431798998,0.0169495595485758,0,0,0,0,0,-0.014804306335762,0.0756140925860239,0,0,0,-0.0143712835168121,0,0,0,0,0,0,0.138409526615083,0,0.0855643790658647,0,0,0,-0.00828387978241895,0,0,0,0,0.00926806097710179,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136125903236124,0,0,0,0,0,0,0,0.0573541824850733,0,0,0.0719269964137197,0,0,0,0,0,0,0,0,0,0,0.243551210495976,0,0,0,0,0,0.0235807181048018,-0.0396904683765567,0,0,0,0.0103040594998413,0,0
X000553.SZ,0,0,0,0,0,0.13741413682033,0,0.293299134050539,0,0,0,0,0,0,0.29113293420193,0.168069729302404,0,0,0,0,0,0,0,0,0,0.2438874186291,0,0.239440338596901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0170870435759009,-0.0544213897948604,0,0,0,-0.0871740201964333,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0696220270220519,0.0760100485610885,0,0,0,0,0,0,0,0,0.0578213951091567,0,0,0,0,0,0,0,0,0,0,0,0,0.0504080086188379,0,0,0,0,0,0.542892499139908,0,0,0,0,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0.0480790965354265,0,0,0,0,0,0,0,0,0,0,0.393679087418775,0,0,0,0.0223953921554625,0.00620630292146619,0,0.0506085400014056,0,0,0.0268874480453832,0.0643397852743393,0,0,0,0,0,0,0.0347557459192645,0,0,0,0,0,0,0,0,0,0,0.135420076634013,0,0,0,0,0,0,0,0,0,0,0,0,0
X000401.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056634095665556,0.0339128629559039,0.414181161518431,0,0,0,0.248792150475374,0,0,0,0,0,0,0.333875003452153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184823437649197,0,0,0,0.0610688152327782,0,0
X600985.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315698403308208,0,0,0,0,0,0,0.0850985526962932,0,0,0,0,0,0,0,0,0,0,0.153773018067751,0.0610739803778408,0.036498477955785,0.311244281278688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494515588709591,0,0,0.497575112412929,0,0.00519413786433125,0,0
X601699.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725297734194801,0,0,0,0.0366764832039802,0,0.190935279449412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433283920417081,0.0186527045917083,0,0,0,0,0,0.220830502167653,0.165792130678045,0,0,0,0,0,0,0,0,0,0.00721818342360843,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0790377616491812,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296818072203276,0.0211982507329414,0,0,0,0,0.0677940869348565,0,0,0.0962440239944293,0,0,0,0,0,0.0214921395145914,0,0,0,0,0,0.0444168189933692,0,0,0,0,-0.00309476522547591,-0.0084277814460486,0,0,0,0.000413880604491987,0,0
