,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X601600.SH,X600019.SH,X600585.SH,X600547.SH,X600886.SH,X600011.SH,X000792.SZ,X600795.SH,X600362.SH,X600010.SH,X600111.SH,X600489.SH,X002460.SZ,X000708.SZ,X600803.SH,X002466.SZ,X600027.SH,X600160.SH,X000786.SZ,X000301.SZ,X601991.SH,X000807.SZ,X600426.SH,X000983.SZ,X600219.SH,X601699.SH,X000630.SZ,X000408.SZ,X600985.SH,X601168.SH,X600176.SH,X600096.SH,X002128.SZ,X000933.SZ,X000877.SZ,X600378.SH,X600995.SH,X002271.SZ,X002353.SZ,X000883.SZ,X600352.SH,X000027.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.423167943766312,0,0.179455840073123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366486537834994,0,0,0,0,0.0758554489533002,-0.026542613675643,0,0,0,0,0,0,0.082368660361738,0,0.0512693422162883,0,0,0,0,0,0,0,0,-0.0580147767195299,0,0,0.0872109350944711,0,0,0,0,0,0,-0.00371650049441661,0,0,0,0,0,0
X601088.SH,0.175934123974867,0,0,0,0.21050778359719,0,0,0,0.0054940714161829,0,0,0,0,0,0.0348391115417508,0,0,0,0,-0.120411682720155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149243476179674,0,0,0,0,0.0465441468569437,0,0,0,-0.0173446618552139,0,0,0,0,0,0,0,-0.0511327711415734,0,2.16840434497101e-19,0,0,0,0
X600028.SH,0.457142400352411,0.0728458982850274,0,0,0.199187984093652,0.0790373363638453,0,0,0,0,0,0,0,0,0.0414519672610631,0,0,0,0,0,0,0,-0.0748898395052489,0,0,0,0,0.0488998889586616,-0.00442537197307115,0,0,0,0,0,0,0,-0.116363466427912,0,0,0,0,0.0384609231968909,0,0,0,0,0,0,0,0,0,0,0.026179148604898,0.0506026890771606,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.11092422354372,0,0.12048944900648,0.00229576321209513,0,0,0.0740124186195485,0,0,0,0.363313656431652,0,0,0,0,0,0,0,0,0,0.108429858865974,0,0,0,0,0.0136834682128848,0.0784467611789774,0,0,0.0276397741568595,0,0,-0.104611767232291,-0.0312029260476976,0,0,0,0,0,0
X601898.SH,0.19707749598226,0.214451272859911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815681008220548,0.120863615696698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0191038326314124,0,-0.0311830571980651,0,0,0,0
X600188.SH,0,0,0,0,0.0729797660228707,0,0,0,0,0,0,0,0,-0.164653803434216,0.0919983993757474,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0671182021331982,0,0,0,0,0,0,0,0,0.59748449091944,0,0,0,0,0,0,0,0,0,0.275728356899994,0,0,0,0,0,0.0684175619876225,0,0,0,0,0.191632995013035,0,0,0,0,0
X600660.SH,0,0,0,0.0649571056453631,0,0,0,0,-0.0668515944648714,0,0,0,0,0,0,0,0,0.0394273920128138,0,0,0,0,0,0,0,0.433312442685981,0,0,0,0,0,0,0,0,0,-0.0997074797174031,-0.0121413096607266,0,0,0,0,-0.379000552981111,0,0,0.207517200290871,0,0,0,0,0,0,0,0,-0.0932733220309188,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456256828868719,0.0913303582942231,0,0,0,0,0,0.396282129668954,0,0,0,0,0.384419818511311,0,0,0.0136244769145358,0.216669093834327,0,0,0,0,0,0,0,0,0,0,0,-0.0238676705812602,0,0,0,0,0,0
X600019.SH,0,0,0.3261720374615,0,0,0,0,0,0,0,0,0,0.143173268680811,0,0,0,0,0,0,0,0.282135227600569,0,0,0,0,0,0.109006657852244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047130655326014,0,0,0,0,0,0,0,0,0,-0.0553690536504404,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.138296163816278,0,0,0,0,0,0,0,0,0.204290488088232,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0486066733404484,0.0662157053639032,0,0.164398929637522,0,0,0,0,0,0,0,0,0,0,0,0,-0.00546319619462632,0.249976628228237,0,0,0,0,0,0,0,0,0,0.0112212825928001,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0.0532762651502474,0,0,0,0,0,0,0,-0.0865646730950996,0,0,0,0,0.639788089312594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824562686463496,0,0,0,0,0.0153715743471649,0.00138074183505506,0,0,0,0,0,0.0862434911489254,0,0,0,0,0.0203868866891376,0,0,0,0,0
