,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X600362.SH,X600547.SH,X601600.SH,X600688.SH,X600795.SH,X600188.SH,X300072.SZ,X600157.SH,X601991.SH,X600027.SH,X601992.SH,X600111.SH,X600886.SH,X600309.SH,X600660.SH,X600489.SH,X000723.SZ,X600623.SH,X000792.SZ,X600299.SH,X002466.SZ,X601158.SH,X000959.SZ,X000898.SZ,X002075.SZ,X000983.SZ,X000709.SZ,X000408.SZ,X600583.SH,X000883.SZ,X000630.SZ,X600352.SH,X600549.SH,X000012.SZ,X000937.SZ,X601699.SH,X000060.SZ,X000539.SZ,X000027.SZ,X002092.SZ,X600176.SH,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601600.SH,0,0,0,0,0,0,0,0.190451066082883,0,0.0489377399298327,0,0,0,0,0,0,0,0,0,0,0,0.0202807353009368,0,0,-0.0179837397759608,0,0.140799466267108,0,0,0,0,0,0,0,0,0,0,0,0.128355251054081,0,0.0705063917413341,0.092822304219282,0,-3.46944695195361e-18,0.0403670313793023,0,0,0,0,0,0,-0.0419457481711837,-0.0276266081597626,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0.0271486668738511,0,0,0,0,0,0.0151220777847788,0.0245034812792633,0,0,0,0,0,0,0,0,0,0,0.107954559205646,0,0,0.0216392527584893,-0.0268167286886337,0,0,0.00472870554194382,0,0.0639295835602895,0.118107225422622,0,0,0,0.0086795355898286,0.0621397649762674,0,0,0.0907584544119788,0,0.204198877374612,0.0371445645369783,0.0799574113515435,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,-0.0590857196386064,0,0,0,0.0270586838116713,0,0,0,0,0,0.0213978217254021,0,0,0,0,0,0,0,0,0,0,0,0.126677340506244,0,0,0.0644953297972685,0.00781765799500928,0,0,0,0,0,0,0,0,0,0.00982474962409383,0.0823448832082621,0,-0.0166473550111402,0,0,0,0.0668328842956357,0,0,-0.053658282832561,-0.0536013840467378,-0.00624936315496657,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.0643991158328845,0.0935735684349899,0.0912670172418549,0,0,0,0,0,0.497801904645925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218226801418109,0,0,0,0,0,0,0.0664273742382292,0.19599589542197,0,0.128915793813442,0,0,0,0,0,0,0,-0.00558705870769844,-0.0523862540187023,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,-0.108562380498352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0895153896133544,0,0.578424792035644,0.330404554378116,0,0,0,0,0,0,0,0,0,0,0,0,0.167130878853749,0,0,0,-0.858521258811772,-0.117649971882215,0,0,0.724920098340258,-0.402483750983421,0.495935415997679,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0.101084422278209,0,0,0,0.480564431916297,-0.0390615751925823,0,0,0,0,0,0,-0.0110077707330601,0,0,0,0.0733940097882534,0,0,0,0,0.0545296600896957,0,0,-0.086576471958265,0,0,0,0,0,0,0,0.00510996944457637,0,0,0,0,0,0.0913738355986863,0,0.0911006566136058,0,0,-0.0236254975855299,0,0,0,0,0,0.107254424707005
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0264947498699213,0,0,0,0,0,0,0,0.0595512443753213,0,0,0.0793567980218099,0,0,0.0494208708436169,0.0346907931726547,-0.0246037944164127,0,0,0,0,0.0300306911429172,0.121352684397192,0,0,0,0.0079716225085635,0,0,-0.00580671266415406,0,0,0,0.0266711649125953,0,0.0221708345252591,0,0,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0.022855671772813,0,0,0,0,0,0.00726251728568573,0,0,0,0,0,0.365665219016661,-0.0254745419398699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581656384031492,0,0,0,0,0,0,0,0.00456961765346543,0,0,0,0,0,0,-0.00564911398858818,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0.114094597902514,0.0304600764914619,0.0774031763188218,0,0,0,0,0,0,0,0,0,0,0,0,-0.0361826236004591,0,0,0,0,0,0,0,-0.0307782632100825,0,0,0,0,0,0,0,0,0,0,-0.0157558417864916,0.0554047095479947,0,0,0,0,0.171229763059381,0,0,0,0.0149027302944667,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0.00191232440123783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049970741449789,0.0698841205697519,0,0,0.0133035865601552,0,0,0.119238919713931,0.0424367166464363,0,0,0,0,0,0,0,0.0342791137551505,0,0.258913944320041,0,0.0256913308523516,0,0.122816258104446,0,0,0,0,0,0,-0.0012236362184306,-0.0411605588966996,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0.0116239831139496,0,0,0,0,0,0.0152924630197285,0,0,0,0,0,0,0.0298502368852945,0,-0.0184609603919341,0,0,0,0,0,0,0,0,0,0,0,0.215277473225163,0,0,0.139585589920863,0,-0.00331994166385891,0.105413018074344,0,0.127637530740768,0,0,0,0.00225407337893045,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.31427511945001,0,0,0,0.0899418984180596,-0.400129918115816,0,0,0,0.0647757674591838,0,0,0,0,0,0,-0.0783450936613384,0,0,0,0,-0.0229939898827014,0,0,0,0.0796669179915083,0.00551515173157289,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0.0215320909859241,0,0,0,0,0,0.0839767550056038,0,0,0,0,0,0,0,0,0,-0.0172536709951614,0,0,0,0.0691865225854587,0,0,0.0920704221701071,0,0,0,0.0267693522899836,0,0,0,0,0,0,0,0,0,0,0,0,0.0759572057705177,0.0681921547837313,0,0,0,-0.0544245280101328,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0.0280306939085119,-0.0631823385379273,0.809209560873984,0,0.0585361371350008,0,0,0,0.018924119276652,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032918487139424,-0.0470328553005709,0,0.177199876484511,0,0,0,0,0,0,1.73472347597681e-18,0,0.0332633708219932,0,0.0194873712319029,0,0,0,0,0,0,0,0,-0.00361670868287975,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188957626483581,0,0,0,0.121113219677641,0,0,0,0,0.156209709830571,0,-0.0887489479531555,0,0.268616550603944,-0.266787525581597,0,0,0.0507743272477309,0,0,0.149802918064793,0,0,0,0,0,0,0,-0.253656813558475,0,0,0.0120616703090588,0,0,0,0,0,0
X600623.SH,0,0,0,0,0.0376276620202816,0,0,0,0,0,0,0,0,0,-0.0323426244548423,0.411668231783842,0,0,0,0,0,0,0,0,0.101378110750458,0,0.246443893110888,0,0.117207152280217,0,-0.106341776718848,0,0.0664608323033348,-0.150796719840885,0,0.125286189423969,0,0,0,0,-0.163741517307256,0,0,0,0,0,0.0296644195345318,0.000379566652698031,0,0,0,0,0.0216889084754138,0,0,0,0,0,0
