,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601991.SH,X600688.SH,X600188.SH,X601600.SH,X600886.SH,X600795.SH,X600362.SH,X002466.SZ,X600516.SH,X000898.SZ,X300072.SZ,X600027.SH,X600547.SH,X002460.SZ,X600111.SH,X601992.SH,X600176.SH,X600352.SH,X000553.SZ,X002110.SZ,X600299.SH,X000786.SZ,X600808.SH,X000709.SZ,X000932.SZ,X600426.SH,X600801.SH,X000883.SZ,X601158.SH,X000408.SZ,X601699.SH,X600219.SH,X600339.SH,X600315.SH,X601003.SH,X000539.SZ,X000830.SZ,X002271.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.238941630961898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767093765256187,0,0,0.025881664775561,0,0,0,0,0,0,0,0.0151225959093056,0,0.0920923822329941,0,0.00654871336165999,0,0.152608012341472,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0.0426860978155018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265196127614972,0,0,-0.0140775800102705,0,-0.121394207071866,0,0,0,0,0,0,0,0,0,0,0,0.390285469647065,0,0,0,-0.107928008062536,0,0,0,0,0,-0.00488918241030356,0,0,0,0,0,0
X601088.SH,0,0,0,0.247810637443342,0,-3.46944695195361e-18,-0.1350047116609,0,0,0,0,0.0586732250453056,0.398878669907397,0,0,0,0.0483129959448995,0.0279649211252988,0,0,0,0,0,-0.079366944830628,0,0,0,0,-0.000283993239813558,-0.170135814901322,0,-0.0717011339406138,0,0,0,0,0,0,0,0,0.132115001337503,0,0,0,0,0,0,0.0447865618053804,0,-0.0020827875522948,-0.00416282170084453,0,0,0,0,0,0
X600585.SH,0,0,0.159867425034738,0,0,0,0,0,0,0,0,0,0,0,-0.188958065218083,0,0,0,0,0,0.127637946219395,0,0,0,0,0,0,0,0,0,0,0.118581672728282,0,0,0,0,0.29165068998012,0,0,0,0,0,0,0,0,0,0.124001216401744,0,0,0.00734676034678742,-0.00748945724076346,0,0,0,0,0,0
X600019.SH,0,0,0,0.277477127262109,0,0,0,0,0,0,0,0,0.178575630614771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22744727617656,0,0.0010270868737292,0,0,0,1.73472347597681e-18,0,-0.08190989924594,0,0,0,0,0.116958491288547,0,0.00621750718199801,0.00152248957758712,0,0,0,0,0,0
X600309.SH,0,0,0.179839951768742,0,0,0,0,0,0,0,0,0,0,0,0,0.247607210699008,0,-0.236098823923116,0,0,0,0,0,0,0,0,0,0,0,0,0.243708485474698,0.191072343716209,-0.270895332251407,-0.09798735624796,0,0,0.0365181525845853,0,0,0,0,0,-0.0361789336473141,0,-0.0683221185800311,0,0.187323109664783,0,0.13012649976048,0.0352418066615636,0.0632565885301717,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0694165701865366,0,-0.0272333435674605,0,0,0,0,0,0,0,0,0,0,0.208017755547658,0,0,0.538538368034781,0,3.46944695195361e-18,0,0,0,4.33680868994202e-19,0,-0.0482952313603857,0,0,0,0,0,0,0,0,0,0,-0.0195462644337888,0,-0.0481427908511054,0,0,0,0.123507739304165,-0.0680863147530969,0,-0.00201872312112994,0.00983088151724811,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391239613091489,0,0,0,0,0,0,0,0.237162543836625,0,0,0,0,0,0,0,0,0,0,0.27824798919075,0.0203396114684362,0.187912741678754,0.00254783009935722,0,0.30356998171722,0,0,0,-0.0147606226489368,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257983220187055,0,0,0,0,0.0251397198811952,0,0,0,0,0,0,0.157431104526273,0.0633783539734929,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466903651570575,0,0,0,0.0341026408518806,0,0.026721999109093,0,0,-0.00208941921800521,0.00010647136120624,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,-0.0788824369082202,0,0,0,0,0,0,0.0196473601857345,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843224390906216,0,0,0,0.131729361218848,0.0321390047365471,0,0,0,0.0843756797257348,-0.00193387684691427,0,0,0,0,0,-0.0261868174435323,0,1.35525271560688e-20,0,0,0.154169090148849,0.031590362803824,-0.0065855365029387,0,0,-0.0851253355917825,0,0,0,0
