,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X601898.SH,X600010.SH,X601600.SH,X601991.SH,X600795.SH,X600188.SH,X600886.SH,X600362.SH,X600111.SH,X600688.SH,X600027.SH,X601992.SH,X600583.SH,X600309.SH,X000709.SZ,X000898.SZ,X600157.SH,X600352.SH,X601158.SH,X000792.SZ,X600660.SH,X000027.SZ,X600808.SH,X000629.SZ,X600547.SH,X000539.SZ,X600489.SH,X002353.SZ,X600008.SH,X600021.SH,X000060.SZ,X000825.SZ,X002470.SZ,X000831.SZ,X600307.SH,X600219.SH,X000630.SZ,X600549.SH,X600315.SH,X600578.SH,X601699.SH,X000959.SZ,X002004.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000709.SZ,0,0,0,0,0.160709571262576,0,0,0,0,0.137697024817437,0.0281954953857881,0,0,0,0,0,0.035264833084756,0,0,0,0,0.357921396313529,0,-0.0474550696013266,0,0,0,0,0.0740997315776481,0.0639655645058288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0944369634961055,0,0,0,0,-0.0236128748247841,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0.144229108408069,0,0,0.0256704578421217,0,0,0,0,0,0,0,0,0.0840902192852844,0,0,0,0.204334848761491,0,0,0,0,0,0,0,0.109889543500655,0,0.0372828732501511,0,0,0,0,0,0,0.238292336692415,0,0,0.137658500560705,0,0,0,0,0,0,0,0,0,-0.0223904944727388,-0.0118923039777299,0,0,0,0,0,0
X600157.SH,0,0.134197461775062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036566743835792,0,0,0.0448373127867426,0,0,0,0,0,0.125362564764069,-0.0222366914140596,0,0.0594951366090626,0.0142171847870693,0,0,0,0,0,0,0,0,0,0,0,0,0.0496516017081483,0,0,0,0,0,0.0685474204992975,0,0,0.0267985579981524,0,0,0,0,-0.0230869037230451,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0.071133532677176,0,0,0,0,0,0.0443762302880707,0,0.0330096613670639,0,0,0,0,0,0.304438823272356,0,0,-0.093235965544887,0,0.0325770825110936,0,0,0.228132212057485,0,-0.242542005823526,0.0427670044696762,0,0.151112554288208,0,0,0,0,0,0,0,0,0,0,0,0.0881893243040676,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0.0757986387415569,0,0,0,0,0,0,0,0.0119805662203709,0,0,0,0,0.111654661164137,0,0,0,0.0647081770919468,0,0.00799160222073347,0,-0.0141502032151245,0,0,0,0.332984473751162,0,0,0,0,0,0,0,0,0,0,0.190972007666026,0,0,0,0,0.0454226903412838,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0.158998021099774,0,0.0404301168539333,0,0,0,0,0,0.00123988566420722,0,0,0,0,0,0,0,0.0513051216197274,0.0595469870167532,0,0,0,0,0,0,0,0,0,0,0.0768090135105451,0.148840722425357,0,0,0,0,0,0,0,0,0,0,0.0548068924374631,0,0,-0.0338297892191779,-0.0322327309361878,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.0191712781548503,0,0,0,0,0,0,0,0,0,0,0.00749756620900535,0,0,0.069031156174315,0,0,0,0.0525166982986368,0.086142457757937,0,0,0,0,0.101504429738393,0,0,0,0,0.258916899273591,0,0,0,0.246553406170863,0.102190189052857,0,0,0,0,0,0,0,0,0,0.0287525454425978,0,0,0.00626561833209968,0,0,0,0,0,0
X000027.SZ,0,0,0.131997038954107,0,0,0,0,0.109983408873739,0,0.161271017843112,-5.42101086242752e-20,0,0.230751090790173,0,0,0,0,0,0,0.0306051830704627,0,0,0.0771032323581652,0,0,0,0,0,0,0,0,0,0,0,0.0522551519460358,0,0,0.0972031760235522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600808.SH,0.0134828287674586,0,0,0,0,0,0,0,0.0208774420933013,0,0.0536280186026002,0.128872390637182,0,0,0,0,0.038898352154292,0,0,0.0196965669734723,0.133485030066968,0,0,0,0,0,0,0,0,0,0,0.387338888282249,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0.217729453653277,0.0563208594492653,0,0,0,0,0,0,0.0768804028726467,0,0,0,0.161662935682422,0,0,0,0,0,0,0,0.07029740175496,0,0,0,0,0,0,0.0965079500277857,0.164701843089498,0,0,0,0,0,0,0.0656787269858127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
