,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X600688.SH,X601600.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X601158.SH,X601992.SH,X000027.SZ,X000539.SZ,X600309.SH,X000898.SZ,X000709.SZ,X000883.SZ,X600021.SH,X600352.SH,X600660.SH,X000792.SZ,X002470.SZ,X600022.SH,X600098.SH,X601918.SH,X000629.SZ,X600489.SH,X600808.SH,X600863.SH,X600307.SH,X600623.SH,X600578.SH,X600160.SH,X600612.SH,X600547.SH,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.794396432362559,0.0777188314266078,0,0,0,0,0,0,0,-0.0501981188680501,0,0,0,0,0,0,0,0,0,-0.0845218421747487,0,0,0,0,0,0,0,0,0,0,0.0113253357480319,0,0,0.0339866375686159,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136661006924887,0.0308943789684463,0.0490257497509098,0,0,0,0
X600028.SH,0.381244800146105,0,0.165995156127693,0,0.0128219616526249,0,0.170234817121799,0,0,0.0181392407594462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11554610718698,0,0,0.00697067101453159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164587515548299,0.102911635332813,0,0,0,0,0
X601088.SH,0,0,0,0.108104381319183,0.217334015727317,0.279806793877027,0.0623485778883738,0,0,0,0,0,0,0,0,0,0,0,0.151946720233695,0,0,0,0,0,0,0,0,0,0,0,0,0.0858198810229174,0,-0.00542804030419683,-0.0226173695462279,-0.108790595619828,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0123712458183566,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0.229043137627329,0.148941514068382,0,0,0,0,0.391308949031426,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130843117350481,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0276438290283433,0,0,0,0,0,0,0,0,0,0,0,0.334832258090446,0,0,0,0,0,0,0,0,0,0.0245689540058624,0,0,0,0.12735026181413,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0939828017140792,0,0,0,0.111708133392106,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0.147633324871147,0.0740159802248944,0,0,0,0,0,0.0485444727345619,0,0.0693731427560007,0,0,0,0.048735708962411,0,0,0.173736215089263,0,0,0.0382032227665106,0,0.0461197930885256,0,0,0,0.0327412879843011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121340137206877,0,0,-0.0225017693395358,0,0,0,0,0,0,0
X600585.SH,0,0.104070711740548,-1.73472347597681e-18,0.00101356032590177,0,0.189845167463394,0,0,0,0,0,0,0,0.114177933558644,0,0,0,0,0,0,0,0,0,0.266077375333444,0,0,0,0,0,0.199654206489203,0,0,0,0,0,0,0,0,0,0,0,0,-0.0218574306923362,0,0,0.0302857802109672,0,0,-0.000444122155846976,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.19819570549362,0,0,0,0,0,0,0,0,0.0638198154005927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213493819302604,0,0,0,0,0,0.212566026739535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.00945515080215063,0.0952449696465498,0.0537350880107834,0.0874596232439615,0,0,0,0.00855181518458226,0,0.0199380138816596,0,0.0718283734040473,0.04227452276075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520062750277687,0.0044341270295831,0.202254396583153,0,0,0.238245385216763,0.00997051457766464,0,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112511031080779,0,0,0,0.160832967886568,0,0,0.174511269625392,0,0,0,0,0,0,0,0,0,0,0,0,0.162339735052433,-0.0299305213104515,0,0,0,0,0.052391809760364,0,0,0,0,0.0271611311713819,0,0,-0.0395500965205141,0,0,0,0,0,0
