,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X601600.SH,X600886.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X000898.SZ,X601992.SH,X002466.SZ,X600176.SH,X600111.SH,X600516.SH,X000709.SZ,X600299.SH,X600489.SH,X002460.SZ,X600352.SH,X000629.SZ,X601158.SH,X600808.SH,X600219.SH,X000825.SZ,X600801.SH,X000883.SZ,X000539.SZ,X000786.SZ,X000553.SZ,X600612.SH,X000408.SZ,X300072.SZ,X600583.SH,X000301.SZ,X600021.SH,X002470.SZ,X000630.SZ,X002110.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0909419971593972,0,0,0,0,0,0,0,0.203742036841466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0753043343137239,0,0,0,0,0,0,0,0,0.269344991851232,0,0,0,0,0,0,0,0.0634757024551184,0.148927936718909,0,0,0,0.0469894069331926,0,0,-0.0266924844280529,0.0236991676160423,0,0,0,0,0,0
X600028.SH,0.153215297232733,0,0,0,0,0,-0.0125258572144937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318603709332701,0,0,0,0.0384576426628832,0,0.233126813332762,0,0,0,0,0,0,0,0,0,0,0,0.0610453745675711,0.244480286017147,0.10416431022339,0,0,0,0,0,0,-0.00717079518750009,0.178753538282318,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.372511881606068,0,0,0,0,0,0,0,0,0.032035711880398,0,0,0.0479873428427529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0454485027850124,0,-0.0474987867691831,0,0,0,0,0,0.0634890234203717,0,0,-0.0039163305683447,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,-1.73472347597681e-18,0.217359000040752,0,0.0199532474410547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451503777327673,0,0,0,0,0,0.264243118881981,0,-0.127169754220584,0,0,0,0.0189151870584523,0,0,0,0,0,0,0,0,0,-0.0306201385759001,0.0286857730425246,0,0,0,0,0,0
X600019.SH,0,0.0766606666572991,0.0449827909957105,0,0,0,0.0213921048496711,0,0,0,0,0,0,0,0,0,0,0,0,0.607853163287114,0,0.00985672909654575,0.00406137091311878,0,0.0533448256181594,0,0.0504516590123797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571017003271569,0,0,0,0.0225095182182639,0,0,0,0.0306756008690338,0,0
X600011.SH,0,0,0,0.183505569528278,0.141036169733578,0,0.0827484571213601,0,-0.0327714644577865,0,0,0,0,0,0,0,0,0.608278306857267,0,0,0,0,0,0,0,0,0,-0.188863538217024,0,0.0286927668349465,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0899639344824208,0,0,0.0233995323859932,0,0,0,-0.0991253496650329,-0.0154779124670702,0.00084640879465379,0.0710388097221327,0,0,-0.120187320169789,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244388878303011,0,0,0,0,0,0,0,0,-0.329330906487371,0,0,-0.382689308374953,0,-0.0837880933288028,0,0,0,0,0.0997094365196123,0.246644340476257,0,0,0.108277772672003,0,0,0,0,0.550551015184889,0,0.0582781279843096,0,-0.470491772218611,-0.0475951689965334,0.0449068459570434,0,0,0,0,0,0
X600010.SH,0,0.134954750310301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163980176837249,0,0,0,0.0315525463938199,0,0,0,0,0,0,0,0,0.174922899079285,0,0.0526729483934298,0,0,0,0,0,0,0,0,0.0599350551244441,0,0,0,0,0,0,-0.00813303711271402,-0.0104126022875507,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100998126630203,0,0,0,0.571374201981598,0.123449675785784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346322774209604,0,0,0,0,0,0.125531389493577,0,0,-0.000724460283241156,0,0,0,0,0.011861122535877,0,0
X601898.SH,0.221072404116614,0,0,0,0,0,0,0,0,0,0.413229420464627,0,0,0,0,0,0,0,0.220458460443725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0709635785247449,0,0,0,0.030160015188705,0,0,-0.0189631031730589,0.037753080038818,0,0,0,0,0,0
