,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X002466.SZ,X600027.SH,X600111.SH,X600623.SH,X600188.SH,X600362.SH,X600547.SH,X600157.SH,X600886.SH,X601992.SH,X600299.SH,X600660.SH,X000792.SZ,X600309.SH,X601158.SH,X600489.SH,X600583.SH,X000883.SZ,X000709.SZ,X300072.SZ,X600352.SH,X000898.SZ,X000539.SZ,X002460.SZ,X000723.SZ,X002407.SZ,X000027.SZ,X600549.SH,X000630.SZ,X002470.SZ,X002075.SZ,X600021.SH,X000012.SZ,X000983.SZ,X600098.SH,X600176.SH,X000629.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.144385342553533,0,0,0,0,0.0220432489747487,0,0,0,0.00431943023140524,0.0675068934948931,0.00698037664287141,0,0,0,0,0,0,0,0.0394747787650178,0,0,0.179801235540433,0,0,0.0774237304951817,0,0,0,0,0,0,0,0,0,0,0,0,0.0423405986820966,0,0,0,0,0,0.0302459343290877,0,0,0,0,0.00376961876140187,0,0,0,0,0,0
X600028.SH,0.140422400053148,0,0,0,0,0,0,0.0883556576975822,0,0,0,0,0,0,0,0,0,0,0,-0.00610480514116618,0,0,0,0,0,0.0703288035547039,0,0,0.223053529041138,0,0,0,0,0,0,0,-0.0456444216716814,-0.0156038156128511,0,0.0319337196554344,0,0,0,0,0,0,0,0,0,0,0,0.00477592071803009,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.314568856589443,0,0,0,0,0,0,0,0,0.0636436615404237,0,0.0089244293976947,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.116546454975397,0,0,0,0,0,0,0,0,0,0,0,0.109684935298733,0,0,-0.0358510290055275,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0220187841922979,0,0,0,0,0,0,0.328208618986299,0,0,0,0,0,0,0,0,0,0,0.040296422693691,0,0,0,0.153600089558402,0,0,0,0.00706510145992892,0,0,-1.73472347597681e-18,0,0,0,0.0037887188337023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.100733520094182,0,0,0.0559538843170807,0,0,0,0,0.224885437247843,0,0,0,0,0.0784737430791983,0,0,0,0,0,0,0,0.0398151046199797,0,0,0.00764649353420049,0,0,0.0833444560173498,0,4.33680868994202e-19,0.0746272238795955,0,0,0.0941739686765364,0,0,0,0,0.0762352163495115,0,0,0,0.0345504902420884,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0480844923239757,0,0,0,0,0,0,0,0.0418564697851587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180608931806058,0.203737156986866,0,0,0,0,0,0.117320315870332,0,0,0,0,0.079504058462476,0,0,0,0.0306444828559802,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.123947667048299,0,0,0,0,0,0,0,0,0,0,0,0.201868883083317,0.0394338632523082,0,0,0,0,0,0.198871085404822,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159932191554014,0,0,0,0,0,0,0,0,0,0,0,-0.0257481013849438,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16059370290393,0,0.0293615582900748,0,0,0,0,0,0,0,0.167161192805419,0,0,0,0,0.283977281299373,0,0,0,0,0,0,0,0,0,0,0.0362634081285773,0,0,0,0,0.0217067838541636,0.208681531507458,0,0,-0.0621587638267909,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062747912482816,0,0,0.0301389924241713,0,0.131098086894928,0,0,0,0.0734404743947214,0,0,0,0.153863499175055,0,0,0,0.139852286677629,0,0,0.0562798716291016,0,0,0,0,0.0375564039116495,0.0131041107518213,0,0.074475587399208,0,0.0839616373585378,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.152811546383007,-0.0291485524128929,0.0442192150940071,0,0,0,0,0,0,0,0,0.143786146623524,0,0,0,0,0,0,0,0.153372007586581,0,0,0,0,0,0,0,0.101138549080257,0,0,0,0.177408312726644,0,0,0.158002006680456,0,0,0,0,0,0,0,0,0,-0.201260970762785,0,-0.0108883649091821,0,0,0,0,0,0,0
