,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600547.SH,X600688.SH,X600188.SH,X601600.SH,X600795.SH,X601991.SH,X600111.SH,X600362.SH,X600157.SH,X600489.SH,X600027.SH,X002466.SZ,X600886.SH,X601992.SH,X600623.SH,X000792.SZ,X600299.SH,X600309.SH,X600660.SH,X300072.SZ,X600549.SH,X002075.SZ,X601158.SH,X600583.SH,X000883.SZ,X000709.SZ,X000723.SZ,X600352.SH,X000898.SZ,X002460.SZ,X000983.SZ,X002407.SZ,X000539.SZ,X000060.SZ,X000630.SZ,X000027.SZ,X002470.SZ,X600612.SH,X600176.SH,X000012.SZ,X600021.SH,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0730180415094104,0,0,0,0,0,0,0,0,0,0,0,0,0.0525378895691021,0,0,0,0,0.016690044644277,0,0,0,0,0.0319476398174932,0.104238047235306,0,0,-0.0203471063233962,0,0,0.118485177931333,0,0,-0.0296401738227516,0,0,-0.0495285464645743,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00564761937646236,0.0299580376938142,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,-0.00487041003695608,0.154438702107696,0.00616047687436234,0,0,0,0,0,-0.0307764075399772,0,0,0,0,0,0.0175182382189998,0,0,0.0484120977030334,0,0,0,0,0,0.110044946184573,0,0,-0.0876677073395608,0.0359701033053097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.166915545220033,-0.0194897789708856,0,0.00798265592056294,0,0,0,0,0,0,-0.00352546392022949,0,0,0,0,0.0513569232222845,0,0,0,0,0,0,0,0,0,0,0,0,0.0160684491757271,0,0,0.09424493083547,0,0,0,0,0,0,0,0,0,0,0.0162743939337472,0,0,0.0432256160904282,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0525710964934858,0,-0.0865125462492873,0,0.095681650661193,0,0,0,0.0536351958585481,0,0,0,0,0.00738073885636814,0,0,3.46944695195361e-18,0.0290885946752835,0,0,0,0,0.0342670914363844,0,0,0,0,0,0,0,0,0.00101927611631637,0.0215142311662136,0,0,0,0,0,0,0,0,0,0,0,0,-0.0380197895885833,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38894970217196,0,0,0,0,0,0,0,0.0108679090637561,0.0212804171368106,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.168679927781864,0,0,0,0.0150345919729608,0.00607777611467655,0,0,0,0,0.0333207686344303,0,0,0,0,0,0,-0.0229340951695541,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0596177039847614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258803891486271,0,0,0,0,0,0.0805123050223097,0,0.138171099212811,0,0,0,0.0156409939761914,0,0.102207055435301,0,0,-0.092831152433044,0,0,0,0,0,0,0,0,0,0.0160163983260254,0,0.0240159946117675,0.0774403110238887,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0428905548005483,-0.0946273475894165,0.163340256083254,0,0,0,0.145167713428735,0,0.0922139298472264,0,0,0,0,0,0,0,0,0,0,0,0.112905460314034,0,0,0,0,0.0470159155699411,0,0,0,0.0658279331546739,0,0,0,0,0,0,0,0,-0.201260301120177,0,0,0,0,-0.0396355588527841,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.172382031838559,0,0,0,0,0,-0.00685805198340357,0,0.0239440647691516,0,0,0,0.103161665827604,0,0,0,0.0502683868131039,0.00863078330895788,0.0236857234204396,0,0,0,0,0,0,0,0,0.201389864692072,0,0,0.0471009388858591,0,0,0,0,0,0.0965042508809606,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570372905277726,0,0.00952852425483957,0,0.234986526412118,0.0565260288845971,0,0,0,0,0,0.00399787810205444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129879708404374,0,0.194616101827615,0,0,0,0,0,0,0,0.0232982595286157,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0.10685232762881,0,0,0,0,0,0,0,0,0.0294264047987206,0,0,0.0170702410986051,0,0.109163662037331,0,0,0.176448396637257,0.038348605153182,0.211921977448166,0,0.0282710974448459,0,0,0,0,0,0,0.00822745481276537,0,0,0,0,0,0,0,0.102554405783939,0,0,0,0,0,0,0,0,0,0,0,0
