,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601992.SH,X600309.SH,X600795.SH,X600688.SH,X601600.SH,X300072.SZ,X600660.SH,X601991.SH,X600188.SH,X600362.SH,X600547.SH,X600886.SH,X002466.SZ,X600027.SH,X000709.SZ,X600157.SH,X600111.SH,X600339.SH,X000898.SZ,X000959.SZ,X600489.SH,X600008.SH,X601158.SH,X002460.SZ,X000723.SZ,X600299.SH,X000883.SZ,X002271.SZ,X600176.SH,X600219.SH,X600352.SH,X000630.SZ,X600578.SH,X000539.SZ,X000408.SZ,X000792.SZ,X600583.SH,X000027.SZ,X600021.SH,X000786.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.154585904668016,0,0,0,0,0,0,0.0139691954858577,0,0,0,0.177367720685193,0,0,0.0650310081684754,-0.00776251252913219,0,-0.0128558005409309,0,0.0129600212016632,0,0,0,0.0671883409530747,-0.0142709022621916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108313555908362,-0.0195950242729163,0,0,-0.0119768874994932,0.000622110032496684,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0416497279442786,0,-0.157568748347625,0,0,0,0,0,0,-0.0191193269322341,0,0,-0.0592851440837977,0,0,-0.00552550699834741,0,0,0,0.0713125226593069,0.0326972685502589,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0.0139706908851814,0,0,0,0,0,0
X601088.SH,0,0,0,0.0182597513642564,0,0,0,0,-0.0106046884500998,0,0,0,0,0,0,-0.0440678986774671,9.4020432581684e-05,0,0,0,0.0182523184181612,0,0,0,0,-0.0264757978872344,0.217427963061466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00974944808338224,-0.0886679692999337,0,0,0,0,0,0,0,0,-0.0212957778101263,0,0,0,0,0,0
X600019.SH,0,0,0.0430932865374868,0,0.014749629712872,0,0,0.161216223444001,0,0,0,0,0,0,0.0791253386561059,0,0.0821022776758391,0,-0.0288937173444469,0,0,0,0,0,3.46944695195361e-18,0.102641420947939,0.294359862707814,-0.0483097069616924,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0203817993671945,0,0,0,0,0,0,0,0,-0.0196744993612183,0.0127877258273793,0,0,0,0,0,0
X600011.SH,0,0,0.177158870762797,0,0,0,0,0,0,0,0.0488492556056318,0,0,0,0,0.0946633065451073,0,0,-1.73472347597681e-18,0,0,0.330983327777718,0,0,0,0.0842857493749342,0,0,0,0.109502245649211,0,0.0121819503103312,0,0,0,-0.109029479525033,0,0,0,0,0.19333238129301,0,-0.0877738085397388,-0.0119507022000995,0,0,0,0,0,0,0.0313797917760575,-0.0435204449263204,-0.196806458657277,0,0,0,0,0
X600585.SH,0,0,0.0994060652155759,0,0,0,0,0,0,0,0,0,0,0,0.190842642011113,0,0,0,0,0.283176264418296,0.173358409205621,0,0,0,0,0.114284423808285,0,0,0,0,0,0,0,0,0,0.169243195021841,0,0,0,0,0,0,0.00636488148369735,0,0,0,0,-0.0777231228695602,0,0,0.00538341895062839,-0.0330972913077857,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,-0.0568779421318012,0,0,0.12734146997837,0,0,-0.00901413790666465,0,0.0337312282811263,0,0,0,0,0.0148302417993858,0,0.108414294570826,0,0.0400334185329885,0,0.0156280651190124,0.105454728126059,0,-0.0381091204332382,0,0,0,0,0,0,0,0,-0.037035734252325,0,0,0,0,0.0719726699243747,0,0,0,0,-0.0133985889611609,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268035498336542,0.185372442742076,0,0,0.0284722212249811,0,0,0,0,0,0.0251654285862842,0,0,0,0,0,0,0,0,0,0.235102756986883,0,0,0,0.0878130344410405,0,0,0,0.117794437644339,0,0,0,0,0,-0.00941572827463642,-0.00314151976969808,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,-0.144551174472597,0,0,0.196015168390125,-0.0714159546028958,0,0,0,0,0,0,-0.280795220049159,0,0.59715179188939,0,0,0,0,0.00179654172018207,0.221342586918165,0.397301136193788,0,0,0,0,0,0.0976953819593152,0,0,0,0,0,0,0,0,0.118525159081393,0,0,0.114706810706881,0,0.141210679798026,-0.0358949461034523,0.0474941465042216,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,-0.0580753863834866,0,0.0634313417805063,0,-0.0815214945673798,0.168656392681026,0.209456381124953,0,0.379676348107211,0,0,0,0,0,0.103455661667781,0,0,0,-0.182942842139284,0,0,0.0206676227396166,0,-0.0270336991164482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997093734707952,0,0,-0.027618965996512,-0.015454056534366,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0767552383570965,0,0,0,-0.0114380568145342,0,0,0,0,0,0,0.00803456056688306,0,0,0.038908034700007,0,0,-2.71050543121376e-20,0.0569070182261441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311953735423388,0.161679481203648,-0.0865627117789585,0,0,0,0,0,0,0,-0.0125053453877254,0.00497696451164152,0,0,0,0,0,0
