,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X600010.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600188.SH,X600362.SH,X600111.SH,X600027.SH,X600309.SH,X600688.SH,X601992.SH,X600583.SH,X000792.SZ,X600352.SH,X601158.SH,X000898.SZ,X600157.SH,X000709.SZ,X000831.SZ,X600547.SH,X000883.SZ,X002353.SZ,X600489.SH,X000539.SZ,X600008.SH,X000825.SZ,X000630.SZ,X600660.SH,X000027.SZ,X002470.SZ,X600549.SH,X600021.SH,X000629.SZ,X600315.SH,X600808.SH,X600578.SH,X600307.SH,X600098.SH,X601699.SH,X000983.SZ,X600863.SH,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.509573957724403,0,0,-0.0244524698659927,0,0,0,0,0,0,0.158269350218901,0.120736352233109,0,0,0,0,0,0.0525692241578952,0,0,0,0,0,0,0,0.0268750172105815,0,0,0,0.00766542410822603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084531918028531,0,0,0,0,0.00227188603599335,0,0,0,0,0,0
X600028.SH,0.494240151896103,0,0,0,0,0,0,0,0,0.0143710666659976,0,0,0,0,0,0,0,0.420444712713973,0,0,0,-0.00756519422944493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00365280805717248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0408556306789305,-0.0110915437964283,0,0,0,0,0,0
X601088.SH,0.0457416492648283,0,0,0,0,0,0,0,0,0,0,0.183739506267023,0.0713948049069806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257956335185471,0,0,0,0.138400247664486,0.428643744515372,0,0,0,0,0.00106039923265499,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.0135175897244322,0,0,0.0853769458967792,0.115719273787631,0,0.101925105720391,0,0.0999979033072365,0,0,0.131535674675599,0,0.0199146683779502,0,0,0,0,0,0.0398553066505255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245733278246823,0,0,0,0,0,0,0,0,-0.00260003119159055,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590428444007474,0,0,0,0,0,0,0,0,0,0.532240682237129,0,0.126864527428667,0,0,0,0,0,0.0493414642000024,0,0,0,0,0,0,0,0.0153227804631556,0,-0.0734716640606315,0,0,0,0,0,0,0,0,0,-0.0884340780439227,-0.0229587370295377,0,0,0,0,0,0
X600585.SH,0,-6.93889390390723e-18,0,0,0,0,0,0.0252774277037619,0,0,0,0,0.0323533816097893,0,0,0,0,0.181695175632865,0,0.146637162822733,0,0,0,0,0,0,0.030154491248084,0,0,0,0,0,0.0291408692658471,0,0,0.0902498264571704,0,0,0,0,0,0,0,0,0,0.206965128882543,0.0283826528861571,0,0,0,0,0,0.00895024131475559,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.115031919487079,0.0924011516113542,0,0,0,0,0,0,0,0.00380422502438333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532340934200018,0,0,0,0.00761376547669905,0,0,0,0,0,0,0,0.0755738902899391,0,0,0.515115376684961,0,0,0,0,-0.00594458292988235,0,0,0,0,0,0
X600010.SH,0,0,0,0.0686389589818788,0.0916576231345438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637994801061283,0,0,0.0818653029783604,0,-0.0204839042335368,0,0,0,0,0,0,0,0,0,0,0,0,0.45690798200819,0,0,0,0,0,0,0,0,0,0,-0.00351624188746789,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.105632614256928,0,0,0.313880705859581,0.0899349901375227,0.0425440042694697,0,0,0,0.050031257902056,0.0106711076399779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.229015224676253,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.0249586585554103,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.147404844021981,0,0.212603033274623,0,0,0.170011409899795,0,0,0,0,0,0,0,0.0174872415919363,0,0,0,0.16078250963763,0,0.0504161029182529,0,0,0,0,0.0312956683513008,0,0,0.00621540713599679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0522820317247164,-0.0335534304955164,0,0,0,0,0,0
