,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X002271.SZ,X600660.SH,X600547.SH,X601898.SH,X600362.SH,X000786.SZ,X600010.SH,X600111.SH,X000301.SZ,X600886.SH,X600176.SH,X600011.SH,X601600.SH,X600188.SH,X600426.SH,X002466.SZ,X600803.SH,X601991.SH,X000027.SZ,X600801.SH,X000932.SZ,X600352.SH,X600795.SH,X600489.SH,X600219.SH,X002080.SZ,X000898.SZ,X600486.SH,X000883.SZ,X600688.SH,X600299.SH,X600027.SH,X002353.SZ,X600157.SH,X000723.SZ,X600516.SH,X300037.SZ,X600315.SH,X601992.SH,X601168.SH,X000830.SZ,X000807.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.296597267254651,0,0,0,0.0287007033198643,0,0,-0.00398582518709687,0,0,0,0.0215772850115726,0,0.0256231287434591,0,0.00627202694324127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0398376431729021,0,0,0,0,0,0,0.0267936488152634,0.0149083509364467,0,0,-0.0023449048990447,0,0,0,0,-0.00712621855431616,0,0
X600028.SH,0,0,0,0,0,0,0.00827862240999531,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668466216185668,0,0.0724635418481378,0.0463796660306224,0,-0.0704653918328852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313522098572799,0.0626007846126393,0,-0.0292264277217971,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.00868983139853962,0,0,0,0,0,0,0,0,0.0493614066831502,0,0,0.0871202599422001,0,0.198531455426327,0,0.107601629276882,0,0,0.0629737585414377,0,0.00567220596611277,0,0,0,0.0176886994237676,0,0,-0.0526984028440917,0,0,0,0,0,0,0,0,-0.00868368251479676,0,0,0,0,0.0388455464001887,0,5.42101086242752e-20,-0.00317147798481991,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.0139681729912132,0,0,0,0,0,0.150591953853883,0,0.0919832977253762,0.0581561201715333,0,0,0,0,0,0,0.263092548905566,0,0,0,0,0,0,0,0,0.0152419589517256,0,0,0.0359000355250365,0,0,0,0,0,0,0,0,0,0.0864123366859468,0,0,0.120043794422741,0,0,0,-0.0109634643296344,0,0,0,0.0342109280739147,0,0
X600585.SH,0,0,0,0,0,0,0.0107423758369021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1189610543464,0.050200420123977,0,0,0,0,0.172320017220535,0.0285573622414842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188348001883738,0,0.0477602784468933,0.0104271838897026,0.00405651470378478,0,-0.0211506549262627,-0.00643507505054782,0,0,0,-0.0349111463448119,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0610277737049242,0,0,0,0.115178069105939,0,0,0,0.291649036591344,0,0,0,0,0.0120327950057312,0.01457981343723,0,0,0.0565142657045611,0,0,0,0.209362007510656,0,0,0,0,0,0.0946403448810775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01088006465938,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0.230807747437873,0,0,0,-0.353646610769398,-0.0779181492220637,0.267908992893224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.189934238411189,0,0,0.0781121043861365,-0.172242734492655,0,0.505783487779125,0,0.0375245770212173,0,0,0,0,0,0,0,-0.255217926003956,-0.125705944868103,-0.0158961203614804,0,-0.03894923078159,0,0,0,-0.101930841727563,0,0
X002460.SZ,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.0415381569555752,0.0647208427389778,0,0,0,0,0,0,0,0.164169827059228,0,0,0,0,0,0,0,0,0,0,0.391912075939829,0,0,0,0,0,0,0,0,0.0135117138008896,0,0,0.268735201073566,0,0,0,-0.000470303490327509,0,0,0,0,-0.0536413611568762,0,0
X002271.SZ,0,0,0,0.122043041127794,0,-0.377864102230039,0,0.0255864238170133,0,0.123634842792389,0,0,0,0,0,0,0,0,0.0885241875385405,0,0,0,0,0,0,0,0,0,0,0,0,-0.159596542609982,0,0.029964590969452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0976581178391673,0,0,0,-0.0293561442042058,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0.0684192630699765,0.190643171511838,0,0,0,0,0,0,0,0.0657142773490466,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0235459045460618,0,0,0,0,0,0,0.0249761943304476,0.0431982987814639,0,0.262399019046128,0,0,0,0,0,0,-0.0418769834672075,0,0.159774859662866,0,0,0,0,0.0453608735939094,0,0,-0.0154483921023277,0,0,0,-0.00483430715551182,0,0
