,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X600660.SH,X000708.SZ,X600011.SH,X002271.SZ,X002460.SZ,X600886.SH,X000786.SZ,X600801.SH,X601898.SH,X600010.SH,X600176.SH,X600362.SH,X601600.SH,X600489.SH,X600188.SH,X600352.SH,X601991.SH,X600795.SH,X600426.SH,X600111.SH,X600027.SH,X600688.SH,X600299.SH,X601992.SH,X002466.SZ,X000932.SZ,X002080.SZ,X000301.SZ,X002353.SZ,X600219.SH,X002075.SZ,X600486.SH,X000723.SZ,X600529.SH,X000027.SZ,X002250.SZ,X600612.SH,X002409.SZ,X601158.SH,X000883.SZ,X000898.SZ,X600315.SH,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0323611058372555,0.0227475141905234,0,0,0,0,0.0478245113675451,0,0.0615955181627827,0,0.0146748378633627,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413712294591679,0.0725292131156215,0,0,0.0346423249333615,-0.0524832358501679,0,0,0,0,0,0,0,0,0,-0.0141281935911667,0,0.0110505239383684,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.00830399922697463,0,0,0,0,0.0197412485153256,0,0.0191010340964185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00893450484465163,0,0,0,0,0,0,0,0,0.0342903068246839,0.0953285051786717,0,0,0.112585695270065,-0.00134791053435516,0.0171071974166043,0,0,0,0,0,0,0,0,0,0,0.0152256575014426,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.00358589535479867,0,0.0432909004412968,0.0906241224102031,0,0,0,0,0,0,0,0,0,0,0,0,0.33641014434676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00795063673222108,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0545954961936563,0,0,0,0,0,0,0,0,0,0,0,0,0.125062995185243,0,0.216090709443466,0,0,0,0,0,0,0.00870373434743211,0,0,0,0,0.0564896440611789,0,0.0192233505373291,0,0,0.0231536789479342,0,0,0,8.67361737988404e-19,0,0,0.0726264820455114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.111709881601316,0.277756527470512,0,0,0.10180720883242,0,0,-0.0312375308318114,-0.121031393698213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205975539818953,0,0,0,0,0,0,0.0509121553852016,0,0,0,0,0,0.144311153946535,0,0,0.00115867211885484,-0.00568945868163615,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0.0253717312127372,0.098630158518412,0,0,0,0,0,0,0,0,0.51309496376795,0,0,0,0,0.0207295940355807,0.0740532598061535,0,0,0.0360417917485401,0,-0.0165932485138854,0,0.0416942513878275,0,-0.0105559439119029,0.0690882393588497,0,0,0,0,0,0,0.108259918631529,0,0,0,0,0,0.0312365824201252,0,0,-0.00634109363226901,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,-0.00718740710973068,0,0,0,0.0880003253106886,0,2.16840434497101e-19,0,0,0,0,0,0.0303885975897715,0,0.00689013902103731,0,0,0,0,4.33680868994202e-19,0,0,0.0781949677178734,0,0,0,-0.0140323300544788,0.139990210690172,0,0.0205283989291852,0,0,0,0,0.104438086097854,-0.0514960027992436,0,0,0,0.149095033102828,0,0,0,0,0,0,-0.0158476992562905,0.0122005119253602,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.246768843661321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796552949840944,0,0,0,0,-0.0439710183867754,0,0,0,0,0,0.112136066291961,0,0,0,0,0.0194995335098791,0,0.0491935095229088,0,0,0,0,0.221520351458327,0,-0.0136356241884089,0.0168741767081399,0,0,0,0,0,0
X000708.SZ,0,0,0,0,-0.0222669738906883,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162513410312117,0,0,0.060304169377813,0.238021520290118,0,0,0,-0.0791610939631504,0.133359614398145,0,0,0.0925659105802861,0,0,0,0,0,0.0863406648970495,0,0,0,0.214419456702737,0,0,0,0,0,0,0,0,0.0509595594702247,0,0,0.0154213344461415,0.0224788573770292,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0742516068174665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76030550859708,0,0,0,0.0525072148933814,0,-3.46944695195361e-18,-0.177026437793393,0,0,0.0595973227134061,0,0,-0.0169339610505968,0,-0.026328376589644,0,-1.73472347597681e-18,0,0,0,0,-0.107149890513875,0,0.0625526005135075,0,0,0,0,0,0,0
