,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600886.SH,X000708.SZ,X600111.SH,X600010.SH,X000301.SZ,X600426.SH,X600795.SH,X002271.SZ,X600362.SH,X000877.SZ,X601699.SH,X600489.SH,X600803.SH,X600027.SH,X000983.SZ,X601991.SH,X600176.SH,X000807.SZ,X000786.SZ,X000932.SZ,X600160.SH,X000630.SZ,X000933.SZ,X600219.SH,X000408.SZ,X600985.SH,X300037.SZ,X600612.SH,X000629.SZ,X600688.SH,X000959.SZ,X002128.SZ,X600157.SH,X600801.SH,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.946746123206719,0.211440236309725,0,0,0,0,0,0,0,0,0,0.134430202913135,0,0,0,0,0,0,0,0,0,-0.171700582758654,0,0,0,0,-0.0215204031860544,0,0,0,0,0,-0.00838946972865253,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00622517469207175,-0.110669929281306,0.127020913162485,0.0107530695508223,0,0,0,0,0,0,0,0
X600028.SH,0.552627802863983,0,0,0,0,0.0434525660360692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660300248077604,0,0,0.00857854840590647,0,0.0922773453736201,0,0,0.0374595388798826,0.00442286749382626,0,0,0,0,0,0.0238741009882492,0,0,0.0428264024211912,0,0,0,0,0,0,-0.122314296209381,0,-0.118296944324631,0,0.0017851237015832,0,0,0,0,0,0,0
X601088.SH,0.0334807588669843,0.0753730878086785,0,0,0.138939482469889,0,0,0,0.176377650401721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369909148722087,0,0,0,0,0.135449315242938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0628614223517259,0,0.00511593962492545,0.00268649376054086,0,0,0,0,0,0
X600309.SH,0.0806436700073533,0,0,0,0.0401611482527107,0,0,0,0,0,0.161169918064592,0,0,0.0497581865983593,0,0,0,0,0,0,0,0,0.0795295067395598,0,0,0,0,0,0.0253378278024436,0,0,0,0.0374182253625819,0,0.0454963735598592,0,0,0,0,-0.0330165873457918,0,0,0,0,0,0.0671881121311934,0,0,0,0,0,0.0257764847580199,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.100205429009824,0,0,0.14014439069018,0,0,0,0,0,0,0,0,0,0,0,0.102123390003327,0,0,0,0,0,0,0,0,0.540276171230554,0,-0.188529992594724,0,0,0,0,0,0.0539236429537943,0,0,0,-0.00571576064506358,-0.0938709926281312,0,0,0,0,0,0,0.097041336526911,0,0.0251302956093164,-0.0372156634307135,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.146804845315376,0,0,0,0,0,0,0,0,0,0,0,0.285581996118096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276851598017908,0.128409527372869,-0.0228165237291428,0,0,0,0.296105607801268,0,-0.179180651090606,0,0,0,0,0,0,0.11069690968086,0,-0.0193244248801663,0,0.0531186429678645,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0150842339575065,0,0,0,0,0.016008766784383,0,-0.0760453058584827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942254610899361,0,0,0,0,0,0,-0.0705170386158864,-0.054263253715491,0,0,0,0,0,0,0.663479066392412,0,0,-0.00701172042669188,0,0,0,0,0,0,0
X600011.SH,-0.220047931354853,0,0,0,-0.0524735800695436,0,0,0,0,0,0,0,0,0,0,0.344323812543366,0,0,0,0,-0.13455494553348,0,-0.0346839902393451,0,0,0,0,0,0.843509340791458,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0827874631233604,0,-0.030117686927766,0,0,0,0,0,0,-0.0267933782657616,-0.0133865967244283,0.00650889481723288,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.222877546262574,0,0,0,0,0,0,0,0,0.115076462075957,0,0,0,0,0,0,0,0,0,0,0,0.249582001860686,0.0134475422883188,0.146833058188149,0,0.0609491150048564,0,0,0,0,0,0,0,0,0,0.0556291017932571,0.079946878386331,-0.117682581816392,0,0,0,0,0,0,0,0,0,-0.00107766829595357,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,-0.121354623227928,0,0,-0.121366300758393,0,-0.0282623085171024,0,0,0,0,0,0,0,0,0,0,0,0,0.0349640964554068,0.512854212526738,0.168167357118519,0,0.0330583133423471,0,0,0,0,0,0,0,0,0,-0.0747255521468634,0,0,0,0,0,0,0,0,0,0,0,0,-0.0223721929414652,0,0,0,0,0,0
