,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X601600.SH,X300072.SZ,X600688.SH,X600309.SH,X600547.SH,X600795.SH,X601991.SH,X600362.SH,X600188.SH,X600660.SH,X000709.SZ,X600027.SH,X002466.SZ,X600886.SH,X600157.SH,X600111.SH,X600489.SH,X600339.SH,X000959.SZ,X000898.SZ,X600299.SH,X601158.SH,X600008.SH,X000883.SZ,X600583.SH,X600578.SH,X600219.SH,X000408.SZ,X000792.SZ,X000630.SZ,X002460.SZ,X000539.SZ,X000983.SZ,X600352.SH,X000401.SZ,X000786.SZ,X000027.SZ,X002092.SZ,X000723.SZ,X600176.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600886.SH,0,0,0.0693961375867084,0,0,-0.256429946358715,0,0,0,0,0.0243684603273829,0,0.0657303432308618,0,0,0.0516220636732625,0,0,0,0.143751675660131,0,0,0,0,0,-0.152802700889608,-0.0186993461504704,-0.114935323684619,0,0,0,0.111834059747713,0,0,0.11198802593697,0,0,0,0,0.0121943119895279,0,0,0,0,0,0,-0.0218371392493237,0,0,0,0.0344366796654373,-0.00804781136584968,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0.195482103971701,0,0,0,0,0.105452951243849,0,0,0,0,0,0,0,-0.0171129160923199,0,0,0,0,0,0,0,0,0,0,0,0.0192484320636745,0,0,0.0481521329660549,0.109605428517244,0,0,0,0.0184117614441786,0,0.102626447127581,0,0,-0.0175692695177906,0,0.00588084375748937,0,0,0,-0.00622724113170265,0.00682854384270274,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0.00896908209719771,0,0.0444301367034642,0.0287140223227233,0,0,0,0,0,-0.0171871166464048,0.0724147669328695,0,0,0,0,0.1098232578593,0,0,0,0,0.0480888263733464,0,0,0,0,0.0157189357971798,0,0,0,0,0.0640756869697732,0,0,0,0,0.134239694581913,0,0,0,0,0,0,0,0,0.0124398267077618,0.00232419908716343,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,-0.158445262126846,0,0,0,0,0.0946220997883278,0.745551830121948,0,-0.0162626767412233,0,0,0,0.0634086278752543,0,-0.0138027705309881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714232894253932,0.00657710050841023,0,0,0.0156343328965007,0,0,0,0,0,0,0,0,0.00340045638902144,0.0130935803686085,0,0,0,0,0,0
X600339.SH,0,0,0,0,0,0,0,0,0.105035596480455,0,0.127839272736144,0,0,0,0,0,0,0.274127127985646,0,0,0,0,0,0,0,0,0,0.0571944769397078,0,0,0,0.171703391755768,0,0,0,0,0,0,0,0.0873063008116013,0,0,0,0,0,0.419263793418105,0,0.102048186077715,0,0,0.0330169280974111,0.000926960942326121,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,-0.0316106036569091,0,0,0.0335983207825774,0,0,0,0,0.0273447345844731,0,0,0,0.133944378796921,0,0,-0.273894862654426,0,0,-0.174521420019939,0.0485569280798685,0,0.128555906781304,0,0,-0.23911611421526,0,0,0,0,0,0,0.106143452434226,0.124556798147197,0,0,0,0,0.418978037371663,0,0,0,0,0,0.0551415574137839,0.0219283788056232,0,0,0,0,0,0
X000898.SZ,0,0,0,0.0798622885688018,0.197379842261705,0.158242513853184,0,0,0,0,0,0,0,0,0,0.0483659304033309,0.2817880991927,0.0307583120909398,0,0.0811917357832341,0,0,0,0,0,-0.0654761107493425,0,0,0,0,0,0,0,0,0,0,-0.0373443659072402,0,0,0.00774582363549058,0,0,0,0,0,0,0,-0.0567049593654427,0,0,0.0229702289394499,-0.0109614589498329,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,-0.0792929509891412,0,0,0,0.161940771725835,0.0151947033895372,0,0.0358885473988044,0,0,0,0,0,0,-0.052305638352797,0,0.0158089985891699,0,0,0,0.230890372638023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351180943358865,0,0.0131327782825144,0.0452182038063266,0,0,-0.000711014360756812,-0.00189826835721556,0,0,0,0,0,0
X601158.SH,0,0,-0.0424309494820255,0,0,0,0,0.0175114397867191,0,-0.0335375020375711,0,0,0,0,0,0,0,0,0,0.04723377994415,0,0,-0.0116370073781943,0,0,0,0.0395976371415227,0.0781378432296455,0,0,0,-0.103507898540097,0,0.261276336792552,0,0,0.0467065958522859,0,0,0,0.144698058158839,0,0,0,0,0,0,0,6.93889390390723e-18,0,-0.00808684415773704,0.00662077312988786,0,0,0,0,0,0
X600008.SH,0,0,0,0.135676209322626,0,0,0,0.425145345941308,0.0914821411855073,0,0,0,-0.129282088939921,0,0,0.0941366412588916,0.0184995053392465,0,0,0.295802688383966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68729927659182,0,0,0,0,0,0,0.167092879812609,0,0,0,0,0,0,-0.0745382640194948,-0.0207017469651874,0,0,0,0,0,0
