,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600010.SH,X600585.SH,X601898.SH,X600688.SH,X600188.SH,X600795.SH,X601600.SH,X300072.SZ,X600547.SH,X601991.SH,X600157.SH,X600027.SH,X600362.SH,X600309.SH,X601992.SH,X600660.SH,X600111.SH,X600886.SH,X600489.SH,X600623.SH,X002466.SZ,X600299.SH,X601158.SH,X000792.SZ,X002075.SZ,X000723.SZ,X000408.SZ,X000709.SZ,X000898.SZ,X000983.SZ,X600583.SH,X000883.SZ,X600352.SH,X000959.SZ,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X600758.SH,X002470.SZ,X000630.SZ,X600021.SH,X601699.SH,X000012.SZ,X600126.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0233440715091576,0,0,0,0.0406038511022773,0,0.0385218907030643,0,0,0,0,0,0,0,0,0.0501983891747657,0.0157885266491478,0,0,0,0,0.00604871080963356,0,0.0011766384414608,0,0,0.0021103297087069,0,0,0.017015148643178,0.0502759765279129,0,0,0.0524945484796785,0,0,0,0.030312282831947,0,0,0,0.00810720356233546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.013267950707154,0,0,0,0.0464266434667252,0,0.0694680168732591,0,0,0.0627597742175634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465480791338725,0,0,0,0,0,0,0,0,0.0540197548399997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0860306585829942,0,0,0.0453656877118543,0,0,0,0,0,0,0,0,0,0,0.0398702764335399,0,0.0265063147729487,0,0,0.0160877499250982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064737856796431,0,0,0,0,0,0.0616434389623805,0,0.0390270578597349,0.0345051536405237,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.113190912257202,0,0,0.100132185322256,-0.0107642813889429,0,0,0.0274213304483402,0,0.0235168351909552,0,0,0,0.0751932393464226,0,-0.00393570646216374,0,-0.268176550616718,0,0,-0.00645495900082005,0,0,0,0,0,0,0,0.157217880596575,-0.0334685646415205,0.0132070432701543,0,0,-0.130805639315696,0,0,0,0,0,0,0,0,0.0282755208408289,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0101020362999853,0,0,0.0326226885636323,0,0,0,0,0,0.00644845126034693,0,0,0.104898017310015,0.0624569875035822,0,0,0,0,0,0.169969520424849,0,0,0,0,0,0.0865239263502426,0,0,0,0,0.0810957363726048,0,0,0,0.00756437455002734,0,0,0,0.013095025414698,0,0.00274209430089703,0,0,-0.0407420237246844,0,0,0,0,0,0
X600585.SH,0,0.115144789619924,0,0,0,0,0,0,0,0.265507694070547,0,0,0.0435994380169784,-0.0141184674998926,0,0,0,0,0,0.148482340015916,0.167699848795003,0,0,0,0,0,0,0,0,-0.106984963400891,0,0,0,0,0,0,0,0.0406177597282383,0,0,0,0,0,0.0150843009306943,0,0,0,-0.0760697892286286,-0.182036355792531,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.072691706959343,0,0,0,0,0,0,0,0,0,0,0.0626622579693467,0.0483130100117127,0,0,0.0161836989220798,0,0.0405294473977214,0,0,0,0,0,0,0,0,0,-0.187697509364471,0,0,0,0.0075955687048116,0,0,0,0.380705110591177,0.195647011503121,0,0,0.065931608449858,-0.023679064930261,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333410981274708,0,0,0,0,0,0,0.0543205824087474,0,0,0,0,0,0,0.22165373889217,0,0,0.0191477053105,0,0,0,0,0,0.0856743714723904,0,0,0.0716052548785623,0,0.0849526775138016,0,0,0.0197276632389754,0,0.00874139387492203,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0500479964383038,0,0,0,0,0,0,0,0,0,0,0,0.112334295032964,0,0,0,0,0,-0.018867669841746,0,0,0.104753639174522,0.629154196065368,-0.138484740505582,0,0,0,0.16367756265848,0,0,0,0,-0.0800139734102737,0,0,0,0,0,0,0.0504812424850238,0.0796099888310906,0,0,0,0,0,0
