,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600019.SH,X002460.SZ,X600585.SH,X601898.SH,X002466.SZ,X600547.SH,X000792.SZ,X601600.SH,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600027.SH,X000877.SZ,X600795.SH,X600426.SH,X600362.SH,X002271.SZ,X601991.SH,X600803.SH,X600176.SH,X601699.SH,X600489.SH,X000983.SZ,X000807.SZ,X000786.SZ,X000539.SZ,X000629.SZ,X600160.SH,X300037.SZ,X600995.SH,X000408.SZ,X600219.SH,X002080.SZ,X002409.SZ,X000932.SZ,X600688.SH,X600378.SH,X600612.SH,X000723.SZ,X600096.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.551590617139521,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.112984355543765,0.00214468736082386,0,0,0,0,0,0,0,0,0,-0.121980151112725,0,0,0,0,0,0,0,0,0.325032585211263,0,0,0,6.93889390390723e-18,0,0,0,0,0.0239727016465774,0,-0.213091035103026,0,0,0.152095091915797,0.0810240167860687,0,0,0,0.0556085303098746,0,0,0,0,0,0,0
X600028.SH,0.6717969158625,0,0,0,0,0,0.0671987975441394,0,0.155211220411321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132700909812965,0,0,0,-0.0538841270319376,-0.0130598674420933,0,0,0,0,0,0,0,0,0,0,0.080400215478878,0,0.0223701957783907,0,0,0,0,0,0,0
X601088.SH,0.148804183759161,0,0,0,0.181400487693276,0,0,-0.00347311350211865,0,0.161329211507538,0,0,0,0.0221577874070734,0,0.0351261583779874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0734402816046428,0,0,0,0,0,0,0,0,0,0,0,0.0396055056444057,0.0149678612213975,-0.0196610330441501,0,0,0,0.025393319801373,-0.0219626658654182,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.154995626336578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0500698578226952,0,0,0.114783478844245,0,0,-0.00761625326192959,0,0.107457074150163,0,0,0,0.0565293417419743,0,0,0,0.00363726932530025,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.0204161359035914,-0.0223210567170045,0,0,0,0,0,0
X600188.SH,0,0,0.153852313405502,0,0,0,0.19371965171809,0,0,0.416751767540704,0,0,0,0,0,0,0,0,0.135019580168169,0,0,0,0,0,0,0,0,0,0,0.203306951301607,-0.133801319592244,0,0.178552521336484,0,-0.0587677137974466,0,0,0.135423318726367,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0183371136929544,-0.0706688135857534,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.118047605910937,0,0,-0.0462493223041627,0,0,0,0,0,0,0,0.00628538981049763,0,0,0,0,0.334111479333807,0,0.592637461562309,0,0,0,0.099947285848979,0,0,0,0.26562045088797,0,0,-0.217894963756126,-1.73472347597681e-18,0,0,-0.0414983499554494,0,-0.120350751256226,0,0,0,0,0,0,0,0,0,0,0,0.0135227838056875,0,0,0,0,0,0,0
X600019.SH,0,0.0830210166472035,0,0,0.0650869823030223,0,0,0,0.096793755245417,0.00622941180012233,0,0,0,0.0669788353636184,0,0,0,0,0,0,0,0,0,0.0812379644021023,0,0,0,0,0,0,0,0,0.0667321516947821,0,0,0,0,-0.10595206608546,0,0,0,0,0,0,0,0,-0.0406617394516645,0,0,0.0737290665143946,0,0.0377145377555797,0.0535855078655745,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.515452918918172,-0.0763239648093501,0,0,0,0,0,0,0,0,0,0.189405173306668,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123667835873564,0,0,0,0,0,0,-0.00695162751257952,0,0,0,-0.0117204327623835,0,0,0,0.171833282021849,0.0322274607738973,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.115540076037848,0,0,0,0,0,0.0416838898451914,0,0,0,0,0,0,0,0,0,0,0,0,0.0920846900809472,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0477348899337938,0.147164001827385,-0.0330622966325682,0,0,0,0.0182435552991021,0,-0.00466671074346694,0,0,0,0,0,0,0,0.0161838512898147,-0.0499743386462076,0,0,0,0,0,0,0
X601898.SH,0.216280858583544,0,0.145283709730477,0,0.591447665473834,0,0,0,0,0,0,0,0.0101519770809725,0,0,0,0,0,0,0,0,0,0,-0.0270755579260651,0,0,0,0,0,0.0532152480409075,0,0,-0.0271638281655726,0,-0.00975107660529779,-0.0554374842105674,0,0,0,0,0,0,0.0131920286932581,0,0,0,0,0,0,0,0,-0.00816313274770261,0,0,0,0,0,0,0
