,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X600309.SH,X601898.SH,X601992.SH,X600688.SH,X600795.SH,X600111.SH,X600362.SH,X600188.SH,X002466.SZ,X601991.SH,X600547.SH,X600660.SH,X300072.SZ,X600516.SH,X600886.SH,X000709.SZ,X000898.SZ,X002460.SZ,X600157.SH,X600027.SH,X600339.SH,X000959.SZ,X600489.SH,X600808.SH,X600219.SH,X600352.SH,X600549.SH,X002092.SZ,X000553.SZ,X601158.SH,X000723.SZ,X000983.SZ,X600008.SH,X000630.SZ,X000883.SZ,X601699.SH,X002271.SZ,X000792.SZ,X600299.SH,X600578.SH,X600176.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,-0.0237532175298283,0,0,0,0,0.0539462379405212,-0.029230051159999,0.0498635450017342,0,0,-0.0113166767889462,0.011808929923878,0,0,0,-0.00138065557441799,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0414471733650484,0,0,-0.0221905595237421,0.0376484987500782,0,0,0,0,0,0,0,0,0,0,-0.00912587442306291,0,0.0422326457134773,0,0,0,0,0
X600028.SH,0,0,0,0,0.127934122721366,0,0,0,0.0416765740252343,0,-0.0192160660576849,0,0,0,0,0,0,0,-0.0430849173005035,0,0,-0.0174035549829834,0,0,0,0,0,-0.292126150735599,-0.0484796262808687,0,0,0.00761189729617833,0,0,0,0,0,0,0,0,0,0,0,0.0488528153409268,0,0,-0.0800277439580445,0,0,0,0.00198218615226225,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.10710011255909,0.0198397747916131,0.279187150552636,0,0,0,0,0.0150477148823449,0,0,0,0,0,0,0,0,0,0.10994210089331,0,0,0,0,0,0,0.269176114894552,0,0,0.00845635847954782,0,0,0,0,0.0122747442903821,0,0,0,0.00788920675493263,0,0,0,0,0,0,-0.0126820173896236,0.0319769668136907,0,0,0,0,0,0
X600585.SH,0,0.309113454054097,0,0,0,0,0,0,0.0214396011761115,0,0.0410366012865523,0.204204871820252,0,0,0,0.131387499123472,0,0,0,0.304242801394709,0,-0.0636656098586156,0,0,0,0,0,0,0.0266824351267831,0,0,-0.0383680994614193,0,0,0,0,0,0,0,0,0,0,0,0,0.148544725892508,0,0,0,0,0,0.000126202087379953,-0.0172738531526327,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10227585968085,0.0298803124787323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199905113446756,0,0,0.0593218267615094,0.00205709568770047,0,0,0,0,0,0,0,0.143997824139153,0,0,0,0,0,0,-0.0154968646240426,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.00156069280948391,0,0,0,0.0929286327564839,0,0,0,0,0,0,0,0,0.14142602481362,0,0,0,-0.0456895391418265,0,0,0,0.0673318689966297,0,0,0.0343235364676488,-0.105759099495486,0,-0.00290328562846179,0,0,0,0.0495945597462272,0.0640420673389014,0,0,0,-0.0154947078945584,0,0,0,0,0,0,0,0,0,0.0227939099232887,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0706080541416728,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26450850545948,0.172795525874217,0,0.201576444877105,0,0,0,0,0.0818498814163152,0,0,0,0,0,0,0,0,0,0,-0.020387516272002,-0.0365661355448693,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073199328874385,0.147265456491236,0,0,0.305249988987935,0.125939531959437,0.0962096184548639,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.0262958658648787,0,0,0.0433727219541284,0.210635081963972,0,0,0,0,0,0,0,0.0192550896602601,0.0484720763826241,0,0,0,0,0,-0.00401112413747599,0.0069349911364566,0.115472801183863,0,0,0,0,0
X601898.SH,0,0,0,0.143786005640271,0,0.0303932239965891,0,0.0707196686912526,0,0,0,0,0,0.0335455465454461,0,0.156413417125285,0,0,0,0,0,0,0,-3.46944695195361e-18,0.312420931329426,0,0,0,0,0,0,0.0105641571210745,0,0,0,0,0,0,0,0.0163028633688565,0,0,0,0,0,-0.022119525298853,0,0,0,0,-0.00394487526651333,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,-0.0117449769249021,0,0,0,0,0.0494455932934159,0,0,-0.155428975362959,0,0,0,0,0.0503024684500617,0,0.122056095763753,0,0,0,0,0,0,0,0.0597684435225781,0,0,0,0,0,0,0,0,0.571851485927665,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,-0.00576123724996077,0,0,0,0,0,0
X600688.SH,0,0,0,0,0.239457536496028,0,0,0.0567015206700092,0.0397262993554396,0,0,0,0,0,0,0,0,0,-0.0938536028092855,0,-0.0422796794940802,-0.0585705929355653,0,0,0.0391761808404839,-0.0502187402642002,0,0,0,0,0,0,0,0,0.056354645946332,0,-0.0373435765095574,0,0,0,0,0,0,0,0.00787780632441874,0,0,0,0,0,-0.0172257748017788,-4.33680868994202e-19,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.33402008539715,0,0,0,0,0,0,0,0,0.114132724169999,0,0,0,0,0,0.0855152654074222,0.196079436482201,0,0,0,0.0414182267915928,0,0,0,0,0,0,0,0,0.0102387861374638,0,0.0951318163447493,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044897198975529,-0.00480441812706653,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120803183856016,0,0.253245069628996,0,0,0,0,0,0,0,0,0.197661910141056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109695598489589,0,0,0,0.146154226875675,0,0,0,0,0,0,-0.0196995004147022,-0.0153805587420749,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.0730741209443361,0.078456565941766,0,0,0,0,0,0.0980222188736334,0,0,0,0,0,0,0,0,0,0,0.0633843370285819,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.341717451649933,0,0,0,0.266079409035439,0,0,0,0,0,0,-0.0135154357016472,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496578796842692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110857237691393,0.10861756042786,0,0,0,0,0,0,0,0,0,0,-0.021565829893566,0,0,0,0,0,0
