,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X600010.SH,X601898.SH,X601991.SH,X600795.SH,X601600.SH,X600188.SH,X600886.SH,X600362.SH,X600111.SH,X600027.SH,X600688.SH,X600583.SH,X601992.SH,X600309.SH,X600352.SH,X000792.SZ,X601158.SH,X000709.SZ,X000898.SZ,X600157.SH,X600660.SH,X600547.SH,X600008.SH,X600489.SH,X002353.SZ,X000539.SZ,X000027.SZ,X000629.SZ,X600021.SH,X600808.SH,X000831.SZ,X000630.SZ,X000825.SZ,X600549.SH,X600219.SH,X600578.SH,X002470.SZ,X600307.SH,X600315.SH,X000060.SZ,X601699.SH,X002075.SZ,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.449233832211012,0,0,0,0,0,0,0,0,0,0.0476386047764902,0.231536731559891,0,0,0,0,0,0,0.0644038027735226,0,0,0,0,0,0,0,0.0346559705193809,-0.0221121513333086,0,0,0,0,0,0,0,0.0115411662428332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273738372731927,0,0,0,0,0,0
X600028.SH,0.429428538654037,0,0,0,0.150570426320058,0,0,0,0,0,0.0239158696421347,0,0,0,0,0,0,0.185856937627604,0,0,0,-0.0425606097634847,0,0,0,0,0,0,0,0.112645244657458,-0.056985023889128,0,0,0,0,0,0,0,0,0.0261213011598888,0,0,0,0,0,0,0,0,0.154093078283691,0,0,0,0,0,0,0,0,0
X601088.SH,0.0359727042976131,0,0,0,0,0,0,0.340963497497751,0,0,0,0.171955940144083,0,0,0,0,0,0,0.0387445069248977,0.0613514496205405,0,0.0494842387585495,0,0,0.0634555903908079,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.0590455560895052,0,0,0,0,0,0,0,0,0,0.0125867353824786,0.232798579255366,0,0,0,0,0.0106925691475586,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.020930541892465,0,0.216810543788736,0,0.0569725847662746,0,0,0.0838725478517452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110848160771621,0,0.0192410845831588,0,0,0,0,0.0378717839631089,0,0,0.146486005880335,0,0.137959609400115,0,0,0,0,0,0,0,0,0
X600011.SH,0.00621624364473972,0,0,0,0,0,0.127222249680299,0,0,0,0,0,0.0549971230881363,0,0,0.41873879404182,0,0.102048783939301,0,0.0135215438180365,0,0,0,0.0549362727142818,0.119222732376286,0,0,0,0,0,0,0,0,0,-0.0105900180176253,0,0,0,0,0,0.0470240187891408,0,0,0,0,0,0,0,0,0,0,-0.0164869673420981,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0655832315219162,0,0,0,0.0257548930747403,0,0,0.10892530239287,0,0.135204980024123,0,0,0,0,0.0697856661721259,0.258775512083115,0,0,0,0,0,0,0.125225934238175,0,0,0.0143075107826657,0.0538487507476939,0,0,0,0,0,0,0,0,0,0,0.041602907062668,0,0,0,0,-0.0378339936381347,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.476934382025728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0947559062227849,0,0,0,0,0,0,0.17026226864586,0,0,0,0,0,0,-0.0631203616775483,0,0.112797566847243,0.242552369076844,0,0,0,0,0,0,0.266649206146515,0,0,0,0,0,0,0.105645369861836,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.286804791236627,0,0,0,0.019785596049506,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.00032363547382259,0,0,0,0,0,0,0,0,0.084078846276671,0,0,0,0,0.0408546205725561,0,0.00949295929816443,0,0,0,0,0,0,0,0.0413410750240958,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0.342954965513152,0,0,0,0,0.173734698318915,0,0.0282121368274601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182187050018751,0,0,0,0,0,0.0906945295140389,0,0.0589501841847726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.255695389758385,0,0.207772173095518,0,0,0,0,0.0928710124289485,0,0,0,0,0,0,0.0678218984315431,0,0,0,0,0,0,0,0,0.108506521185443,0,0,0.0057487141207955,0.0339385575913845,0,0,0.200307063104622,0,0,0,0,0,0,0,0,0.0125756427969989,0,0,0,0,0,0,0,0,0,0
