,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600547.SH,X600886.SH,X600585.SH,X600011.SH,X600660.SH,X601600.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600803.SH,X600027.SH,X002460.SZ,X601991.SH,X600160.SH,X000301.SZ,X600426.SH,X002466.SZ,X000983.SZ,X601699.SH,X600176.SH,X600219.SH,X000786.SZ,X000807.SZ,X002128.SZ,X000630.SZ,X600985.SH,X000877.SZ,X601168.SH,X000933.SZ,X000408.SZ,X600096.SH,X000883.SZ,X000932.SZ,X000027.SZ,X002353.SZ,X600378.SH,X002271.SZ,X600995.SH,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.411166364705873,0,0,0,0,0.101593099918229,0,0.262466316326803,0,0,0,0,0,0,0.0342602624153738,0.110769046354447,0,0,0,0,0,-0.0224491996868278,0,0,0,0,0,0.00690827849800362,0,0,0,0,0,0,0.129708451877476,0,0,0.0141454098862676,0.076599080529662,0,0,0,0,0,0.0216943058568975,0,-0.0462066086828778,0,0,0,0,0,0,0,0,-0.0343949799211962,0,0
X600028.SH,0.407213155672895,0,0.121075500194001,0,0,0.100827794454004,0,0,0,0,0,0,0.0979012925964858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0039479606149395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0.225581902536945,0,0,0,0.0781616016113876,0.172558770248067,0,0,0.0288853026573946,0,0,0.192718900859537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0388490511060975,0,0,0,0,0,0,0,0,-0.0861713320069489,0,1.35525271560688e-20,0,0,0,0,-0.0489642275607694,0,0,0,0,0.0328017323543041,0,0,0,0.00469142787086826,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.0799877182907893,0,0,0,0,0.00091028399484688,0,0,0,0.060118153666517,0,0.0387608193851319,0,0,0,0.0450670943893786,0,0,0,0,0,0,0,0.0641981252395062,0,0,0.0804581816107403,0,0,0,0,0,0,0,-0.0273514080761247,0,0.206649822871397,0,0,0,0.136385231865719,-0.233513275504339,0,0,0,-0.0371103246963645,0,0
X601898.SH,0.147132503562586,0.0680535339663202,0,0,0,0,0.0277974215159546,0,0.0548221688185261,0,0,0,0.184205369248281,0,0,0,0,0,0,0,0,0.0617663816439235,0,0,0,0,0,0,0,0.298433470540534,0,0,0,0,0,0,0,0,0,0.00574387229779633,0,0,0.00617178320541885,0,0,0,0,0,0,0,0,0.0271227670549214,0,0,0,0,0,0,0
X600019.SH,0,0,0.0534263916907853,0,0.205869142490004,0,0,0,0,0,0.249972134758541,0.0510818902057638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486974761863825,0,-0.142278018681992,-0.147327069803573,0.244617517453642,0,0,0,0.0332136963730029,0,8.67361737988404e-19,0,0,0,0,0
X600188.SH,0,0,0.363973896654244,0,0.133355311789197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0781825292316576,0,-0.0301710894272568,0,0,0,0,0.268801828393388,0.465556622518365,0,0,0,-0.136203970818677,0,0,0.282148491958251,0,0,0,0,0,0,0.106809798073999,0,-0.146218381613174,0,-0.00636530520103292,0,0,0,4.33680868994202e-19,0.0261490345500054,0,0,0,0.0318506613792983,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442115058809384,0.332038701655326,0,0.0639059206185213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617664838261928,0,0,0.0191811823018344,0,0,0,0,0,0,0,0,-0.0436017684466307,0,-0.0949405051973734,0.166035627373981,-0.0616962849316373,0,0,0,0,0.00258363655311684,0,0
X600886.SH,0.26533592742248,0,0,0,0,0,0,0,0,0,0,0,-0.00905143821551476,0.0724802011342072,0,0.0542658680047577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.257987217189633,0,-0.0668746400084012,0.195736187649562,0,0,0,0,0,-0.033415630561463,-0.187156912201143,0,0,0,0,0,0,0,0,0,-0.153568096618581,0,0,0.0835008279760913,0,0,-0.00988765760832344,0,0
X600585.SH,0,0,0,0.085978491496412,0,0,0,0,0,0,0,0,0,0,0.271525620272656,0.0692346807761089,0,0,0,0,0,-0.0207740362369655,0,0,0,0,0,0.0855472911552042,0,0,0.0939067582428499,0,0.0224967913238249,0,0,0,0,0,0,0,0,0.0345675575678179,0,0,0,0,-0.0952460887593191,0,0,0,0,0,-0.0120120935455653,0,0,0,-0.00341726049417187,0,0
