,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601898.SH,X300072.SZ,X601600.SH,X600688.SH,X600547.SH,X600795.SH,X601991.SH,X600362.SH,X600309.SH,X600660.SH,X600188.SH,X600886.SH,X601992.SH,X600027.SH,X600157.SH,X600111.SH,X600489.SH,X600339.SH,X000898.SZ,X002466.SZ,X600299.SH,X000709.SZ,X000959.SZ,X601158.SH,X000408.SZ,X000792.SZ,X600583.SH,X000630.SZ,X000883.SZ,X600219.SH,X600352.SH,X000539.SZ,X000983.SZ,X002092.SZ,X000723.SZ,X000027.SZ,X002460.SZ,X000825.SZ,X601699.SH,X600098.SH,X600578.SH,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.213948013552446,0,0,0.0758122459674565,0,0,0,0,0.0492972127652436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00476126598183942,0,0,0,0,0,0,0,0,0,-0.0511273365442205,0,0,0.031066815500714,0,0,0,-0.00564192766582461,-0.000571443483808309,0,0,0,0,0,0
X600028.SH,0.133722757340193,0,0,0,0,0,0,0,0,0,0.438149733566802,0,0,-0.0314431140932751,0.0626988031421337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303045044593808,0,-0.0834217349395322,-0.0309503242750101,0,0,0,0.0536849436161769,0,0.00469594607734651,0.00585334946711049,0,0,0,0,0,0
X601088.SH,0,0.0249579607951376,0,0,0,0.183344468905668,0,0,0,0,0,0,0,0,0,0,0,0.0506141010035972,0.0223913581974251,0,0,0,0,0,0.024150732701484,0.0660287048442081,0,0,0.0680020277970715,0,0,0,0,0,0,0,0,0,0,0.0435436887472145,0,0,0,0,0,0.148571981214178,0,0,0.0162474928540488,0,-0.0114788151710752,0.00178715866571703,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.278919678162943,0,0,0,0,0,0,0,0,0,-0.0354284701043612,0.493719983672613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0555510316898702,0,0,-0.0293116324817218,0,-1.73472347597681e-18,0.0291102979016406,0.0128865621579472,-0.0114077840867713,0.549165167041085,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.409149155188179,0.0143048452562461,0,0,0,0,0.113667999381106,0,0.1613965920982,0,0.167595976591754,0,0,0,0,0,0,0.0506761461234532,0,0,-0.0940594259772843,0,-0.117544407366066,0,0,0,0,0,0,0,0,0,0,0,0,0.0429794414863759,0,-0.00140567797162988,0,0,-0.0979375956532713,-0.0281599704954223,0.00599291957702515,0,0,0,-0.022034573259249,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,-0.121483335215241,0,0,0.0450320159483666,0.108238024169373,0,0,0,0,0.232373868214595,0,0,-0.0910414054171889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00543865090370474,0,0.0193356191751636,0,-0.0211520852681231,0,0,0,0,0,-0.0421693667702902,0.0607904270668142,-0.0210247694713318,0.0420751241345604,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,-0.00290330544529142,0,0,0,0,0.108464697899216,0.0153170982261584,0,0.00205310072713665,0,0,0,0,0,0,0,0,0.225038366992617,0,0,0,0,0,0,0,0,0,0,0.0462991334328742,0,0,0,0.148663724328635,0.00334586159919294,0,0,0,0,0,0,0,0,-0.00256570018113996,-0.00668362954911103,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104690902223868,0,0,0,0,0,0,0,0,0,0.0981980991802988,0,0,0,0,0,0,0,0,0.330121266549647,0.00850683108600247,0,0.0621548519995643,0,0,0.12661016195756,0,0,0,0,0,1.0842021724855e-19,0.0248560739357462,0,0,0,-0.00565632008851911,0.000591823972997936,0,0,0,0,0,0
X300072.SZ,0,0,-0.00890241020137659,0,0,-0.0958881282113409,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137277951762971,0,0,0,0,0.00525915767118819,0,0,0,0,0,0,0.0395341752690382,0.0662989985428402,-0.0982768128689641,0,0,0,0,0,0,0,0.0308907036979424,0,0,-0.0328840196143298,0,0,0,0.115490822650237,0.228503166331582,0.0270894077929132,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0.0846821508179882,0,0,0,0,0,0,0,0,0,0.259809170281936,0,0,0.0291868261910477,0,0,0,0,0,0,-0.0169322692428221,0,0,0,0,0,0,0,0,0,0,0,0.319763670101551,0,0,0,0.0476247018984756,0,0,2.71050543121376e-20,-0.0773953405264858,0,0,0,0.0623621223724222,-0.0880408508585236,0.00299885842134522,-0.00501299049330245,0,0,0,0,0,0
