,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X601600.SH,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600027.SH,X600795.SH,X600362.SH,X600426.SH,X601991.SH,X600803.SH,X000983.SZ,X600176.SH,X600489.SH,X601699.SH,X000807.SZ,X000786.SZ,X000408.SZ,X300037.SZ,X600160.SH,X000539.SZ,X600219.SH,X600995.SH,X000629.SZ,X600688.SH,X000932.SZ,X600378.SH,X002080.SZ,X600612.SH,X600157.SH,X000027.SZ,X000723.SZ,X000933.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.547741300977095,0,0,0,0.257686745974465,0,-0.00157974159398513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135817123343133,0.18837704192865,0,0,0,0,0,0.0796804475994546,0,0,0,0,0,0,0,0,0,-0.07084166267043,0,0,0.169265267522758,0,0,0,0.186825771052695,0,0.0436627869693966,0,0.254153826551693,-0.136477408593566,0,0,0,0
X600028.SH,0.696943960767762,0,0,0,0,-0.0971412809513083,0,0,0,-0.0841577906052245,0.0747674904546256,0.136758278149933,0,0,0,0,0,0,0,0,0,0,-0.0182274593980231,0,0,0,0.0325245542798073,0,-0.0290815534091505,-0.027478209202268,0,0,0,-0.0272862210842865,0,0,0,0,0,0,0,0,0,0,0,-0.0169152274363805,0,0,0,0,0,0.0136071182076139,-0.0150211224226767,0,0,0,0,0,0
X601088.SH,0.0307505469384313,0.223536346066945,0,0,0,-0.136587086214464,0,0,0,0,0.368727433712752,0,0,0,0,0,0,0,0,-0.0589944071888038,0,0,0,0,0,0,0.0458553641716311,0,0,0,0,0,0,0.146535217023465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257121854345028,0,-0.0387882080373255,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.134453929987025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19922975225856,0,0,0,0.046983560396751,0.00229010793232233,0,0.148677223933677,0,-0.0418830011267153,0,0,0,0,-0.150929941323678,-0.00485451338524153,0,0,0,0.023055096459581,0,0,0,0,0,0,0,-0.0224858889546968,1.73472347597681e-18,0,0,0,0,0
X600011.SH,0,0,0,0,0,-0.081753173061944,0,0,0,0,-0.108500782711906,0,0,0,0,0,0,0,0,0,0,0,0.0785996743489475,0.593984771660136,0,0,0.225784272501355,-0.0497993800009652,-1.73472347597681e-18,0,0,0,0,0,-0.303959456190188,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.143836927225624,0,0,0.0349285380245705,0,0,0,0.034396530556471,0,0,0,0,0,0,0
X600188.SH,0.123620616929287,0,0,0,0,0,0,0,0,0,0.326610828647553,0,0,0,0,0,0,0,0.382000530652484,0,0.059131877248814,-0.0693037180455057,0,0,0,0,0,0,0,0,0,0.0676690577521856,0,0,0,0.168578706215228,0,-0.0859610464904606,0,0,0,0,0,0,0,0,0,0,0,0.276844081187445,0,-0.129388069344519,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.131108597789428,-0.00356628318939125,-0.0735227994489786,0,0.0964905810734165,0,0,0,0,0,0,0,0,0,0,0,0,0.0108726388723246,0,-0.0537592560769568,0,0,0,0,0,0,0,0,0,0,0.199813087927801,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0235494612751305,0,0,0,0,0,0,-0.0209686836021249,0,-0.0887911697282709,0,0,0,0,0
X600019.SH,6.93889390390723e-18,0.0588008709223617,0,0,0,0.138806088945808,0,0,0,0,0,0.0927341222703488,0,0.100548302173569,0,0,0,0,0,0,0,0,0,0,0,0.0106757121610028,0.0411890979457278,0,0,0,0,0,0,0,0,-0.0636720440220574,0,0,0,0,0,0.124542120039575,0,0,0,-0.0248962864726937,0,0,0,0,0.00208124135565029,0.0417833880882174,0,0,0,0,0,0,0
X002460.SZ,-0.0149686659174329,0,0,0,0,0,0,0,0,0.524837121751758,0,-0.0401054875494417,0,0,0,0,0,0,0,0,0,0.148793388052724,0,0,0,0,0,0,0,0,-0.0262025036050453,0,0,0,0.0357087146016444,0,0,0,0,0,0.125629943366147,0,0,0,0,-0.00749765172417466,0,0,0,0,0.152253817102198,0.0168584820471153,0,0,0,0,0,0,0
X002466.SZ,0,-0.118839716535167,0,0,0,0.0474633755608576,0,0,0.34821631771985,0,0,0,0,0,0,0,0,0,0,0.0996761790838155,0.123339536338024,0,-0.0683633139968057,0,0,0,0,0,0,0,0,0.115123484338178,0,0,0,0,0,0,0,0,0,0,0,0,0.0373741193907417,0,0,0,0.475484165626089,0.102616527287418,0,0,0,0,0,0,0,0,0
