,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002271.SZ,X600660.SH,X002460.SZ,X600886.SH,X600801.SH,X000786.SZ,X601600.SH,X601898.SH,X600362.SH,X600010.SH,X600489.SH,X600176.SH,X601991.SH,X600111.SH,X600352.SH,X600188.SH,X600027.SH,X600795.SH,X600426.SH,X600299.SH,X600688.SH,X002466.SZ,X002080.SZ,X601992.SH,X002353.SZ,X600529.SH,X600486.SH,X600219.SH,X000723.SZ,X600612.SH,X000301.SZ,X000932.SZ,X002409.SZ,X002075.SZ,X000027.SZ,X600315.SH,X600126.SH,X600516.SH,X601158.SH,X000898.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0386111128542665,0,0,0,0.177602177297926,0,0,0,0,0,0,-0.0118535747554411,0,0,0,0,0,0,0,0,0,0,0.122752415906306,-0.0300911133000295,0,0,0.0308540459788478,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00105365596146731,-0.00397478795911225,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0477647008271855,0,0,0,0.0556596461846315,0,0,0.0354890284415115,0,0,0,0,0,0.0815070901183627,0,0,0,0,-0.00608016229401571,0,0,0,0,0,0,0,0,0,0,0.136713324592523,0,0,0,0.0233110095641706,0,0,0,0,0,0.0312462728721835,0,-0.0289608628507137,0.0374411486444828,0,0,0,0,-0.00320221880638164,0.00439208530140966,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0103067521905094,0,0,0,0,0,0,0,0,0,0.00576274874829344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227407018345452,0,0,0,0.0205744477940753,0,0,0,0,0,0,0,0.0901847768802755,0,0,0.14489769876295,0,0,0,0.0163833955170161,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226870772892876,0,0.0739097094562523,0,0,0,0,0,0,0.00363996568122453,0,0.106267244068219,0,0,0,0,0,0.00550998101411009,0,0,0,-0.0122640636744185,0,0.11701277780243,0,0.0426037247380672,0,0,0,0.0112560035272389,0,0,0,0,0,0,0,0,0.0147933818895731,0.00176659713238357,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.123181089046337,0.0510695865876928,0,0,0,0,0,0,0.158880085300921,0,0,0.0314447120964415,0,0,0,0,0,0,0.178927359251149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510276130976542,0,0,0,0,0,0,0.0202569062697473,0,0,0.00140836166037743,-0.0226077994655924,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0.106798589841457,0,0,0,0,0,0,0,0.0509101426935416,0,0.620954345140593,0,0,0.00436746487176419,0.0519794114556531,0,0,0,0,0.0358322366295774,0,0,0,0,0,0.0372020326736579,0,0,0,0.0176720041888763,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168441845528292,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241116082015667,0,0,0,0,0.0578303335991969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102820735080195,0,0,0.0808818906369896,0.0376494373864666,0,0,0,-0.0408940081844537,0,0,0.0383068227415691,0,0,0.0117232594360372,-0.00146300258704677,0,0,0,0,0,0
X000708.SZ,0,0,0,0,-0.0728442519491903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101058346365728,0.124379214208365,0,0,0,0,0.3278868644284,0,0,0,0.0269557686165737,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0794154534316478,0,0,0,0,0,0,0,0.15190783518377,0,0,0,0,0,0.00408842125360504,-0.0101731955190869,0,0,0,0,0,0
X600011.SH,0,0,0,0.148602937774489,0,0,0,0,0,0,0,0,0,0.0709926858990169,0.10272769581292,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0245732090805347,0.0688811455383484,0,0,0,0,0.0281564878340935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0224699192533302,0,0,0,0,0,0.0161294122360124,0.0150161000104689,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0.0382494702353265,0,0,0,0,0,0,0.0644934906786467,0,0,0.180309415686349,0,0,0,0,0,0,0,0.219478627633872,0,0,0,0,0,0,0,0,0,0,0,0,0.0602950208971504,0,0,0,0,0,0.0124601438429807,0.145746460367793,0,0.0629859978177495,0.0570041033099524,0.0477384405421771,0,0,0,0,0,-0.0160846387640132,0,0,0,0,0,0
