,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X600010.SH,X601898.SH,X600547.SH,X600362.SH,X601600.SH,X600188.SH,X600688.SH,X600795.SH,X600157.SH,X300072.SZ,X601991.SH,X601992.SH,X600111.SH,X600027.SH,X600489.SH,X600309.SH,X600886.SH,X000723.SZ,X600660.SH,X600623.SH,X002466.SZ,X600299.SH,X601158.SH,X000792.SZ,X000959.SZ,X002075.SZ,X000898.SZ,X000709.SZ,X000408.SZ,X000630.SZ,X000983.SZ,X600583.SH,X000883.SZ,X600549.SH,X600352.SH,X000539.SZ,X601699.SH,X000060.SZ,X000937.SZ,X000935.SZ,X600176.SH,X000027.SZ,X600219.SH,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0430479972047262,0,0,0,0,0,0.00987166607218442,0,0,0,0,0,0.0131601645231084,0,0,0,0,0,0,0.0196925597578655,0.109592468179538,0,0,0,0,0,0,0,0,0,0.00996802684472487,0,0,0,0,0,0,0,0,0,0.023452376007445,0,-0.00135403687880152,-0.0147633102005651,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,-0.0693808787826191,0,0,0,0,0,0,0.0497615723101795,0,0,0,0,0,0,0,0,0,0,0.0405736469203939,0,-0.0150002327544723,0,-0.019174204918207,0,0,0,0,0.0887302013273003,7.92188903674176e-05,0.0945435322354324,0,0,0,0,0,0,0,0.0496529238962728,0.112624844686234,0,0,0.0163271189161792,0,-0.0439452786115701,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.189132425004066,-0.0119192514680146,0,0,0,0,0,0,0,0,0,0,0,0,0.0290423346577435,0,0.0555948057528889,0,-0.0500938856881983,0,0,0,0,-0.0379375462499118,0,0,0,0,0,0,0,0,0.0394459242833185,0,0,0,0,0.150213018667742,0.0779491330641901,0,0,0,0,0,0,-0.0690869025738531,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.0191299987389878,0,0,0,-0.0130392258480032,0,0,0,0,0,0,0.0923854748297988,0,0,0,0,0,0,0.0740896938840069,0,0,0.0301296733235922,0,0,0,0,-0.0287830437172109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864238774026326,0.00252450160806771,0,0,0,0,0,-0.0512392842437311,0.00987294890945115,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0734644162564024,0,0,-0.155887594860502,0,0,0,0,0,0,0.0425783663500981,0,0,0,0,0,0.109629802844838,0,0,0.0203110264993747,0,0,0,0.111708397784888,0,0,-0.0698111740779352,0,0,0,0,0,0,0,0,0,0,0.263510272778462,0,0,0.0511811755098259,0.0874622944565551,0,0,0,0,0.101082827142733,0.038230722690932,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.164566654256246,0,0,0,0,0,0,0,0,0,0,-0.0187584973828131,0,0,0,0,0,0.095018589513005,0,-0.032587247565069,0,0,0.0372058923936033,0,0,0,0.0579300338991618,0,0,0,0,0,-0.0222717741167928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209557967884209,-0.0459672976985503,0,0,0,0,0,0
X600010.SH,0,0,0.0218440915279198,0,0,0,0,0,0,0.037891285544511,0.00190883193434464,0,0,0,0,0.012730219792272,0,0,0,0,0,0,0.235466429268531,0,0,0,0,0,0,0.0752268426985625,0,0,0,0.0308308555330924,0,0,0,0,0,0.0614872473723487,0,0,0.0103320686576461,0.0609246053842586,0.0547934313788136,0,0,0,0,0.0518385518694831,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0.145169213842144,0,0,0,0,0,0,0,0,0.156751933475293,0,0,0.00986640114165338,0.0185384178137597,0,0,0,0,0,0,0,0.037022835533967,0.0839518510316842,0.057001788324734,0,0,0,0,0.0168083797385555,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.120716391221643,0.0277300662951164,0,0.272349954077665,0,0.0516931359405771,0.0321496366527707,0.161901279708821,0,0,0,0,0.0454489702041362,-0.0601077530690127,0,0,0,0,0,0
X600547.SH,0,0,-0.0838052694286794,0,0,0,0,0,0,0,0,-0.138302654324426,0,0,0,-0.0454338963307966,0,0,0,0,0.963222661075514,0.0917242113470485,0,-0.00613073559890502,0.102316472483341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0865667680527918,0,0.0955708433319373,0,0,0,0,0,-0.0552128330132647,0.0141444021094684,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.0766709735450117,0,0,0.197160030959334,0,0,0,0,0,0,0.114335543931322,0,0,0,0,0,0,0,0,0,0,0.0545696380754144,0,0.0115195313429017,0,0,0,0,0.129234447108502,0,0,0,0.0537159723407528,0,0,0,0.271024752497216,0,0.00704823348978579,0,0,0,0.030458025382192,0,0,-0.000723519066701846,0.00154507662788088,0,0,0,0,0
