,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X000792.SZ,X002460.SZ,X600019.SH,X601898.SH,X002271.SZ,X002466.SZ,X600111.SH,X600011.SH,X000877.SZ,X600660.SH,X000708.SZ,X600547.SH,X600010.SH,X601600.SH,X600886.SH,X000301.SZ,X600426.SH,X600176.SH,X600362.SH,X000983.SZ,X600795.SH,X000786.SZ,X600803.SH,X600801.SH,X600096.SH,X601699.SH,X000723.SZ,X600486.SH,X601991.SH,X000408.SZ,X000932.SZ,X600295.SH,X600219.SH,X000630.SZ,X600027.SH,X600141.SH,X000807.SZ,X000959.SZ,X000830.SZ,X600489.SH,X002080.SZ,X600985.SH,X600157.SH,X300073.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0806311578197578,0,0,0,0,0,0,0,0.0671861019940334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0931866129393887,0,0.0513160162721849,0,0,0,0,0,0,0,0.131153075390882,0,0.0569244089395633,0.077012595699848,0,0,0.160529363687006,0,0,0,0,0,0,-0.0243568664845647,0,0,0,0,0,0
X601088.SH,0.0561301544437481,0,0,0,0,0.0545123348394675,0,0,0,0.238778846356303,0,0,0,0,0,-0.0395477085931844,0,0,0,0,0,0,0,0,0,0,0.0467012984596257,0,0,0,0,0,-0.0898576464571809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363788934845258,0,0,0,0.0333158749186501,0,0,0,0,0,0,0
X600028.SH,0.0253137720964854,0,0,0,0,0,0,0,0,0.0334721616757208,0,0,0,-0.047066281034467,0,0,0,0,0,0,0,0,0.0452649502742734,0,0,0.0177041234594819,0,0,0,0,0,0,0,0,0,0,0,0.0673290609895628,0,0.0612444439954441,0,0,0.0266895738333445,0,0,0,0,0,0,0,0,-0.00224912398371789,-0.00989381516576949,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.00852954500731018,0,0,0,0,0,0,0.226586201318133,0,0.133319085835487,0,0,0.159655234213263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318091729313846,0,0,0,0,0,0,0,0,0,0,0,0.000198818210481751,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.013101863499958,0,0,0,0,0,0.0453238526584714,0,0,0,0.114887857182782,0,0.38149088511138,4.33680868994202e-19,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0360901149034082,0,0.0093816890209631,0,0,0,0,0,-0.00576528735654357,0,0,0,0,0,0,0
X600188.SH,0,0.234966339891019,0,0,0,0,0,0.0669491205894177,0,0,0,0,0,5.42101086242752e-20,0,0,0.018895006324995,0,0,0,-0.0603983395227688,0,0.0579835344465232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0572466344525403,0,0,0,0,0.157841021243601,0,0,0,0,0.557907645025895,0,0,0.0342033521649789,-5.42101086242752e-20,0.0669433539223825,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0443644920848769,0,0,0,0,0,0.33704211921209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0568183929975426,0,0,0.0202373480168749,0,0,0,0,0,0.221929257906101,0,0.238694965175767,0,0,0,0,0,0,0,0.106554431151777,0,0,0,0,0,0,0,0,0
X002460.SZ,0,-0.0118869264537707,0,-0.00609743859293537,0,0,0.0663349196755986,0,0,0,0,0.456780054831783,0.228690258705982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111722452727682,0,0,-0.0693842120845064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234218333147809,0,-0.0781298778529446,-0.0152728887958676,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.00637240561456489,0,0,0,0,0,0,0,0.0204832883770886,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0221785106649672,0,0.144752402087601,0,0,0,0,0,0,0.311395655688014,0,0,4.33680868994202e-19,0,0,3.46944695195361e-18,0,0,0,0,0.142888223723223,0,0,0,-0.0191523280974761,-0.0046262526600728,0,0,0,0,0,0
X601898.SH,0,0.173916247235845,0,0.00394612258393826,0,0,-0.0456470978086342,0,0,0,0,0,0,-0.0392867117651943,0,0,0,0.0899696301182671,0,0,0,0,0,0,0,0.230603751496981,0,0.00114692817369028,0,0,0,0,0,0,0,0,0,0.0452257128086287,0,0.174053943416807,0,0,0,0,0,0,0,0.227945672526454,0,0,0,-0.0263902074382704,0,0,0,0,0,0,0
