,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600795.SH,X600547.SH,X601600.SH,X600188.SH,X300072.SZ,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X600111.SH,X600886.SH,X601992.SH,X600489.SH,X600309.SH,X600660.SH,X600623.SH,X002466.SZ,X600299.SH,X000792.SZ,X002075.SZ,X601158.SH,X000898.SZ,X000709.SZ,X000723.SZ,X600352.SH,X000408.SZ,X600583.SH,X000883.SZ,X000959.SZ,X000983.SZ,X600549.SH,X000539.SZ,X600176.SH,X000027.SZ,X002470.SZ,X000630.SZ,X600021.SH,X600126.SH,X000012.SZ,X600098.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601600.SH,0,0,0,0,0,0.0700203253901529,0,0.0382679149442437,0,0,0,0,0,0,0,0,0,0.189548698543148,0,0,0.00612398720931548,-0.0113745406904345,0,0,0.0526471876091837,0.0552932233648668,0,0,0,0,0,0.0238671083063861,0,0,0,0.0607301081322997,0,0,0,0.0164689731647975,0,-0.0169692568004396,0,0,0,0,0,0.200228510854095,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0832710483638585,0,0,0,0,0,0,0,0,0.0241454571025816,0,0.0731018915290742,-0.0386986758574897,0,0,0,0,0,0,-0.086009454911193,0,0.0505517926208556,-0.069155734973304,0,0,0.658946646017817,0,0,0,0,-0.140215033209101,0,0,0,0,0,0.446639919650079,0,0,0.0546489773481367,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0.0912532899070301,0,0.117358451356401,0,0,-0.077915564917066,0,0,0,0,0,0,0,0,0,0,0,0,0.259512851721809,0,0,0,0,0,-0.0785054584069692,-0.103166012801522,0,0,0,0,0,0,0,0,0,0,0.124842387045772,0,0,0,0,-0.504820629432731,0,0,0,0,-0.384593103584157,0.326157382661878,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00730228104175275,0,0,0,0.00675103044340474,0,0.0110881905762794,0.0421590036183722,0,0,0,0,0,0,0,0,0,0.177986141985202,0,-0.00949073906424729,0.00574065861178216,0.0412526200824174,0,0,0,0.101590851023355,0,0,0,0,0,0.0317676664792104,0,-0.0443532128067322,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0.120331063084616,0,0,0,0,-0.0475887562748744,0,0.0169994999860959,0.000596972542108342,0,0,0,0,0,0.397954394747144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215075790374232,0,0,0,0,0,0.0451077695518877,0,0,0,0,0,0.0309159425646355,0,-0.011514854810627,0,0,0,0,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0.0195222987720068,0.134224723618728,0,-0.00803843961456277,0,0.0677308327362764,0.0257301071766528,0,0,0,0,0.156151490833217,0,0,0,-0.0252440269866337,0,0,0,0,0.0563487680019113,0,0,0,0.14239280546407,0,0,0,0,0,0.0146256523073461,0,0,0,0,0,0,0,0,0,0,0.0930999978940665,0.0152636462770939,0,0,0.0144223496969432,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.194415031539299,0.248497378696472,0,0,0,0,0,0,0,0,0,0,0,0,0.0717137056130531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241644554386975,0.093676649616822,0.0662279363180922,0,0,0,0,0.487575688414848,0,0,0,0,0.107704605616016,0,0.0462411349395613,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0938853699668979,0,0,0,0,0,0,0,0.277214358395127,0,0.346754033231245,0.068956538281054,0,0,0,0,0,0,0.141647063634101,0,0.0705666029796466,0,0.0809593871601212,0,0,-0.131142369077111,0,0,0,-0.00325013855381275,0.0310772568079516,0,0.240671355921987,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0.108933530868445,0,0.00566692343675175,0,0,0,0,0,0,0.00675331809255378,0,0,0.155831721301916,0,0,0,0,0,0,0,0,-0.00855902316592582,0,0.0706371371475606,0,0,0,0.0856650387474392,0,0,0,0.0147825757476192,0,0,0.0466134326882519,0.0921585966535222,0,0,-0.0187369670665461,0,0.137619091867414,0,0,0,-0.084051190184558,0,0,0,0,-0.110302331631116,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0.381344506146884,0,0,0,0,0,0,0.100831484243905,0,0,0,0,0,0,0,0,-0.0597996308269303,0.180211335261771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913182008711863,0,0.0461155308686892,0,0,0,0,0,0,0
