,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600660.SH,X601898.SH,X600688.SH,X002466.SZ,X600188.SH,X601991.SH,X601600.SH,X600362.SH,X600795.SH,X600886.SH,X002460.SZ,X600516.SH,X600547.SH,X300072.SZ,X000898.SZ,X600027.SH,X600352.SH,X000553.SZ,X600111.SH,X600176.SH,X601992.SH,X000786.SZ,X000825.SZ,X600426.SH,X600299.SH,X000709.SZ,X002110.SZ,X000792.SZ,X000408.SZ,X600808.SH,X000883.SZ,X000830.SZ,X600315.SH,X000932.SZ,X600801.SH,X601158.SH,X002271.SZ,X601699.SH,X600219.SH,X600489.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.356835701817691,0,0,0,0,0,0,0,0,0,0,0.00336525055257811,0,0.0733753750512961,0,0,0,0.0244963438051521,0,0,0,0,0,0,0,0,0,0.0204314209636826,0,0,0,0,0,0,0.180992381047726,0.0244674874818357,0,0,0,0,0,0,0,0,0.0772037396425972,0,0,0,0,0.0111847462142089,-0.00259596262900046,0,0,0,0,0,0
X600028.SH,0.228615499695299,0,0.153811696681102,0,0,0,0,0,0,0,0,0,0.0781103173179186,0,0,0,0,0,0,-0.0597157423485623,-0.121406555323166,0,0,0,0,-0.144067508078556,0,-0.0955652367386826,0,0,0,0,-0.0566553184342378,0,0,0.161099767187565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126482593042318,0.00738761503966,0,-0.0299934194627549,0,0.124665042067076,0,0
X601088.SH,0,0.206345729038442,0,0,0,0,-0.103325932275379,0,0,0,0,0.104400691854368,0.373549447899531,0,0,0,0,0,0,0.0413236892174813,0,0,0,0,0,0,0,0,0,0,0,0,0.103785663679208,0,-0.0553345287859799,0,0,0,0,0.0516026132164507,0.0546013629720889,0,0,0,-1.73472347597681e-18,0,0,0,0,0,-0.0060214198481916,0.0249283160894156,0,0,0,-0.0449922386340903,0,0
X600585.SH,0,0,0.337374798664938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105754517283658,0,0,0,0,0,0,0,0,0,0.0142701911004611,0.124991619771482,0,0.223466955299015,0,0.0641500262595004,0,0,0,0,0,-0.00873694165840441,0.00513052645042761,0,0,0,0.139014149055556,0,0
X600019.SH,0,0,0,0,0,0,0,0.0432042887496523,0,0,0,0,0.411788890885491,0,0,0,0,0,0.00377560695162746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00163734144296379,0,0,0.0907791862494719,0,0,0,0,0,0,0,0,0,0,0,0,-0.0096827506885941,0.0844163090601161,0,0,0,0,0,0
X600309.SH,0,0,0.301322608133149,0,0,0,0,0,0,0,0,-0.214978412070942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137979117716734,0,0,0,0,-0.00910476779208292,0,0,0,0,0.0250567802891327,0.147873154095125,0,0,0,0,0,0,0,0,0,0.0640306671038468,0.0101772990422398,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0142164685341095,0,0,0,0,0,0,0,0,0,0,0.0736479062505715,0.00826310394331561,0.00742703929528659,0.0712153395963797,0,0.172119943581896,0,0,0,0,0.0342368255089391,0,0,0,0,0,0,0,0.0156657369926313,0,0,0,0.0448676186621683,0,0,0,0,0,0,0,0,0,0.0117577665800888,-0.022538822007008,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.169003625425748,0,0,0,0,0,0,0,0,0,0.0584853668631051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343823066798709,0,0,0,0,0,0,0,0.0348110169728455,0.188792410117916,0,0.242103644147247,0,0,0,0,0,0,0,0.220613085718752,0,0,0.0220829227998543,-0.0361772812273836,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0070755139297745,0,0,-0.239725071727103,0,0,0,0,0,0,0.0787375236159707,0,0,0,0,0.191309514276957,0,0,-0.120366757285109,0,0,0,0,0,0,0,-0.112222103368482,0,0,0,0,0,0,0,0,0,-0.0110636182827271,0.0321830539338515,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0620167650906683,0,0.0751938265321005,0,0,0,0,0.161357802259068,0,0,0,0,0,0,0,0.0787777563384623,0.135029250647778,0,0,0,0.0119364345107254,0.0417297919588275,0,0,0,0,0,0.010648163731006,0,0,0,0,0,0,0,0,0,0.0405139276579686,0,0,0,0,0,0,0,0
