,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X000792.SZ,X600111.SH,X600019.SH,X600188.SH,X002466.SZ,X600011.SH,X000877.SZ,X600010.SH,X000708.SZ,X600660.SH,X002271.SZ,X000301.SZ,X601600.SH,X600547.SH,X601898.SH,X600362.SH,X600886.SH,X600426.SH,X600176.SH,X000723.SZ,X000408.SZ,X600219.SH,X601991.SH,X600803.SH,X000786.SZ,X600795.SH,X002080.SZ,X000807.SZ,X600096.SH,X600141.SH,X600688.SH,X000983.SZ,X300073.SZ,X600801.SH,X002353.SZ,X600027.SH,X600489.SH,X002497.SZ,X000960.SZ,X601699.SH,X000825.SZ,X000630.SZ,X000959.SZ,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,-0.00513274030381625,0,0.0594536830643234,0,-0.0419622776212367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0871825837534973,0,0,0,0.0295532918472602,0,0.254812988829471,0,0,0,0,0,0,0.0845143780085559,0,0,0,0,0,0,0,0,0,0.0487564855424373,0,0
X600028.SH,0.225271969062243,0,0,0,0,0,0,0,0,0.0176831258357429,0,0.00127781608969294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621719305145229,0,-0.0101080987726211,0,0.0852589394558861,0,0.0365961196180903,0,0,0,0,0,0,0,0.0145725530206195,0.0254261859772377,0,0,-0.00459405078784441,0,0,0,0,0.0101768627511247,0,0
X601088.SH,0.071063283916744,0,0,0,0,0,0,0,0,0.107380128530113,0,0,0,0,0,0,0,-0.277770484970944,0,0,0,0,0,0,0,0,0,0,-0.0580107016874757,0,0,0,0,0,0,0,0,0.292044733751219,0,0,0,-0.019518133928966,0,-0.0274518925828222,0.0889132758003437,0.0727215343650308,0,-0.0251738771245806,0,0,0,-0.0571284355603052,0.0574198995462717,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769826030288566,0.0521261942522774,0,0,0,0,0,0,0,0.0101757626682792,0.0448087091064589,0,0,0.0964139440146824,0,0.0306754561568582,0.0330812274805499,0,0,0,0,0.0105204712489404,0,0,0,0,0,0,0,0.00660110191991472,0,0,0,0,0,0,-0.018786936634649,0,0,0,-0.0184844053520172,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.0919820041578651,0.266293899043049,-0.0124690543266727,0,0,0,0,0.116799134184573,0,0,0,0,0,0,0,0,-0.289386304717034,0,0,0,0,0,0,0.109819593088572,0,0,0.105892762742985,0,0,0.274807787464436,0,0,0,0,0.122539126725584,0,0,0,0,0,0,0.0882629578873173,-0.0139486336745113,-0.000133833070264076,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00240054194831931,0.0559749464851318,0,0,0,0,0,0,0,0,0,0,0,0,-0.00247085278943451,0,0,0,0.0902951222732293,0,0,0,0,0,0,-0.0105516672763213,0,0.42755249357801,0,0,0,-0.00505528023296078,0,-0.0192903835023928,0,-4.33680868994202e-19,0,0,0,-0.00766990932808056,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0.279244711787017,-0.0377884703200288,0,0.316896857220515,0,0,0,0,0,-0.0260613970617033,0.263713443414166,0,0,0,0,0,0,0,0.0387357676718017,0,0,0,0,0,0,0,0,0.103195956536871,0,0,0,0,0,0,0.0649072728970968,0,0,-0.0667046313537892,-0.0965469694801726,-0.396179262248893,0,0,0,0,0,0,0,0,0,-0.0300753808510108,0,0
X600111.SH,0,0,0,0,0,0,0.0531592838275487,0,0,0,0.0781391370624478,0,0,0.184783830122169,0.0574198813192027,0,0,0.0434096206322129,0,0,0,0,0,0,0,0,0,0,0,0,0.0040026446074711,0,0,0.144083593805939,0.00690558865427318,0.0378095823699673,0,0,0,0,0,0,0,0.138444606048779,0,0,0,0,-8.67361737988404e-19,0,0,0.0180278858891832,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710850782660898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110725300140011,0,0,0,0,0.225566980237561,0,0.109080533771108,0,0,0.134189373646505,0,0,0,0.122314618911819,0.00524267405549911,0,0,0,0,0,0,-0.00589580310861748,0,0
X600188.SH,0,0,0,0,0.0402248219598213,0,0,0,0,0,0,0.0912859821788766,0,0,0.0282356655560019,0,0,0,0,0,0.146631286425663,0,0.0734207635830528,0,0,0,0,0,0,0,0,0,0,0,0.014770477726618,0,0,0.314966599287728,0,0,0,0,0,0,0,0.211584556740754,0,0,0,0,0,-0.0719421899606189,0.123836622276651,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.474985545407864,0,0.185298804660757,-0.0143152645235225,0,0,0,-0.0802966818549026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173804424805,0,0,0,0,0,0,0,0.0542898636736675,0,0,0,0,-0.24765948833783,-0.262743095072393,-0.036275911211324,0,0,0.239093566818051,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14955459080182,0,0,0,0.195043945270565,0,0,0.127879495708724,0,0,8.67361737988404e-19,0,0,0.0259450141900942,0,0,0.0993994290175763,0,0,0,0,0,0,0.401159652099896,0,-0.0706321234935613,0,0,0,0,0,0,0,0,0.00339135926600763,0,0,0,0,0,0
X000877.SZ,0,0,0,0,0,0.231025047191822,0,0,0,0,0,0.0116898650989202,0,0.179729374153361,0,0,0,0,0,0,0,0,0.0747478621277698,0,0,0,0,0,0,0,0,0,0,0,0.0112860078742161,0.0121717681406952,0,0,0,0.148623272954401,0,0,0,0,-0.12963606786776,0.192928624871922,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.116444347233539,0,0,0,0,0.194489646056904,0,0,0,0,0,0.130493403260923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678979613158736,0.140952387274988,0,0,0,0,0.0596626003028396,0,0,0,0,-0.0751143597397716,0,0,0,0,0,0,0.0320441331040071,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0.0939828946658439,0,0,0,0,0,0,0,0,0.0751739473210937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104351301070855,0,0,0,0,0,0.101049262305645,0,0.0530334886426885,0.0684194250819397,0.0498394954822938,0,-0.0892486171161104,0.0663622951130279,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,-0.0112226559692203,0,0.0501677102655911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275742841642995,0,0.00220968099217924,0,0,0,0,0,0,0,-0.0754827843083556,0.061650287807435,0,0,0,0,0.00393141366470802,0,0,-0.030161659389506,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0.00617492047662718,0,-1.73472347597681e-18,0,0.00277293759848472,0,0,0,0,0,0,0.0493655926271715,0,0,0,0.0488636443606331,0,0,0,0.0491763083093628,0,0,0,0.613091359247925,0,0,0,-0.110278003380357,0,0,0,0.125065731769057,0,0,0,0,0,0,0.166985354402959,0,0,0,0,0,-8.67361737988404e-19,0.00757469477757198,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,-0.0469205495041538,0,0.0639816068385389,0,0.208894842547946,0,0,-0.0887315331991383,0,0,0,0,0,0,0,0,-0.0264445949678135,0,0.750191292450603,0,0,-0.0436059529847172,0,0,0,0,0,0,0,0,0,0,0,0,0.100058423051017,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0235557768957266,0,0,0,-0.103225457204267,0,0
