,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X600011.SH,X600188.SH,X002460.SZ,X601898.SH,X601600.SH,X002466.SZ,X600547.SH,X000792.SZ,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600176.SH,X600027.SH,X601991.SH,X600803.SH,X600489.SH,X000983.SZ,X000807.SZ,X601699.SH,X000786.SZ,X000932.SZ,X600160.SH,X002080.SZ,X000629.SZ,X000408.SZ,X600219.SH,X000539.SZ,X300037.SZ,X600995.SH,X000933.SZ,X600688.SH,X000630.SZ,X600096.SH,X600157.SH,X000723.SZ,X600378.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.376773294343691,0,0,-0.064675737185807,0,0,0.0393973519664938,0,0,0,0,0,0.002687899851929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157554715432629,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.147466903738526,0,0,0.154143585463355,0.00588898192882801,0,0,0,0,0,0
X600028.SH,0.638054363346462,0,0,0,0.189041269287913,0.0758489327129559,0,0,0,0.032752643906536,0,0,0,-0.014671152268208,0,0,0,0,0,0,-0.0889365346198955,0,0,0,0,0,-0.0330652060527858,0,0.0336742182353042,0,0,0,0,-0.0761963261744976,0,0,0,0,0,0,0,-0.047997939043599,0,0,0,0,-0.0340694493791366,0,0,0,-0.0320019305224944,0.0120068934553347,0.0553011595467167,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.3123367706454,0,0,0.0427275449076121,0,-0.027585594265014,0,0,0,0.0587597355952498,0,0.086630758570887,0,0,0,0.00751827283045576,0,0,0.129829818165656,0,0,0,0,0,0,0,0,0,0,0,0,-0.0481831107431669,0,-0.0470879297912601,0,0,0,0,0,0,0,0,0,0,0,0.0326082615759479,0,0,0,0,0,0
X600309.SH,-0.108413817086721,0,0,0,0,0,-0.0707360240148291,0,0,0,0,0,0,0,0,-0.0184031097556263,-0.0335172272207228,0,0,0,0.0172565197635947,0,0.139882209762777,0,1.73472347597681e-18,0,0,3.46944695195361e-18,0,0,0,0,0,0.0504199296107828,0.044729949987962,0.00907014307829611,0.212550017212028,0,0,0,0,0,0,0.0985329929774985,0,0,0,0,0,0,0,0.00549499674347592,-0.00810342070655683,0,0,0,0,0,0
X600585.SH,-0.0148320162826696,0,0,0,0,0.366090844137078,0.00957424555596058,0,0,0,0,0.112772695163325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0653659143671004,0,0,0,0.0406485383439585,0,0,0,0,0,0,0.107406886988933,0.112664749717232,0.0227326046746968,0,0,0,0.0464914279389337,0,0,0,0.250564591518215,0,0,0,0,-0.080619545231014,0,0,0,0,0,0
X600019.SH,0,0.0529769850620521,0,0,0.0742655379314156,0,0,0,0,0.0164849294479146,0.00363406837966365,0,0,0,0,0,0,0,0,0,0,0,0.0689635020711973,0,0,0,0,0,0,0,0,0.155333698489333,0.131089114010743,0,0,0,0,0,0,0,0,-0.104227794574792,0.0237834814137702,0,0,0.00998334431174291,0,0,0,0.0340662911303418,0,0.0702700103708852,0,0,0,0,0,0,0
X600011.SH,0,0,-0.0239224332588462,0,0.191535681995244,0,0,0,0,0,0,-0.0579658701222906,0,0,0,0.159920693814865,0,0,0,0,0,0,0,0,0,0,0.337582021220589,0.540066360490766,0,0.197317751752178,0,-0.143600717779926,0,-0.0989037086941702,0,0,-0.237129019574424,0.0223724001381914,-0.183545515294158,0,-0.0562803096894404,0,0,0,0,0,0,0.274495900081426,0,0,0,0.0313827106026413,-0.0791136440691826,0,0,0,0,0,0
X600188.SH,0,0,0.362718423237715,0,0,0,0,0,0,0.136465184595212,0.162319200467799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.371388828310197,0,0,0.567649102460836,0,0,0.111684167239505,0,0.146547862354751,0,0,0,0,0.0210306929614872,0,0,0,0.132273289270737,0,0,0,0,0,-0.132383316036188,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.526504534961912,0,0,0,0,0,0,0,0,0,0,0,0,0.024084899209816,0,0,0,0,0,0,0,0,0,0.0930454346118021,0.0616333970544561,0,0,0.297367507351766,0,0.00137853678744805,0,0,0,0,0,0,0,0,0,0.175655751134397,0.0137873063851688,-0.0244910657351128,0,0,0,0,0,0
X601898.SH,0.0536118553057892,0,0.0757570727170247,0,0,0,0,0.230668333579067,0,0,0,0,-0.0108607247807671,0,0,0,0,0,0,0.112155474916425,0,0,-0.196961993800641,0,0,0,0,0,0,0,0,0,0.334539668735112,0.0866031053451846,0,0,0,0,0,0,-0.101879096977924,-0.151167350960639,0,0,0,0,0,0,0.00642707443791512,0,0,0.00211099821061251,0,0,0,0,0,0,0
