,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X000792.SZ,X002466.SZ,X002460.SZ,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600426.SH,X600795.SH,X000877.SZ,X600362.SH,X002271.SZ,X601699.SH,X000983.SZ,X600803.SH,X600489.SH,X600176.SH,X600027.SH,X000807.SZ,X000786.SZ,X601991.SH,X000932.SZ,X000630.SZ,X600160.SH,X000933.SZ,X600219.SH,X000408.SZ,X600985.SH,X600688.SH,X000629.SZ,X002080.SZ,X600612.SH,X002353.SZ,X300037.SZ,X601168.SH,X600801.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.956599962008613,0,0,0.0500706700652211,0,0,0,0,0,-0.0257101580483081,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0025492680857288,0,0,0,0,0,0,0,0,0,0,0,0.0192681700826294,0,0,0,0,0,0,0,0,0,-0.0414273947290541,0.145713263200631,-0.0218739961894571,0.190378951169977,0.0431714830130134,-0.00304176523765142,0,0,0,0,0,0,0
X600028.SH,0.583306911986771,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,-0.00900032921791482,0,0,0,0,0,0,0,0,0.0141292427234014,0,0,0,0,0,0.105885613397201,0.0789903812901498,0,0,0,0,0.157134687310371,0,0,0,0,0,0,0,0,0,0,0,-0.147200606620422,0,0,0,-0.0378322523479329,-0.0493659267744553,0.0054611758629845,-0.00471897907914796,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.326686890495243,0,0.0161268843588581,-0.0416175075725716,0,0,0,0,0,0,-0.0192731887018551,0,0.238989212180306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0621173912702506,0,0,0,0,0,0,0,0,0,0,0.120054506368911,0,0,0,-0.00737937210338352,0,0.0540798118985733,0,0,0,0,0
X600309.SH,0.0428497947186402,0,0,0,0.0348107179506135,0,0,0,0,0,0.229053054538675,0,0,0,0.0253076088903382,0,0,0,0,0,0,0,0,0,0.0454727614692913,0,0,0,0,0,0,0.0636842078922541,0.0908852738071392,0,0,0,0,0,0,-0.0753968648430218,0,0,0,0,0,0,0,0.0567986217148635,0,0,0,0.0276490424416533,0,0,0,0,0,0,0
X600188.SH,0,0,0.372275623579189,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.467015057481998,0,0,0,-0.0241895953105279,0.0132353721137169,0.210882388421855,0,-0.0917854195217262,0,0,0,-0.0177072059211367,0,0,0,0,0,0,0,0,0,0,0,-0.0578703031905218,0.151268303874537,0,0,0,0,0,0.0109679081482126,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.161421407620524,0,0,0,-0.174651350065069,0,0,0,0.0487560343232119,0,0,-0.00797175880714957,0,0,0.0656209108822378,0,0,0,0,0,-0.088264404393336,0.0454563780747576,0.0688393202029324,0,0,0,-0.036872855602837,0,0,0,-0.0813273163557041,0,0,0,0,0,0,0,0.441981497599131,0,0,-0.0136858360746955,0,0,0,0,0,0,0
X600019.SH,0,0.144466523177703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194983430401882,0,0,0,0,0,0.0909804481285709,0,0,0.100495941447909,0,0,-0.00919293563924981,0,0,0,0.34312872811678,0,0,0,0.0232712551265489,0.0344331749671891,0,0,0,-0.146947753025297,-0.0822749751214319,0,-0.156461868901163,0,0.177974915595686,0,0,0.0086079068295217,0.0180664958189109,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.156498695928208,0,0,0,0,0,0,0,0,0,0,0.181238109307881,0,0,0,0,-0.0123376876535317,0,0,0,-0.170553752473884,0,0,0,0,0,0.741528822431485,0,0,0.10473236312752,0,0,0.090934166125653,0,0,0,0,0,-0.045845145738269,0,0,0,0.142097142073005,0,0,0,-0.178072597083235,-1.73472347597681e-18,-0.000662429558786114,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216506110106679,0,0,0.0925690508366833,0.172063454001138,0.09590546467938,0,0,0,0,0,0,0,0.19798459269976,-0.0123966941163187,0,0,0,0.0811155097018644,0,0.0880293220711753,0,0,0,-0.144340657709474,0.0271019372830462,0,0,0,-0.0133235803159711,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.10940408639661,0,0,0,0,-0.123196065203826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0863380994527518,0.0522517873370797,-0.0696731609241385,0.148199956920614,0.635638182102756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310692537792549,0,0.0628333049250617,0.0705227340263899,0,-0.0625418169439802,0,0,-0.00452240502923824,-0.014333003314569,0,0,0,0,0,0
