,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600299.SH,X600188.SH,X601992.SH,X601158.SH,X000027.SZ,X600583.SH,X002466.SZ,X000539.SZ,X600309.SH,X000792.SZ,X000630.SZ,X600623.SH,X600352.SH,X000709.SZ,X600660.SH,X000883.SZ,X000898.SZ,X600021.SH,X002470.SZ,X600098.SH,X600160.SH,X601918.SH,X600863.SH,X600489.SH,X000060.SZ,X600808.SH,X600307.SH,X600578.SH,X600547.SH,X000629.SZ,X600022.SH,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.621978755446376,0,0,0,0,0,0,0,0.0361409892893663,0.00113207982368034,0,0,0,0,0,0,0.0477102577907088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0347006560976133,0,0,0.0369788880701582,0,0,0,0
X600028.SH,0,0,0.237912379459033,0,0,0,0,0,0,0,0,0,0,0,0.0833797804501482,0,0,0,0,0,0,0,0,0.0318555039227599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124654820743715,0,0,0.118437287127273,0,0,0,-0.0366574729547828,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.224396441568411,0,0.0832046340649277,0.0232290238325749,0,0,0,0,0.1927498068414,0,0,0,0,0,0,0,0,0,0,0.18142863157713,0.105298609539584,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0556363331585678,0,0,0,0,0,0,0,0,0,0,0,0,-0.0215017379510293,-0.010394221033891,0,0,0,0,0,0
X600011.SH,0,0,0.149737833101771,0,0,0,0,0,0,0,0,0.41793104959974,0.147067693069187,0,0,0,0,0,0,0.0251371273750747,0,0,0,0,0,0,0,0,0,0,0,0,0.0772860192279119,0,0,0.0755801952403229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00419739875896335,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0278656442831103,0,0,0,0,0.144721876378923,0,0,0.188936882142192,0,0,0,0,0.114295727686016,0,0,0,0,0,0,0,0,0.0359571665719135,0.214933962061664,0,0,0,0,0,0,0,0.0697552382577151,0,0.0737030032358594,0,0,0,0,0.0308362769707052,0,-0.0188579883344681,0.0327219525957783,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0160021919082836,0,0,0,0,0.244653585534662,-1.38777878078145e-17,0,0,0,0.0247137528210019,0,0.0248845685218457,0,0.00176806422895926,0,0,0,0,0.0587740073198638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251628112040705,0,0,0,0,0,0,0,0,0,0,-0.0474383991204001,0,0,0,0,0,0,0
X600585.SH,0,0,0.067185138785012,0,0,0.129256822995909,0,0,0,0,0,0,0,0,0,0.0756259699483435,0,0,0,0,4.33680868994202e-19,0,0.123529308152393,0.113888896993254,0,0.00460021922073043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0517926197848511,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.206614037857575,0,0,0,0,0.100993855642621,0,0,0,0,0,0.0786406549258694,0.022943226824869,0,0.00793703877122221,0,0,0,0,0,0,0,0,0,0,0.213417418126934,0,0,0,0.177227441898867,0,0,0,0,0,0.0882770688725535,0,0,0,0,0,-0.0410799394147002,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0834178182942218,0,0,0.0697059021577764,0,0,0,0,0,0.00635561379456665,0,0.0618646554721004,0,0,0.025088455300115,0,1.73472347597681e-18,0,0,0,0.293733286472999,0,0,0,0,0,0.00582110816254077,0.116684912529235,0,0,0,0,0,0,0,0,0,0,-0.0507297837744603,0.020796886973583,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206098733828752,0,0,0.0215853701211956,0,0,0.0578272396917819,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612819233701439,0,0.178323268842476,0,0,0.139529314273991,0,0,0.158208324226266,0,0,0,-0.0279650111270524,0.0120591832285159,0,0,0,0,0,0
