,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X601991.SH,X600688.SH,X600027.SH,X600886.SH,X601992.SH,X600157.SH,X600362.SH,X600111.SH,X600188.SH,X600299.SH,X601158.SH,X000027.SZ,X600352.SH,X600583.SH,X000539.SZ,X600309.SH,X002466.SZ,X600660.SH,X600160.SH,X000630.SZ,X600623.SH,X000792.SZ,X600098.SH,X000709.SZ,X000898.SZ,X000883.SZ,X600021.SH,X002470.SZ,X000060.SZ,X600863.SH,X600578.SH,X600489.SH,X300072.SZ,X600315.SH,X600547.SH,X000629.SZ,X002004.SZ,X600808.SH,X601918.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0537053513658297,0,0,0,0,0,0.227052389192663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305218360294094,0,0,0,0,0,0,0,0,0,0.0818378636885647,0,0,0.0630635310401109,0,0,0,0,0,0.0806648370548842,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.525705766339957,0,0,0,0,0,0,0.0210614512739903,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0174463093294226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809969056593989,0,0,0.0290644322872113,0,0,0,0,0,0,0,0,0.00433073660059447,-0.00340534608098163,0.0010196190866124,0,0,0,0,0
X601088.SH,0,0,0,0.329354442126807,0.0355782874492735,0,0.167621986619156,0,0,0,0,0,0,0,0.164366295992255,0,0,0,0.0487586165860914,-0.00866855501203208,0,0,0,0,0,0,0.0163572731726313,0,-0.0224325526862037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0607596809294473,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.00348141844729838,0,0,0,0,0,0.472623451596236,0,0.0967029206862729,0,0.0575771348450033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019318727372518,0,0,0,0.0956097274486362,0,0.0745232339038857,0,0,0,0,0,0,0,0,0,0,0,0,-0.00554388072629751,0.00494805784287122,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416254733455682,0.159825303393037,0.212095385201073,0,0,0,0,0,0,0,0.090158633297572,0,-0.0724872165651756,0,0,0,0,0,0.199235551894274,0,0,0,0.0777151326910379,0,0,0,0.0790343940744036,0,-0.0453212740033059,0.0829601066665362,0.0499306434783264,0.0338670205384264,0,0,-0.012761776839607,-0.0130791810407531,0,0,0,0,0,0
X600019.SH,0,0,0,0.101605653758279,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0638984383226876,0.0275744184437169,0.0154263684756192,0,0,0,0,0,0,0.159442566550883,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.219219793806726,0.106537456622556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000361654522854389,0,0,0,0,0,0,0
X600585.SH,0,0,0.185415234957291,0,0,0,0,0,0,0,0,0,0,0.0939177538888447,-1.0842021724855e-19,0,0,0,0.0282309986181193,0,0.0878403157063401,0,0,0.106046480083714,0,0.00551140299451628,0,0,0.0131682167945917,0,0,0,0,0,0,0,0,0,0.104153985524069,0,0,0,0,0,0,0,0,0,0,0,-0.0278191576670163,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.543981923322022,0,0,0,0,0,0.107967411553395,0,0,0,0,0.0771584805827096,0.0851552118993942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0932228745475123,0,0,0,0,0,0,0,0,0,0,0.0137643955771772,0.03472936267304,0,-0.00751839509881365,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109009685964669,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0.135861836480027,0,0.0317777677012872,0,0.0536555364759583,0,0,0,0,0,0,0,0.120772909129701,0,0,0,0,0,0,0,0,0,0.00207652082315105,0,0,0,-0.0154586471304927,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.128655882451167,0,0,0,0,0,0,0,0.198566476555036,0,0,0,0.0528334577186342,0.0483436867287491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000480378080476799,0,0.0282236159243565,0,0.0721266175058041,0.241521763720612,0,0,0.0478607712831191,0.159191504066178,0,0,0,0,-0.00908626506974414,0,0,0,0,0,0,0
