,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X601600.SH,X600585.SH,X601898.SH,X600795.SH,X600010.SH,X601991.SH,X600688.SH,X600886.SH,X600188.SH,X600362.SH,X600111.SH,X600027.SH,X600157.SH,X600583.SH,X601992.SH,X000709.SZ,X000898.SZ,X600309.SH,X601158.SH,X000629.SZ,X600352.SH,X000792.SZ,X600808.SH,X600021.SH,X000825.SZ,X600547.SH,X600489.SH,X000539.SZ,X000060.SZ,X000027.SZ,X600660.SH,X002353.SZ,X600008.SH,X600307.SH,X600578.SH,X000831.SZ,X600219.SH,X600863.SH,X600549.SH,X601699.SH,X002470.SZ,X600022.SH,X600315.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.619619466360865,0,0,0,0,0,0,0,0,0,0.0140895258912396,0,0,0,0,0,0,0,0,0,0,0.143889751180111,0,0,0,0,0.0148127408326076,0,0,0,0,0.0408707925405441,0,0,0,0,0,0,0,0,0.0735365497596259,0,0,0,0.0671445591305812,0,0,0,0,0.00672257898671778,0,0,0,0,0,0,0
X600028.SH,0.525155279953505,0,0,0,0.00872741040453691,0,0.121412783886099,0,0,0.00837733829225587,0,0,0,0,0,0,0,0.0229789062031568,0.0199196658505893,0.0440056925830413,0,0.00496822154882421,0,0,0,0,-0.031525713250565,0,0,0,0.0444222666470507,0,0,0,0,0.0109505337557699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0444446624619056,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0350896902729261,0.0181012893451417,0.323784670958851,0.19281154477656,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.00409085575679507,0,0.0395625807694856,0.100643781108177,0,0,0.00817523302773626,0.0565865849818236,0,0,0,0.0630230257271117,0,0,0,0,0,0,0,0,0,0.0198389260372667,0,0,0,0.123721446062372,0,0,0,0,0,0,-0.00546593589229176,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.125752965786322,0.0976520423038554,0.0891808704576755,0,0,0,0,0,0.345302331078916,0,0,0,0,0.0309497172078239,0,0.0337794530296293,0,-0.00672335522190791,0,0,-0.0247668372293768,0,0,0,0,0,0,0,0,0,0,0.0685213271175581,0,0.0166488364251444,0,0,0,0,0,0.0929297885347235,0,0,8.67361737988404e-19,-0.0316388519271148,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.123148002410894,0,0,0,0,0,0,0.026655483423524,0,0,0,0.0217478281101817,0.0351695249505025,0.173490525894581,0.237925839746761,0,0,0,0,0,0,0.0765501810786892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117426880868113,-0.0673949213332095,0.109852084052246,0,0,0,0,0.00877449539185499,0,0,0,0,0,0
X601600.SH,0,0,0,0,0.052638692419908,0,0,0,0,-0.115609747099392,0.0394046715905492,2.16840434497101e-19,0.0230007719670559,0,0,0.382092902378702,0.053999887743804,0,0,0,0,0,0,0,0.188962964576812,0,0,0.0162498005056077,0.0229819942109544,0,0,0,0,0,0,0,0,0,0,0,0,0.117331997180336,0,0,0,0,0,0,0,0,0,0.0608179113171425,0,0,0,0,0,0
X600585.SH,0,0,0.231472242175776,0,0,0,0,0,0,0,0,-0.0303050426293965,0.0587063704029852,0,0,0,0,0.0373936841150318,0.181842064657182,0.102106048935399,0,0,0.187483843502315,0,0,-0.0392669375399242,0,-0.024336725645423,-0.00687336419816076,0,0,0,0,0,0,0,0,0,0,0,0.00825268229897252,0,0,0,0,0,0,0,0,0,-0.0187243990666305,-0.0142715148729053,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0935847974437344,0.0666093707647664,0,0,0.0342678736532122,0.0368735059319426,0,0,0.0739861229377303,0,0,0,0.0277453883968934,0,0,0,0,0,0,0,0,0,0,0,0.0126107929756997,0,0,0,0,0,0,0.03969343777498,0,0,0,0,0,0,0,0,0,0,0.0204176961279849,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.0711399877279884,0.111476997875458,0,0.0184371433644175,0,0,0,0.108636510571114,0,0,0,0,0,0,0,0,0,0,0,0.0797889089614781,0.0527156619502488,0.11371315961471,0,0,0,0.119843449353149,0,0,0,0,0,0,0.106820146313433,0,0,0,0,0,0,0,0,0.0290352792187868,0,0,0,0,0,0,0
X600010.SH,0,0,0,0.274659653339876,0,0,0,0,0,0,0,0,0,0.141483061715382,0,0,0,0,0,0,0.159191643815998,0,0,0,0,-0.110072492577003,0,0.0707553242391191,-0.0913312247044727,0,0.113127354691853,0,0,0,0.14372469082669,0.0821391614256553,0,0,0,0,0.0757862165313312,0,0,0,0,0,0,0.0571279977477294,0,0,0.0136992738888162,0.115980451019894,-0.217939425448808,0,0,0,0,0
