,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600886.SH,X600660.SH,X601600.SH,X600547.SH,X002466.SZ,X000792.SZ,X600795.SH,X002460.SZ,X601699.SH,X000708.SZ,X000301.SZ,X600010.SH,X600362.SH,X600111.SH,X000983.SZ,X600027.SH,X000877.SZ,X600803.SH,X600426.SH,X600489.SH,X601991.SH,X000786.SZ,X600160.SH,X600985.SH,X002271.SZ,X000408.SZ,X000630.SZ,X000807.SZ,X000932.SZ,X000933.SZ,X600176.SH,X600348.SH,X601168.SH,X600219.SH,X002128.SZ,X600612.SH,X000027.SZ,X600688.SH,X600157.SH,X300037.SZ,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.358046712279056,0,0,0,0,0,0,0,0,0,0,0,-0.155568387960436,0,0,-0.0237938348045512,0,0,0,0,0,0,0,0,0,0,0.148573606464201,0,0,0,-0.0873237270332529,0,0,0.194502168719104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.319796253877124,0,0,0,0,0,0,0,0,0,0,0,0,0.11550285691444,0,0,0,0,0,0,0,-0.0586106199799056,0,0,-0.0435432017561815,0,0,0,0.119991317706433,0,0,0,0,0,0.133591618595166,0,0,0,0,0,0,0,0,0,0,0,0,-0.000591538326185076,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.013686658548315,0,0,0.139899828484012,-0.00304788671433184,0,0,0,0,0,0,0,0,0,0,0,0,-0.179446325794807,0.0821784905250828,-3.46944695195361e-18,0,0,0,0,-0.0198836368013913,0,0,0,0.409711631848576,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0212900850871885,0.0106651587599297,0,0,0,0,0,0
X600309.SH,0.246861781706354,0,0,0,0.154013280074735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126168298034613,0,0,0,0,0,0.0964428798561217,0.163842218622733,0.0181085049506542,0,0,0,0.208270517413691,0,0,0,0,0,0,0.00270576417797068,0,0,0,0,0,0,0,0,0,0,0,0.00233049345465015,-0.00103968751663788,0,0,0,0,0,0,0
X600188.SH,0.0399323689688179,0.2030367852009,0,0,0,0.0906792458133025,0,0,0,0,0,0,0.126948246264778,0,0,0,-0.00789364433976004,0.173107702431103,0,0,0,0,0,0.233079740846382,0,0.0539726434452751,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.140418147419795,0,0,0,0,0,0,0,-0.0613315063941288,0,0,0.00793478933951226,-0.016459740854209,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.108524050841162,0,0.0775347226255428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350299493925305,0,0.223650585083321,0,0,0,0,0,0.0851168485750432,0.120161564620765,0.0841130422268332,0,0,0,0.333044403056968,0,0,0,0,0,0.115009336168522,0.0579132379742083,-0.0344931750566506,0,0,0,0,0,0
X600011.SH,0,0.0618699969207043,0,0,0,0,0,0,0,0.134550303458126,0,0,0,0,0,0,0,0,0,0,-0.0416582953098494,0,0,0,0.416165652182245,0,0,0,0,0,0,0,-0.0309278382286439,0,0,0,-0.00137550146635534,0,0,0,0,0,0,0.0685071695371832,0,0,0,0,0,0,0,0.00225094262582016,0,-0.0132278959344566,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0166497592493017,0,0,0,0,0,0.0260402179842798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00383475081037497,0,0,0,0,-0.128058532873852,0,0,0,0.178184220523713,0,0,0,0.296930056090589,0,0,0,0,0,0,0,0,0,0.0122187122289366,8.78194861900647e-05,0,0,0,0,0,0
X600585.SH,0.168518274995632,0,0,0.151784845790308,0,0,0,0,0,0,0,0,0,0,0,0,0.153583075068917,0,0,0,0,0,0,0,0,0,0,0.00768673293305089,-0.058733331426851,0,0,0,0,0.0270798623579104,0,0,0,0,0,0.118900523021679,0,0,0,0,0,0,0,0,0,0,0,0.0150126847415251,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.0921656609033791,0.0714342730032105,0,0,0,0.0983853736354985,0,0,0,0,0.310925127070958,0,0.00177682560472184,0,0,-0.110430888868724,0,0,0,0,0,0,0,0,0,-0.125706084621315,-8.67361737988404e-19,0.114981650917992,0.0511194828938031,0,0,0,0,0,0,0,0,0,0,0.0460869570341528,0,0,0,0.0213344452444142,0,0.0539271503136665,-0.0278794678122077,0.0328736083210315,0,0,0,0,0,0
