,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X600547.SH,X601898.SH,X000792.SZ,X600886.SH,X601600.SH,X600111.SH,X600660.SH,X600010.SH,X000301.SZ,X000708.SZ,X000877.SZ,X600027.SH,X600795.SH,X601991.SH,X002271.SZ,X600362.SH,X600426.SH,X600803.SH,X601699.SH,X000983.SZ,X600176.SH,X600489.SH,X000807.SZ,X600995.SH,X000539.SZ,X000786.SZ,X000408.SZ,X600378.SH,X600160.SH,X600219.SH,X300037.SZ,X002409.SZ,X000629.SZ,X600688.SH,X000932.SZ,X600157.SH,X600612.SH,X600021.SH,X000027.SZ,X002080.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.731555284853328,0,0,0,0.0167966263506239,0,0,0,0.121939107870185,0,0,0,0,0,-0.0415314948812732,0,0,0,0,0,0.00962929171913883,0,0,0,0,-0.0361826904675138,0,0,0,0,0,0.0684172593040265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219787683792207,0.0105261231475173,0,0,0,0.0328257083143594,0,0.30094184894419,0,0,0,0,0
X600028.SH,0.693644945847249,0,0,0,0,-0.105599215724692,0,0,0,-0.101960360118218,0.129233520328157,0.0699163792455554,0,0,0,0,0,0,0,0,0,0,0,0.0244297111889994,0,0,0,0,0,0,-0.0355988571867293,0.0189702324119476,0,0,0,-0.0343585873645286,0,0,0,0,0,0,0,0,0,0,-0.0139438542087751,0,0,0,0,0.00757418253283743,-0.0110817951321306,0,0,0,0,0,0
X601088.SH,0.161247042360679,0.122752073504658,0,0,0,-0.111927368427737,0,0,0,0.0274500857282607,0,0.284371502279407,0,0,0.134163466687087,0,0,0,-0.114422764233491,0,0,0,0,0.124103801545656,0,0,0,0,0,0,0,0,0,0,0,0.185352544760624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484848190701054,0,-0.0554592515252729,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.163895875390187,0,0,0,0,0,0.0436134879564616,0,0,0,0,0,0,0,0,0,0,0,-0.0214089006878871,0,0,0,0.100169359011464,0,0,0,0.0504158234098991,0,0.0918764845463796,0,0,0,0,0,0,0,0.00505060927942732,0,0,0,0,0,0,0,0,0.00724642457680325,0,0,-0.0165425264936723,0,0,0,0,0,0
X600011.SH,0,-0.049298115652977,0,0,0,-0.0591425642058241,0,0,-0.215744537901199,0,0,-0.0443199557093609,0,0,0,0,0,0,0,0,0,0.221098543573196,0.00926732212916201,0,0,0,0,0,0,-0.131601798966178,0,0,0,0,-0.0453921949488379,0,-0.06311273752539,0,0,0,-0.0455314376633199,0,0,0,0,0,0,0.423975486833301,0,0.109959793815835,0,0,-0.00754863006367933,0,0,0,0,0,0
X600188.SH,0.123023758118442,0,0.076035158486056,0,0,0,0,0,0,0,0,0.30212415589613,0,0,0,0,0,0,0,0.18285153582171,-0.0106097158382585,0,0,0,0.0102026475453955,0,0,0,0.197956821969222,0.140285960243391,0,0,0.129610091405576,0,-0.00453709846080446,0,0,0,0,0,0.198106353210356,0,0,0,0,0,0,0,0,0,0,-0.159424917263726,-0.0564674015084356,0,0,0,0,0,0
X600585.SH,0,0,0,0.125682016846279,0,-0.0442061624846192,0,0,-0.0402132351304206,0,0,0,0,0,0.0211937741755769,0,0,0,0,0,0.0775888768039401,-0.0963080873406091,0,0,0.0245996766844342,0,0,0,0,0,0,0,0,0,0.0618631181274926,0.245460564085629,0,0,0,0,0.0104451192355012,0,0,0,0,0,0,0,0,0,0,-0.0283283681856338,0,-0.129615086779684,0,0,0,0,0
X600019.SH,0,0.0580691976969826,0,0,0,0.130033933258167,0,0,0,-0.0312740770847299,0.093843866417267,0,0,0,0.050184293893014,0,0,0,0,0,0,0,0,0.0825374736571202,0,0.0767077268078039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159311178269561,0,0.175151946442,0,0,-0.0379846206417411,0,0,0,0,0.0359480724810142,0,0,0,0,0,0,0
X002460.SZ,-0.0227454200629038,0,0,0,0,0,0,0,0,0.474617022194467,0,0,0,0,0,0,0,0,0,0,0.066129186445513,0,0,0,0,0,0,0,0,0,0,-0.0398512764600069,0,0,0,0,0.0202712579021877,0,0,0,0,0.00317587601341497,0.245019237055416,0,0,0,0,0,0,0,0.118312060319829,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.371745225015893,0,0,0,0,0,0,0,0,0,0.149963326613894,0,0,0,0,0,0.0761929282423651,0,-0.154595348498381,0,0.276800230252015,0.1156662724481,0,0,0,0,0.0354796982371481,0,0,0,0.287072453485792,0,0,0.13001864866327,0,0,0,0,0,0,0,0.0803908857881084,0,0,0.0300728802270823,0,0,0,0,0,0
