,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X002466.SZ,X600019.SH,X000792.SZ,X600011.SH,X601898.SH,X600111.SH,X000301.SZ,X600660.SH,X000708.SZ,X600010.SH,X601600.SH,X002271.SZ,X600547.SH,X000877.SZ,X600886.SH,X600426.SH,X600795.SH,X600362.SH,X600176.SH,X000983.SZ,X601699.SH,X600027.SH,X600803.SH,X601991.SH,X000786.SZ,X600995.SH,X000629.SZ,X600378.SH,X600160.SH,X000807.SZ,X000408.SZ,X600219.SH,X000723.SZ,X600489.SH,X600096.SH,X002080.SZ,X000831.SZ,X000933.SZ,X600348.SH,X000932.SZ,X600157.SH,X600688.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.06305688465416,0,0,0,0,0,0,0,0,0,0,0,-0.0232173595445194,0,0.0336237045842532,0.0309442439837992,0.127652573562288,0.0192388413069364,0,0.0559292422870561,0,0,0,0,0,0,0.0516959291035285,0,0,0,0,0,0,0,-0.142505475314175,0,0,0,0,0,-0.00210797795081517,0,0,0,0,0,0,0,0,0,-0.00231658476458874,0.0157740628804537,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.183557358818477,0,0,0,0,0,0.0364632572168005,0.0412931614715066,0,0,0,0,0.0336207291263374,0,0.0338614846964705,0,0,0,0,0.0241743363107786,0,0,0,0,0,0,0,0.0225953609330823,0,0,0,0,0,0,0.012595753518116,0,0,0,0,0,0.00764813666881149,0.00830763831880153,-0.0139625060066163,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.355820371066856,0,0,0,0,0.0266783005691613,0,0,0,0,0,0.0956117344595635,0,0,0,0,0,0,0,0,0,0,0.0177929521113897,0,0.0442532940462773,0,0,0,0,-0.152691348743351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0499693834291121,0.0405072130867807,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,-0.148404671322449,0,0,0.16698103625294,0.0745459907764837,0,0,0,0.01560354301412,0.124653903025791,0.125599601808933,0,0,0,0,0,-0.0658858826467689,0,0,0,0,0.106861251396303,0,0,0,0,-0.0507165923937697,0,0,0,0,0,-0.114916147619832,0,0,0,0.353075198593538,0,0,0,0,0.0443351683528691,-0.0406960304516229,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083516230485809,0,0,0,0,0,0,0.397637433196814,0,0,0,0,0,0.0690219177734312,0.00391223152064284,-0.0238791617096102,0,0,0.121135643111125,0,0,0,0,0,0,0,0,0,-0.0509534447524784,0,0,0.116723301339779,0,0,0,0,0.116392555808505,0.0242059844889089,0.00349540503561574,4.33680868994202e-19,0,0,0,0,0,0
X600188.SH,0,0,0.53927542358153,-0.102791628455687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257543165842961,0,0.0277594718703323,0,0,0.0445292640903408,0.0903539583040758,0,0,0,0,0,0,0.12833983720165,0,0,0,0,0,0,0,0,-0.0589621560553757,0,0.246431167706755,0,0,0,0,0,-0.0113360196785115,0.0020487662694963,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.0196518974006637,0,0.620548650055304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0257096053342089,0,0,-0.0629351596009284,0,0,0,-0.0502703378440479,0,0.14439070251815,0,0,0.0160756138203775,0,0.0405854338855534,0,0,0.0362947129126223,0,0,0,0,0,0.0110238605545269,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,-0.071189096965318,0.571581133297284,0,0,0.00880356837139499,0,0,0.0908634203147039,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681775287316074,0,-0.00308350924813827,0,0,0,0,0,0,0,0.182668380708226,0,0,0,0,0,0,0,0,0,0,0,0,-0.123758509934254,-0.0209606775602868,0.00767064790227752,0.00380267161844689,-0.122392692524169,0,0,0,0,0
X600019.SH,0,0.122666568486567,0,0,0.0350322492916876,0,0,0,0,0,0,0.175763574543454,0,0,0,0,0,0.201582365938009,0.151719253583874,0,0.0192368142119156,0,0,0,0,0.102955669109773,0,-3.46944695195361e-18,0,0,0,0.0505020914806073,-0.0147509938135521,-0.0423688367886478,0,0,0,0,0,0,0,0,0,0,0,0,0.182096375303353,0,0,0,0,0.0176894163128839,-0.0238010266719944,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.258324505908549,0.211403108577824,0,0,0.0193727413647063,0,0,0,0,0,0,0,0.0580998684066881,1.73472347597681e-18,0.240536826130132,0,0,0,0,0,0,-0.0600529535704305,0,0,0,0,0,0,0,0,0,0,0,0,-0.0524165706870467,0,0,0,0,0,0,0,0,0,0.125260860878677,-0.00177322239088244,-0.00167515266344342,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705022468344953,0.112384657653515,0,-1.73472347597681e-18,-0.122309114702025,0,0.24578060067849,-0.0782515163958682,0,0,0,0,0,-0.0020445559110358,0,0,0,0,0,0,0,0,0,0,0.0176388517385765,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.134783072624865,0,0,0,0,0,0,0,0,0,0,0,0.117462235145699,0,0,0,0,0,0,0,0,0.0602827356606176,0.144291580358404,0.0585774297929535,0,0.0201712315813527,0,0,0.0267446752915558,0,0,0,0,0,0,0,0,0,0.123163075981764,0.109790931830107,0,0,0,0,0,0,0.00492688393875942,-0.01381823840084,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0.108488780733789,0,0,0,0,0,0.0979303697174348,0,0,0,0.280044249215405,0.0427055467014325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111259532490791,0,0,0,0,0,0,0,0.0263038855647495,0,0.211234987612153,0,0,0,0,0,0,0,0,-0.000345320526983715,0,0,0,0,0,0
