,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X601600.SH,X600886.SH,X600660.SH,X600188.SH,X600362.SH,X601991.SH,X600352.SH,X600795.SH,X600688.SH,X000723.SZ,X600111.SH,X600801.SH,X600027.SH,X601992.SH,X600516.SH,X002271.SZ,X600489.SH,X000786.SZ,X000898.SZ,X600176.SH,X600299.SH,X002460.SZ,X002466.SZ,X000709.SZ,X601158.SH,X600426.SH,X000883.SZ,X600612.SH,X000629.SZ,X600219.SH,X002353.SZ,X600583.SH,X000630.SZ,X000027.SZ,X000553.SZ,X000825.SZ,X000401.SZ,X601699.SH,X600985.SH,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016388625130215,0,0.0200129393981346,0.109949150202993,0,0,0,0,0,0,0,0,0,0,0.0992466405723047,0,0.00247689641854069,0,0,0,0,0,0.0595765603328776,0,0,0,0,0,0,0,0,0,0.00680607087398678,0,0,-0.000661631530949144,0,0,0,0,-0.0113629529018233,0,0
X600028.SH,0,0,0,0,0.0759565125921918,0,0,0,0,0,0,0,0,0.0606850125336182,0,0,0.0318532782439455,0,0,0.000602846000908154,-0.0318603688464635,0,0,0,0,0,0,0.0523030807917966,0,0,0.0584902155059856,0,0,0,0,0,0,0,0,0,0.042594993864748,0,0,0,0,0,0,0,0,0,0,-0.0344141720749221,0.0335759499261966,0,0,0,0,0,0
X601088.SH,0,0,0,0.303565654017332,0.0220492342615701,0,0,0,0,0,0,0,0,0.0566132385299528,0,0,0.0556186353152569,0,0,-0.0393177226682205,-0.0421246978350247,0,0,0,0,0.04363743732103,0,0,0,0,4.33680868994202e-19,0,0,0,0,-0.0314458431688181,0.275721362502399,0,0,0.188382972495288,-0.0545766747143737,0,0,0,0,0,0,0,0,0,0,-0.00331890478099362,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.0319645601583333,0,0,0,0,0,0,0,0.0507350017347085,0,0.12593227652661,0,0,-0.105656601406272,0,0.411687231928334,0,0,0,0.153690189698038,0,0,0,0,0,0,0,0,0,0.0984575885550037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00953826374203407,0.00414295741912732,0,0,0,0.0281167977222492,0,0
X600309.SH,0,0,0,0,0,0,-0.0546152314009256,0,0,0,0,0,0,0,0,0,0,0,0,0.0707171161520814,0,0,0,0,0.181277689870745,0,0,0,0,0,0,0.100157016603054,0,0,0,0,0,0,0,0,0,0,0.239243600767989,0,0.214429542289489,0,0,0,0.0420032177633209,-0.0292399381772291,0,-0.0083535302417656,0.022570734109931,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0427407072445969,0,0,0,0.178017498117567,0.00233410630129497,0,0,0.0761157916959611,0,0,0.0369455037590034,0,0,0,0,0,0,0,0,0,0,0,0,-0.0593780784886435,0,0,0,0,0,0,0,0,0,0,0,0.177424713322501,0,0,0,0.00563319912697534,0,0,-0.0152637059180854,0.0285670323586542,0,0,0,0,0,0
X600547.SH,0,0,0,-0.0853145783232239,0,0,0,0,0,0,0,0,-0.282036271033169,0,0,0,6.93889390390723e-18,0,0,0,0,-0.0569209239755946,0.100383261418832,0,0,-0.00791965137163616,0.59812266704524,0,0,0.00672507806021329,4.33680868994202e-19,0,-0.0201737377403182,0,0,0,0,0.180833422984623,0,0,0,0,0,0,0,0,0,0,0,-0.392020856889321,0,-0.0537124372823128,0,0,0,0,0.107587473556467,0,0
X600011.SH,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.0370869946170993,0,0,0,-0.101158147952612,0.11549936583805,0.504643653209966,0.0548720831986315,0,0,0,0,0,0,0,0,0.0895552061704357,0,0.110508667972964,0,0,-0.0595212867437225,0.000642663844269451,0,0.167436305807567,0,0,0,0,0,0,0,-0.0974040701055893,0,0,0.0201979672590459,-0.0362944005628762,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,-0.00810179010835325,0,0,0,0,0,0,0,0,0,0,0,0.0468715517805387,0.112540718115495,0.034923680940304,0,0,0,0.0592098535660337,0,0,0,0,0,0,0.018240920560541,0,0,0,0,0,0,0,0,0,0,0,0.0218804673856016,0.0535485530846586,0.0763362997799731,0,0,0.194816030170723,0,0,0.00359210904257894,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150809548427135,0,0,0.0138793655387826,0,0,0.0479981657660123,-0.00661515100398834,0,0,0.160243264635417,8.67361737988404e-19,0,0,0,0,0,0.0125152543287002,0.0381704071277812,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290557055213703,0,0,0,0,0,0.0373566785955378,-0.0279800879893544,0,0,0,0,0,0
