,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X002466.SZ,X600111.SH,X600157.SH,X600362.SH,X600188.SH,X600547.SH,X600886.SH,X601992.SH,X600299.SH,X600660.SH,X000792.SZ,X600309.SH,X601158.SH,X600489.SH,X600583.SH,X000709.SZ,X000883.SZ,X300072.SZ,X600352.SH,X000898.SZ,X000539.SZ,X002407.SZ,X002460.SZ,X000723.SZ,X000027.SZ,X600549.SH,X000630.SZ,X002470.SZ,X600021.SH,X002075.SZ,X600098.SH,X000012.SZ,X000983.SZ,X600176.SH,X600612.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0517674681303496,0,0,0,0.0283800990516861,0,0.0170902952516331,0.0437998642333968,0,0,0,0,0,0,1.0842021724855e-19,0,0,0.207523621529891,0,0,0.0873948365308956,0,0.0300496461539928,0,0,0,0,0,0,0,0,0,0,0.0484218826045169,0,0,0,0,0,0.0140843481866645,0.0188571385072427,0,0,0.00200669579004467,0,0,0,0,0,0,0
X600028.SH,0.126941034320878,0,0,0,0,0,0,0.0819363061554185,0,0,0,0,0,0,0,0,-0.00357583991404204,0,8.83526080345063e-05,0,0,0,0,0,0,0.0704309647069637,0,0,0.231551252304394,0,0,0,0.00182018865113533,0,0,-0.0118471388244029,0,-0.050886006670485,0,0.0340154754233116,0,0,0,0,0,0,0,0,0,0,0,0.00430191797814132,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.312829800500809,0.0125546820128107,0,0,0,0,0,0.0326151919805297,0,0,0,0,0,0,0.128666118297759,0,0,0,0,0.0942826362987627,0,0,0,0,0,0,0,0,0,0,0,0.0346288585646091,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294726734312704,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0220113114703912,0,6.93889390390723e-18,0,0,0,0.328216403776477,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.0402776978833273,0,0,0,0.153622940234342,0,0,0,0.00706890938801224,0,0,0,0,0,0,0.00379279420152941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28904593134331,0.0710215173819445,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0596295534853844,0,0.0220698341306993,0,0,0,0.0309575720614002,0,0,0,0.115444804832869,0,0.11540857892094,0,0,0,0,0,0.101797400445499,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024614357008085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204891723496464,0.121925932720578,0,0,0,0,0,0.132006660178843,0,0,0,0,0,0.0227037786374522,0,0.0232264794172046,0,0,0,-0.0305175880497939,0,0,0,0,0,0,0
X600585.SH,0,0,0.138148184608941,0,0,0,0,0,0,0,0,0,0,0.0300187018054197,0,0.22042412982824,0,0,0,0,0,0.184120804618314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.148998116433531,0,0,0,0,0,0,0,0,0,0,0,-0.027943794272335,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0.0116905038773122,0,0,0,0,0,0,0.0677126408419461,0,0.117987558573333,0.0423614732652196,0,0,0,0,0,0,0.234565212746903,0,0,0,0,0.225534446788912,0,0,0,0,0,0,0,0.0474706721182495,0,0,0,0.0375068070213099,0,0,0,0.0882037790018932,0,0.0861893153620987,0,-0.0507506821941896,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509978571187594,0,0,0,0,0,0.0383502666719476,0,0.149764529016453,0,0,0,0.00682631534615152,0.0832370164861471,0,0,0.066295991341431,0,0,0,0,0.139713953207901,0,0.0675449207051376,0,0,0,0,0,0,0.026864990920803,0.124470486200068,0.0452459742920814,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0941064602529627,0,0,0,0,0,0,0,0,0,0,0,0,0.162119757759451,0,0,0,0,0,0.143508143645264,0,0,0,0,0,0,0,0.057189962921223,0,0,-8.67361737988404e-19,0,0.198031831676573,0,0.19031490272824,0,0,0,0,0,0,0,0,-0.147844846573231,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.149981245042205,0,0,0,0,0,0,0.00525461582939865,0,0,0,0,0,0,0,0,0.0104551022603577,0,0.0913513200501536,0,0,0,0.128123744505375,0,0,0,0.0161062594364749,0.0248527845544324,0,0,0,0.0469144438112337,0,0,0,0,0,0,0,0,0,0.00782919355346114,0.0708735867650369,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0717911421542415,0,0,0,0,0,0.183747459453956,0,0,0,0.0251590332754024,0,0,0.016638445200802,0,0,0,0,0,0,0,0,0.105906167269326,0,0.0918157625659864,0.104006625479622,0,0,0,-0.0192355402943392,-0.00837419623502597,0,0,0,0,0,0
