,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X000877.SZ,X002271.SZ,X600011.SH,X601898.SH,X600010.SH,X000708.SZ,X601600.SH,X600547.SH,X600660.SH,X000301.SZ,X600426.SH,X600886.SH,X600362.SH,X600176.SH,X000723.SZ,X000786.SZ,X600803.SH,X000983.SZ,X601699.SH,X000408.SZ,X600219.SH,X600096.SH,X000807.SZ,X600795.SH,X601991.SH,X600801.SH,X002080.SZ,X600985.SH,X002353.SZ,X000825.SZ,X000630.SZ,X600295.SH,X000932.SZ,X600489.SH,X600688.SH,X300073.SZ,X600486.SH,X601666.SH,X600141.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.219242428147034,0,0,0,0.0061229600526419,0,0,0,0,0,0.169459404754934,0,0,0,0,0,0,0.0943951986393282,0,0,0,0,0,0,0,0,0,0,0,0.0624444228578776,0,0,0.044213656328076,0,0,0,0.0192758815253055,0,0,0,0,0.206972359494069,0,0,0,0.0683235347933954,0,1.73472347597681e-18,-0.0237460094656253,0.141204374955801,0,0,0.0495928002457532,0,0
X601088.SH,0.0978760466926285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405142213465046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00908656380375126,0,0,0,0,0,0,0,0,0,0.298283116733892,0,0,0,0,0,0,0,0,0,0.181088328729648,0,0,0,0.0309127584226324,0,0,0,0.0695645424788808,0,0
X600028.SH,0.0825648645150827,0,0,0,0,0,0,0,0,-0.0263597994530037,0,0,0,0,0.0482061612269749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264157676899444,0,-0.0247896962630832,0,0,0,0,0,0,0,0,0,0,0.033472822249248,0,0,0,0.291766200688513,0,0,0,0,0,-0.0127679460533299,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0762575161313869,0,0,0,0.141625133053348,0,0,0.046261667750416,0.219549841683226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109036717986311,0,0,0,0,0,0,0,0.0486966349886884,0,0,0,-0.0192392934816509,0.0205284390887588,0,0,0,-0.0123862530778786,0,0
X600585.SH,0.0167156060775423,0,0,0,0,0,0,0.0221586418020782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425307543027606,0,0.0872505410116367,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.437234179944224,0,0,0.00093501306192746,0.0407731594111011,0,0,0,0,0,-0.0199110659123547,0,0,0,0,-0.00493302587783237,-0.00243385486027088,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.0271865947120137,0,0,0,0,0,0,0,0,0,0.00928329580178581,0,0,0,0.1478320088196,0,0,0,0,0,0,0.00550263736918458,0.374734128198259,0,0,0.0430515545356685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284645275341324,0,0,0,0.0400834449101778,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.0292659843895301,0,0.204445737170301,0,0,0.36642911173694,0,0,-0.0258006573670277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0214768602232386,0,0,0,0,0,0.216102185736111,0,0,0,0.104038503538763,0,-0.0336887698273213,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0.273842863062424,0.233058633567877,0,-0.000326896723207591,0,0,0,0,0,0,-0.0998569395979653,0,0,0,0,0,0.351471244576655,0,0,0,0,0,0.0708888254487015,0.229218241878737,0,0,0,0,0,0,0,-0.287924474262139,0,0,0,0,0,0,0,0.0304151685014726,0.0585786570122744,0,-0.0222285072896301,-0.00157043673263068,0,0,0,8.67361737988404e-19,0,0
X600019.SH,0.0033747918762618,0,0,0,0,0,0,0,0,0,0,0,0,0.130099448327301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.233456945642975,0,0,0,5.82072160915601e-05,0,0.0321844037168898,0.279168029202484,0,0,0,0,0.0177363037338817,0,0,0,-0.0104260477049626,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.0320467827529533,0.233566000322129,0,0,0,0.111054549032512,0.0964738587049541,-0.0769467613330782,0.0646820964820934,0,0.144943928954327,0,0,0,0,0.229389257583511,0,0,0,0,0,0.042684776485244,0,0,-0.0442406256554984,0,0.198191499104954,0,0.0909958693937957,0,0,0,0,0,0,0,0,-0.0534302831968587,0,0,0,0,-0.0888247173985569,0,0,0,0.0628544447349589,-0.0176664808481316,0,0,0,0,0,0
