,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X002460.SZ,X600585.SH,X600111.SH,X600019.SH,X002466.SZ,X002271.SZ,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X601600.SH,X601898.SH,X600362.SH,X600188.SH,X600547.SH,X600426.SH,X600176.SH,X600011.SH,X600886.SH,X000408.SZ,X600219.SH,X000786.SZ,X300037.SZ,X000825.SZ,X600399.SH,X000932.SZ,X601991.SH,X600803.SH,X002080.SZ,X000723.SZ,X600795.SH,X002409.SZ,X000959.SZ,X002407.SZ,X600486.SH,X600549.SH,X000898.SZ,X000807.SZ,X002145.SZ,X000831.SZ,X600352.SH,X600489.SH,X000012.SZ,X601699.SH,X000027.SZ,X002497.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,-0.0348240053633131,0,-0.0380646954159676,0,0.0447745698204699,0,0,0,0,0,0.0320792494353294,0,0,0.0317272515118897,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0332789707801042,0,0.0699388559834145,0,0,0.0749881390176532,0,0,-0.00971501881525837,0,0,0,0,0,0,0.0248071346341746,0.0166664626935752,0.0828007891375381,0,0,-0.00914072365545023,-0.00427618521736463,0,0,0,0,0,0
X600028.SH,0,0,0,0,-0.0656045193089975,0,0,0,0,0,0,0,0,0.0562704715218136,0,0,0,0.0217085021245709,0,0.0845499156945568,0,0,0,0,0,0,0,0,-0.0133080389934337,0,0,0,0,0.0535839856897886,0,-0.0453507934677217,0,0,0,0,0,0.0577207200648921,0,0,0,0,0.00707763657848361,0.00979971492302599,0,0,0,-0.00013717579086976,0.0244623929743452,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.00846852783280847,0,0.0355915049509312,0,0,0.0376902518183611,0,2.16840434497101e-19,0,0,0,0,0.129822236356437,0,0,0.154505110730169,0,0,0,0,0,0.203175373921366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495482852191629,0,0,0,0,0,0,0,0,0,0.0228314958446003,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,-0.0278286667948009,0.00473750936620899,0,0,0,0,0,0,0,0,0.0363797737226887,0,0,0.215023119893661,0,0,0.0572805143090418,0,0,3.46944695195361e-18,0,0.165300526176409,-0.0644913610556895,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0206095770351608,0,0,0,0,0,0,0.00494206263086775,0,0,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.0184531230320418,0,0,0,0.0206783963550235,0,0,0.07921039178057,0,0,0,0,0,0,0,0,0,0,0,0.195475269689714,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0214077973106484,0,3.46944695195361e-18,0,0.0199903165473321,0.148978438443283,0.167036123889848,0,0,0.102048168994807,0,0.0421218735412857,0.376222272701493,0,0.0861344038490976,1.73472347597681e-18,0,0,0,0,0,0
X600585.SH,0.0571843581590466,0,0,0,0,0,0,0,-0.0661775754757467,0,0,0,0,0.115880791180987,0,0,0,0,0,0,0.0877195793236401,0,0,0.00560594464194607,0,0.154316456771688,0,0,0,0,0,0,0,0.0569452066100182,0,-0.0178520013028058,0,0,0,0,0,0,0,-0.0157098510709972,0,0,0.0809893355009329,0,0,0,0,0,0.066287111469536,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0.242501766337743,0,0,0,0,0.104451465069973,0,0,0,0,0,0,0,0,0,0.219805314999214,0,0,0,0,0,0,0,0,0.0422793898026829,0,0,0,0.0980398381652869,0,0,0,0.275587250017525,0,0,0,0,0,0,0,-0.0215330812848307,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311511277968439,0,0,0,0,0,-0.043019770818562,0,0,-0.0820458384826614,0,0,0.088636476955591,0,0,0,0,0,0,0.0920227494202326,0,0,0.0815133551293558,0.346608712350359,0,-0.0295976555047331,0.054345506244048,0,0,0,0,0,0,0,0,0,0,0,0,-0.0651909796829096,0,0
X002466.SZ,0,0,0,0,0,0,0.22378634942343,0,0,0,0.0127871596201758,0.151481938530193,-0.162422293407183,0,0.0582069456407843,0,0.114743798599051,-0.271017227453282,0,0,0,0,0,0.00398872405706317,0,0,0,0.357022192227218,0.111739300476384,0,0,0,0,0,0,0,0,0.0869576229214435,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.23269847417953,0,-0.0803744453048662,0,0,0,0,0,0,0
X002271.SZ,0,0,0.178033358031103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.186525222760552,0,0,0.0951596118493993,0,0.0767837169916433,0.0763877514347064,0,0,0,0.104778779163588,0.125223486242139,0,0,0,0,0,0,0,0.0424207050710671,-4.33680868994202e-19,0.0385398684772696,0,0,0,0.033270722156255,0,0,0,0.0858100884676486,0,0,0,0,0.0687726619556536,-0.032363112618859,0,0,0,0,0,0
