,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X600660.SH,X002271.SZ,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X000301.SZ,X600362.SH,X000786.SZ,X600188.SH,X600111.SH,X002466.SZ,X600010.SH,X600426.SH,X600886.SH,X600011.SH,X600176.SH,X000027.SZ,X601991.SH,X600795.SH,X600803.SH,X600219.SH,X600352.SH,X600489.SH,X000932.SZ,X600801.SH,X000408.SZ,X000807.SZ,X600688.SH,X000825.SZ,X000898.SZ,X000959.SZ,X300037.SZ,X601699.SH,X002353.SZ,X600315.SH,X000830.SZ,X600157.SH,X002080.SZ,X600486.SH,X600299.SH,X000983.SZ,X600027.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441941125833036,0.0472114482508827,0.0181051521247399,0.0589443702276276,0.0781954906352012,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0.261799016282295,0,0,0.0167493570409635,0,0,0,-0.00955304024526895,0,0,0,0,0,0.013650490602509,0,0,0,0,0,0,0,0.00359580377330536,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515199040348819,0.0926071872719658,0,0,0,0.0111836891555807,0,0,0,0,0,0,0.00970462990488328,0,0,0.0345886517660025,0,0,0.129299425932871,0,0,0,0,0.0431247800468096,0.0823515009260108,0,-0.120845160745043,0,0,3.46944695195361e-18,0,0,0.0842953561345827,0,0,0,0,-0.0280322842135212,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913842279240041,0,0.0299594354441143,0,0.0256229272532282,0,0,0.0854932893514276,0,0,0,-0.0378290656124998,0,0,0,0,0,0,0,0,0,0,0.0663597322887577,0.0241142080023736,0,0,-0.0853398294380368,0,0,0,0,0,0.104043163144036,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111968266429932,0,0.120955708999804,0,0,0.201200990291591,0,0,0.124873617187545,-0.00401015122273282,0,0,0,0,0,0,0,0,0,0.00210347567645308,0,0,0,0,0,0,0,0.0328639445149678,0.126921698272737,0,0,0,0,0.0153372873689784,0,0,0,-0.104360799758551,0,0,0,-0.0301949378117768,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141574407502421,0,0.0628771480026666,0,0,0,0.0226667155292004,0,0,0,0.0388200487214218,0.0827827143628918,0,0,0.0516238723636486,0.028841911237931,0.00769256558051372,0,0,0,0,0,0,0,0,0,0,0,0.0114048207668274,0,0,0,0,-0.00395190712120685,0,0,0,0,-0.00706964973455914,0,0
X600019.SH,0,0,0,0,0,0,0.154601065972246,0,0,0.0709763183423534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186090879694777,0.0393763600358795,0,0,0,0,0,0,0.137741238116101,0,0,0.114928907908712,0,0.221103961345489,0,0,0,0,0,0,0,0,0,-0.0456424222054415,0,0,0,0,4.33680868994202e-19,-0.0136783325718337,0,0,0,0.0137505717312649,0,0
X002460.SZ,0,0,0,0.00684865226364541,0,0,0,0.141534088524348,0,0,0,0,0,0,0,0,0,0,0.552206122881565,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0117280579529798,0.0717909961088348,0,0,0,0,0.075880358414973,0,0.0328713690637771,0,0.101047459242089,0,0,0,0,0,-0.138058558496989,0,-0.0252934561538092,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,-0.209934977344723,0,0,0,0.15636686623965,0.168873054530207,0,0,0.152543387182383,0,0,0,0,0.0722623143621637,-0.0829395927730451,0,0,0,0,0,0,0,0,-0.0272149890494151,0,0,0,0,0,0.106242315351777,0,0,0,0,0,0.0537609152763074,0,0,-0.0518353735232035,0,0,0,-0.0736559723240916,0,0,0,-0.0157642576232807,0,0
X002271.SZ,0,0,0,0,0,0,0.0947735087853834,0,0,0,0,0,0,0,0,0,0,0,0.0195058359150697,0,0.0869930842757703,0,0,0,0,0,0,0,0,0,0.0295366766062605,0,0,0.173279581209537,0,0,0.0446349718635285,0,0,0,0,-0.113365742928845,0.0697704681786283,0,0,0,0,0,0,0,0,0,-0.100695489791371,0,0,0,0.0128469295857778,0,0
X000708.SZ,0,0,0,0.0754114650416691,0,0,0,0,0,0,0,0,0,0,0.000656979184907064,0,0,0,0.00551269084103523,0,0,0,0,0.141671016422209,0,0,0,0,0,0,0,0.0949297649232416,0,0,0,0,0,0.17957822989172,0.0449341724587107,0,0,0,0.1514153608945,0,0,0,0,0.13148836131245,0,0,0,0,0,0,0,0,0,0,0
