,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601992.SH,X601898.SH,X601600.SH,X300072.SZ,X600688.SH,X600795.SH,X600309.SH,X600547.SH,X601991.SH,X000709.SZ,X600362.SH,X600188.SH,X600660.SH,X600886.SH,X600157.SH,X600027.SH,X002466.SZ,X600111.SH,X600489.SH,X000959.SZ,X000898.SZ,X600339.SH,X600008.SH,X601158.SH,X600299.SH,X600578.SH,X000792.SZ,X000883.SZ,X600583.SH,X000408.SZ,X000401.SZ,X600219.SH,X000630.SZ,X002460.SZ,X000539.SZ,X000983.SZ,X600352.SH,X000027.SZ,X000786.SZ,X000937.SZ,X002092.SZ,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.125510181143826,0,0,0,0,0,0,0,0.056642365224027,0,0,0,0,0,0,0,0,0.00729140314579374,0,0,0,0,0,0,0,0,0,0,0.031845598037818,0,0,0,0,0,0.102323553814737,0,0,0,0,-0.0521049201972775,0,0,0,0,0,0,-0.0446584939927919,0,0,-0.0117604995474173,-0.000911679220937083,0,0,0,0,0,0
X600028.SH,0.0119964205200747,0,0,0,0,0,0,0,0,0,0.0753585061002274,0.0744958081162057,0,0,0,0,0,0.104813603277531,0,0,0.00640241240539858,0,0,0,0,-0.0259059375957593,0,0.00313280575742484,0,0.0343828967757651,0,0,0,0,0,0,0,0.0650262795189364,0,0,-0.0553562777746779,0,0.0422231981353934,0,0,0,0,-0.0209842005785858,0.0249992757240631,0,-0.00301820053733367,0.0160056894427779,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0302393895534599,0,-0.0313171748037154,0.162346047814779,0,0,0,0,0,0,0.100036870424676,0,0.0284135001070416,0,0,0.0308567736903256,0,0,0,0,0,-0.0364381786068262,0.21926382650576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218524968844762,0,0,0,0,0,0,0,-0.00502743201995765,-0.00229758782561518,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.398180286538241,0,0,0,0,0,0,0,0,0,0.127238210417412,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0148579461880081,-0.0512547280761933,0,0.116194410490207,0,0,0,0,-0.201924227657212,0,0,0,0,0,0,0,0,0,0,-0.0119233187619261,0.0437830976252776,-0.00885812162225516,-0.0158198538049838,0.0461365718680902,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.0857188765830007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0321970664376547,0,0.208264524204804,0,-0.00187341752702133,0,0,0,0,0,0,0,0,0,0,0.0639513638940794,0,0,0,0,0,0,0,-0.19217249462251,0,5.42101086242752e-20,-0.019981788360167,0,0,0,0,0,0
X600011.SH,0,0,0,0.0325553042427106,0,0,0,0,0,0,0,0,0,0.0876750088151582,-0.276217317213022,0,0,0,-0.0803014700002086,0,0,0,0.097348824593661,0,0,0,0,0,0,0.262282941030923,0,0,0,0,0,0,0,0,0,0,-0.0441497274588069,-0.0197772640622929,0,0,0,0,0.0887569294391162,0.20810964249792,0.00802735959537227,0,0.0466724089391185,-0.0166218042865327,0,0,0,0,0,0
X600010.SH,0,0,0,0.148436150282403,0,0,0,0,0,0.0444005696815723,0,0,0,0,0,0,0,0.038884180434126,0,0,0,0,0,0,0,0,0.0559736215914934,0.118940758363311,0.113019210695071,0,0,0.0633491709254731,-0.0248687259843505,0.14519639097842,0,0,0,0,0.0131319399626871,0,0,0,-6.93889390390723e-18,0,0,0,-1.73472347597681e-18,0.0842287573088996,0.0187955829624307,0,0,-0.0114113996767246,0,0,0,0,0,0
X601992.SH,0,0,0,-0.0413429374180034,0,0,0,0,0,0,-0.00966002560494897,0,0,0,0,0,0.462222486878776,0,0,0,0,0,0,-0.223357574630852,0,0,0,0,0.0705427539312537,0.185742669505568,0,-0.142205271119711,0,0,0,0,0,0.426979537257453,0,0,0,0,0,0,0,0,0,0,0,0.119608645092965,0.00203878641484678,0.0159825773260675,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601755080481805,0,0,0,0,0.0262813606850468,0,0,0,0,0.0100585814528105,0.00229510073024548,0,0,0,0,0,0.361621648377531,0,0,0,0,0,0,0.0977380187170578,0,0,0,0.0573945930948747,0,0,0,-0.00535930070091691,-0.00128973838200469,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011573772553982,0,0.242444511885305,0.0839411732353668,0,0,0,0,0.11931055695654,0,0,-0.00271916594339107,0,-0.142603602540396,0.0370600970043256,0,0,0,0,0,0,0,0,0.268690939546077,0,-0.021686601350895,0,0,0,0,0.0253681483390731,0,0.131705252874334,0,0,0.0129314790323492,-0.00859218702447496,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0196953096178802,0,0,0,0,0,0,0,0,0,0,0.0198412499296709,0,0,0,0,0,0,0,0,0,0.231771588584805,0.0531121225956017,0,0,0,0,-0.00182342743699178,0,0,0.0318316770786264,0,0.134560877699667,0,0,0.0846650070069541,0,0,0,0,0,0,0
X600688.SH,0,0.448392108689419,0,0,0,0.00448685065163893,0,0,0,0,0,0,0,0.14064233664787,0,0,0,0,0,0,0.08327177649252,0,0,0,0,0,0,-0.0255380905996661,0,0.0314927625847889,0,0,0,0,0.102710042859648,0,0,0,0,0,-0.0983213505067702,0,0,0,0,-0.0190306480882303,0,0,0,0,-0.00495965486442825,0.00256166385633223,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.0027822812147169,0.0723282403022111,0,0,0,0,0,0.00599617096111432,0,0,0,0,0,0,0,0,0,0,0,0,0.0701386351036971,0,0,0,0,0,0.0489651347921801,0,0,0,0,0,0.00494924054110297,0.0621872800731092,0,0,0,0.00653847761169733,0.000160965352489834,0,0,0,5.07104381464093e-05,0,0,0,0,0,0
X600309.SH,0,0,0,-0.126108520110787,0,0.0938552510874982,0,0,0,0,0,0,0,0,0,0,-0.0224371198633572,0,0,0,0.215643265950925,0,0,0,0,0,0,0,0,0.193137719361592,0,0.0393685420991407,0,0,0,0.044673888279858,0,0,0,0,0,0,0,0.380154921207315,0,0.100944554881592,0,0,0,0,0,0.00144364587998003,0,0,0,0,0,0
