,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X000792.SZ,X600111.SH,X002271.SZ,X600011.SH,X600660.SH,X000877.SZ,X600188.SH,X002466.SZ,X000708.SZ,X600010.SH,X601600.SH,X600547.SH,X601898.SH,X000301.SZ,X600362.SH,X600886.SH,X600176.SH,X600426.SH,X000723.SZ,X000786.SZ,X600219.SH,X600803.SH,X601991.SH,X600795.SH,X002080.SZ,X000408.SZ,X600027.SH,X000807.SZ,X600688.SH,X002353.SZ,X000825.SZ,X600352.SH,X300073.SZ,X601699.SH,X600801.SH,X300037.SZ,X600489.SH,X000959.SZ,X000630.SZ,X000932.SZ,X000983.SZ,X600486.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600547.SH,0,0,0,0,0,0.00241493874821588,0,0,-0.105572531599536,0,-0.00237188545683621,0,0,0,0,0,0,0,0,0.201829663371555,-0.0700228673572019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252910001328733,0,0,0,0.0453056445219945,0,0,0.0156921675225122,0.0850682122715077,0,0,0,-0.153028646167105,0,0,0,-0.0285834875237137,0.0370637908058806,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223248209786357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143306997691868,0.0265439519022748,0,0,0,0,0,0,0,0,0.245084834741996,0.114578662214594,0,0,0,0,0,0,0.0182731639554305,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0.0980072932607575,0,-0.229967644083842,0.18153646284692,0,0,-0.119603661137809,0,0,0.325664187595186,0.162833240201327,0,0,0,0,0,0,0.0329346399027201,0,0,0.310020196375628,-0.069158717954792,0,0,0,0,-0.0353416733654157,-0.197665978411232,-0.00674079975203857,0,0,0,0.132214400590586,0,0,0,0,0,0,0,0,0,0,0,0.0419693266624928,0.0723272103503832,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606372727037965,0,0,0.0714020692236659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016365729173422,0,0,0.0470485119932777,0,0,0.0370318443368708,0,0,0,0,0,0,-0.0282392989518466,0.208523565345417,0,0,0,0,0,0.0129814501782648,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0.25935365498296,0,0,0.0771663265814122,0,0,0,-0.0505685362412606,0,0,0,0,0,0,0,0,0,0,0,0.132394424929395,0.258149443633991,0,0,0,0,0,-0.0760375542165125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524040932460228,0.0304651893104621,-0.0334433614298676,0,0,0,0,0,0
X600176.SH,0,0,0,0,0.0281805355923309,0.143017003873025,0,0,0,0,0.139680882195252,0,0,0,0,0,0,0,0,0,0.0788812517120489,0,0,0,0,0.0669800417967334,0.158067166712297,0,0,0,0,0.0431103257118426,0,0,0,0,0,0,0,0,0.0659979982185695,0,0,0,0,0,0,0,0,0,0,-0.0269636735486583,0,0,0,0,-0.0204562384880032,0,0
X600426.SH,0.0298516330394631,0,0,0,0,0,0,0,0.0816567855581531,0,0,0,-0.056677310904427,-0.0158174549237148,0.124950348255156,0,0,0,0,0,0.120700659831214,0,0,0,0,0.102619689356095,0.0960782816835036,0,0,-0.0252856160753739,0,0,0,-0.0696187057866149,0,0.319956524001282,0,0,0,-0.0444142073609613,0,0,0,0,0,0.0124853358813808,0,0,0,0,0,0,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371856502865522,0,-0.185133600708288,0,0,0,0,0,0,0,0,0.209171584578839,0,0,0,0,0,0,0,-0.348393631772947,0,0,0,-0.0664479695605951,-0.0155462703909466,0,0.0555625282036356,0,0,0,0,0,0,-0.0255429606383469,0,0,-0.112948816722292,0,0,-0.0617580833400072,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0.116871983474095,0,0,0,0,0.449163880252796,0,0,0,-0.0884941716512544,0,0,0,0,0,0,0,0,0,0.00863168155130477,0.0149433765147368,0.313201864678674,0,0,0,0,0,0,0,-0.128684428439761,0.0337903395491174,-0.0792715695384764,0,0,0,0,0,0,-0.00208770484158887,0,0.0942864859258877,0,0,0,0,0,0,0,-0.00777485381062049,0,0,0,0.0327223027167658,0,0
X600219.SH,0,0,0,0,0,0,0,0,0.0710900682223914,0.11587102105868,0,0,0,0,0,0,0,0.263590297366816,0,0.0290755307429368,0.0733905665003731,0,0,0,0,0,0,0,0,0,0,0,0,0.107962154191558,0,0,0,0.063843569508327,0,0,0,0,0,0,0.0684831417568174,0.0622910761374685,0,0,0,0,0,0.0098721623402346,0,0,0,0,0,0,0
