,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X601600.SH,X600886.SH,X600660.SH,X600188.SH,X000708.SZ,X601991.SH,X600362.SH,X600795.SH,X600352.SH,X600688.SH,X600801.SH,X600111.SH,X601992.SH,X000723.SZ,X600027.SH,X002271.SZ,X000786.SZ,X600516.SH,X600489.SH,X002353.SZ,X000898.SZ,X002460.SZ,X600299.SH,X600176.SH,X002466.SZ,X601158.SH,X000709.SZ,X000883.SZ,X600426.SH,X600583.SH,X600612.SH,X600219.SH,X000792.SZ,X000629.SZ,X600315.SH,X000027.SZ,X000630.SZ,X000553.SZ,X600985.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.00399022089669492,0,0,0.0445470269376705,0,-0.0104057386534595,0,0,0,0,0,0,0.0473523255496948,0,-0.0536096031537026,0,0,0.0506650170604833,0,0,0,0.0816525029668466,0,0.0420622167383234,0,0,0.105668208753752,0,0,0,0,0,0.0615858925708307,0,0,0,0,0,-0.0233286810068259,0,0,0,0.00442702618481939,0,0,-0.00656480698906392,0,0,0,0,0.0167762146130399,0,0
X600028.SH,0,0,0.0270430645957828,0,0,0,0,0,0,0,0,0,0,0.0138264550214593,0.0567255792053639,0,0,0,0.0350273614421933,0,0,0,0,0.130572047799457,0,0,0,0,-0.00259557004536876,0.0741583035446563,0,0,0,0,0,0,0,0,0.0507888710667668,0.0178626191006479,0,0,0,0,-0.0299125753662292,0,0,0,0,0,0,-0.00339528751689809,0.00855636853742326,0,0.1113463739267,0,0,0,0
X601088.SH,0,0,0,0.269211724432333,0,0,-0.00412247602851669,0,0,0.0351285525865882,0,0,0,0,0.1456599693185,0,0,0,0,0,0,-0.0674240676885779,0,0,0,0,0.215014552750262,0,0,-0.0242814807199066,0,0,0,0,0.0144033549828866,0,0,0,0,0,0,0,-0.0914288909001214,0,0,0.135386192596831,0,0,0.000884420276700496,0,0,-0.00485647958072262,0,0,0,0,0.0270262848602557,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585575631818344,-0.0322664748714236,0,-0.0454798759701433,0,0.122048095449267,-0.0374777869607113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0321467960554851,0,0,0,0,0,0,0,0,-0.00323509999509644,0,0,0,0,0.0249555019723024,0,0
X600309.SH,0,0,0,0,0,0,-0.0933891886341804,0,0,0,0,0,0,0.129561578182649,0,0,0,0,0.000275369654123801,0,0,0,0,0.0584936808678001,0,0,0,0.0505390384325367,-0.0153341552362666,0,0,0,0,0,0.0987457409896802,0,0,0,0.0794738653507087,0,-0.0190935581372877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237544570149043,0,0
X600019.SH,0,0,0.193245714194722,0,0,0,0,0,0.097685498229108,0,0,0,0,0.017051403193625,0,0,0,0,0.0316973423968837,0,0,0,0,0,0,0.00511456781549387,0.101814693215369,0,0.0209577542539532,-0.0418324607976681,0,0,0,0,-0.00783749078265304,0,0,0,0,0.185778620159794,0,0,0,0,0,0,0,0,0.0335926830672554,0,0,0,0.00344028966077081,0,0,0,-0.0183490943176707,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.100593013886761,0,0.0835369282267454,0,0,0,0.0116986562817523,0,0,0,0,0,0,0,0,0.119405036042288,0.888754693203535,0.117142295605655,0,0,0,0,-0.105191784661947,0,0,0,0,0,0,0,0.200245686420679,0,0,0,0,0,0,0,0,0,-0.00298714301376778,0,0,0,0.0705957467513028,0,0
X600011.SH,0,0,0,0.0500649859904008,0,0,0,0,0,0,0,0,0,0,0.0666535585373183,0,0.165962166667741,0,0,0,0.228885836932839,0,0,0,0.140772977169877,0,0,0,0,0.119644875774908,0,0,0,0,0.0368186439424156,0,0,0,-0.0348158763031161,0,-0.107656311430044,0,0,0,0.00104547004415545,0,0,0,-0.0933580289635627,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019111917812703,0,0,0,0.106980063854703,0,0,0,0,0.00056541741281709,0,0,0.0555616259099517,0.0829300559124553,0,0,0,0,0,0,0,0,0,0,0,0,0.0813142603792318,0,0,0.209902694651571,0.0200441847440827,0,0.00724997342571826,0,0,0,0,-0.0192009266630535,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238348108180128,0,0,0,0,0,0,-0.162379512010188,0,0,0,0,0,0,0,0,0,0,0,0.237416764298355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599406533519865,0.129390110739147,0,-0.0107542911178408,0,0,0,0,0.0233564165240591,0,0
