,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X002271.SZ,X600660.SH,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X600362.SH,X600111.SH,X002466.SZ,X000786.SZ,X000301.SZ,X600010.SH,X600188.SH,X600426.SH,X600886.SH,X600011.SH,X600176.SH,X000027.SZ,X601991.SH,X600795.SH,X600803.SH,X600219.SH,X600352.SH,X600489.SH,X000807.SZ,X600801.SH,X000932.SZ,X000898.SZ,X600688.SH,X000825.SZ,X002353.SZ,X002080.SZ,X600315.SH,X300037.SZ,X600157.SH,X000408.SZ,X601699.SH,X000959.SZ,X600486.SH,X000830.SZ,X600027.SH,X000883.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.163647408941403,0,0,0,0,0,0,0,0,0.0435367409678023,0,0,0.0220988161103104,0,0.0256740326471115,0,0,0.108298785051539,0,0.0925175239111306,0,0,0,0.00951742315854343,0,0,0,0,0,0,0,0,-0.0104687475921102,0,0,0.0514818067940545,0,0,0,0,0,0,0,0.0256553792576904,0,0,0,0,0,0,0,0.00637051064069425,0,0,0,0.00575923453791987,0,0
X600028.SH,0,0,0.0599976829341559,0,0,0,0,0,0,0,0,0,0,0,0,0.00277412401396091,0,0,0.0561567294014098,0,0.154471115635224,0,0,0,0.00301208547292449,-0.0932210997241984,0,0,0,0,0,0.0501980699396707,0,0,0.111456388590632,0,0,0,-0.0487361101817748,0.0300002416216155,0,0,0,0,0,0,0.0139785909791904,0,0.0465820288167129,0,0,0.00132680295227844,0.114212950724927,0,0,0,-0.0255618447360585,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015725382715738,0.127340846286513,0,0,0,0,0.103568986616668,0,0,0,0.0568106316405571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00665984326133558,0.0302777187660273,0,0,0,0,0,0,0.0183001429454435,0,0,0,0,0.0112162828177762,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565264361238958,0,0.146480638263705,0.0424827112109605,0,0,0.231392134358304,0,-0.120083276460466,0.206430198324926,0,-0.0123600441977036,0,0,0,0,0,0,0,0,0,0,0.0566589389368341,0,0,0.0399449515017025,0.0656940903129685,0,0,0,0,0,0.0984708689149543,0,-0.0281100866612675,0,0,0,-0.117830912748339,0,0,0,-0.00495944227926787,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217925176453671,0,0,0,0,0,0,0,0,0,-0.0255858601185318,0,0,0,0,0,0,0.0115811996667412,0.0408054725597912,0.0915098322026883,0,0,0,-0.000884488704079645,-0.0555248080911999,0,0,0,0.000587201457174547,0,0,0.0422081949534685,0,0,0,0,0,0,0,0,0,0,-0.0259460996024348,0,0
X002460.SZ,0,0,0,8.470329472543e-22,0,0,0,0,0.241590620719135,0,0,0,0,3.46944695195361e-18,0,0.694455840081026,0,0.00286140533507987,0.0820889015901927,0,-1.73472347597681e-18,0,0,0,0.0389395923153629,0,0,0,0,0,0,0.0274040185422784,0,0,0,0,0,0,0,0,0.03742376748723,0,0,0,0,0,0.0132588229139379,0,-0.0123044263290257,0,0,0,-0.0308550825062471,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688937609694985,0,0.410464882397406,0,0,0.163476267018025,0,0,0,0,-0.0184585062174742,0,0,0,0,0,0,0.0382124889651839,0,0,0,-0.00935155222759527,0,0,0,-0.0275001127157673,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496679049401763,0.0697745588145045,0,0.067587799109812,0,0,0.0504346921753823,0,0,0,0,0,0,0,0,0,0.0634012282008234,0.0392609603833938,0,-0.137258521433077,0,0,0,0,0,0,0,0,0.201081294241183,0,0,0,0,0,0,0,0,0,-0.0849351999104118,0,0,0,-0.00100145634479821,0,0
X600660.SH,0,0,0,0,0,0.159461049180722,0,0,0,0,-0.0621320009879756,0,0,0.0459028034703853,0,0,0.0805675629899938,0,0,0,0,0,0,0,-0.0672593326319685,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.0705957795291912,0,0,0,0,0.0153878489247832,-0.0303877603332534,0,-0.15048123220172,0,0,0,0,0,0,0,-0.0288767689765537,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0.15481902525485,0,0,0,0,0,0.19338906621241,0,0,0,0,0,0,0,0,0,-0.0102398442895666,0,0,0,0,0,0,0.00889011041031193,0,0,0.237445335571137,0.200868756331261,-0.052432193839256,0.22318242724868,0,0.0469013417724807,0,0,-0.105192865218014,-0.0145823592756356,0,0,0,0,0,0.350613525210444,0,0,0,0,0,0,0,0,0
