,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600660.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X002460.SZ,X600111.SH,X600795.SH,X600362.SH,X000301.SZ,X002466.SZ,X600160.SH,X600489.SH,X000708.SZ,X600803.SH,X600027.SH,X601991.SH,X000786.SZ,X000807.SZ,X000877.SZ,X600219.SH,X600426.SH,X000983.SZ,X600176.SH,X002128.SZ,X000408.SZ,X000630.SZ,X601699.SH,X600096.SH,X601168.SH,X600985.SH,X600157.SH,X000933.SZ,X002353.SZ,X002271.SZ,X600378.SH,X600995.SH,X600352.SH,X000831.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.17287694640032,0,0,0,0,0,0,0.183254042430597,0,0,0,0,0.0753830245922496,0,0,0,0.335532104979824,0,0,0,0.00720982490213412,0,0,0,0,0,0,0,0.0181943034256466,0,0,0,0,0,0.0200876003535801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0832568102412377,0,0
X601088.SH,0,0,0,0,0.500941320348917,0,0,0,0,0,0,0,0,0,0,0,-0.0607411158302288,0,0,0,0,0.0168196520135164,0,0,0,0,0,0,0,0,0,0.0332195418709753,0,0,0.113243568343416,0,0,0,0,0,0,0.0392567181669247,0,0.00698318541640673,-0.0209723326366963,0,0,0,-0.0229833170217276,0,0,0,0,0,0,0,-0.0230771624647784,0,0
X600028.SH,0.584842688614149,0,0,0,0.110608919923153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363271242744144,-2.16840434497101e-19,0,0,0.0314936382484257,0,0,0.107947336643051,0,0,0,0,0,0,0,0,-0.0250725270201602,0,0.122261801378148,0,0,0,0,0,0,-0.0412305773676148,-0.0944138214796678,0,0,0,0,0,0,0,0,0,0,-0.0232986730195271,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853375691594585,0,0,0,0.138527262448191,0.00741120043435331,0,0,0,0.112467752589751,0,0,0,0,0,0,0,0,0.0583427321789377,0,0,0.332040682191802,0,0,0,0,0.00124636895022361,0,0,0.0143147450222708,0,0,0,0.0832712870691757,0,0,0,0,0,0,0,0,0,0
X601898.SH,0.106950162474511,0.129201218886598,0,0,0,0.106683958823356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147677329199695,0.074382256214622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.00103623742317694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0340986956729973,0,0
X600019.SH,0.222790296205834,0.0496853930454228,0,0,0,0,0,0,0,0.202291001986875,0,0,0,0,0,0,0,0,0,0.0839005988114203,0,0,0,0,0.134966562691216,0,0,0,0,0.0740108379990177,0,0,0,0,0,0,0,0,0,0,0,0.0931689078639308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00583772715760158,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125495952810619,0,0,0.0468879140664529,0,0.221795683515743,0.0218571025552792,0,0,-0.0675509129108168,0,0,0.17618696400825,0,0,0,0,0,-0.174377149663677,0,0,0,0,0,0,0,-0.170865426664271,0,-0.0515134500621245,0,0,0,0,0,0,-0.0594370304852175,-0.0306901334854793,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508468073225464,0,0,0,0,0.276683354169695,0,0,0,0,0,0,0,0,0.151005162716154,0,0,0.276417934505667,0,0,0.0411449363837096,6.93889390390723e-18,0,0,0,0.158549728416207,0,0,0,0,0,0,0,0.132149272768755,0,0,-0.0418370795301667,0,0
X600585.SH,0,0,0,0,0.323468183718549,0,0,0.0259107806093687,0,0,0,0,0,0.093765747125377,0,0,0,0,0,0.0308327980747941,0,0,0,-6.93889390390723e-18,0,0,0,0.0331881352950495,0,0.23227601899627,0,0,0,0,0,0,0,0,0.116173687041707,0,0,0.0098551894786146,0,0,0,0,0.0187584832801013,0,0,0,0,0,0,0,0,0,-0.0171676247449704,0,0
X601600.SH,0,0,0,0,0,0.423010511427457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365095988155299,0,0.312695673164138,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.118355641507242,0,-0.148091799618138,0,0,0,0,0,0,-0.025217070908051,0,0,0,0,0,0,0
