,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002271.SZ,X002460.SZ,X600801.SH,X601898.SH,X600886.SH,X600010.SH,X000792.SZ,X601600.SH,X600660.SH,X600362.SH,X600688.SH,X000786.SZ,X600188.SH,X600795.SH,X601991.SH,X600352.SH,X601992.SH,X600299.SH,X600027.SH,X600111.SH,X600489.SH,X600176.SH,X000723.SZ,X002466.SZ,X002075.SZ,X600126.SH,X600426.SH,X000401.SZ,X000553.SZ,X601158.SH,X000898.SZ,X600219.SH,X600516.SH,X000932.SZ,X002353.SZ,X000883.SZ,X600583.SH,X600486.SH,X000709.SZ,X000027.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.00839007600465545,0,0.0372254320301911,0,0,0,0.354186207343345,0,0,0,0,0,0,0.0075717425724668,0,0,0,0,0,0,0.0315631736111908,0,0,0,0,0,0.0576381242998321,0.0387016519165208,0,0,0,0.0533968604344311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175867360448089,0,0,0,0,0,0
X600028.SH,0.165120936229573,0,0,0,0,0,0,0,0.188468760839969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163065277413309,0,0.128208990401637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000671298541414686,0,0,0,0,0,0,0,0.0159680135418788,0.0151035830534758,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.219508265896667,0,0,0.0810814496420524,0,0,0,0,0,0,0,0.0657228831365855,0,0,0,0,0,0,0,0.100851484887081,0,0,0,0,0.00779248476063013,0,0,0,0,0,0,0.180716680178757,0,0,0,0,0,0,0,0,0,0,0,0,0.0228205533914247,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.00515741640177687,0.361324446829306,0,0,0,0,0,0,0.219158933501195,0,0.099682578578114,0,0,0,0,0,0,0,0,0,0,0,0,-0.0389709852780488,0,0,0.17157162785507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154815963622726,-0.00525373326593136,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.035242620194204,0,0,0,0,0,0,0,0,0,0.0279526302365689,0,0,0,0,0,0,0,0,0,0,0,0.077280939047496,0,0,0,0,0,0,0,0,0.0629116548087354,0,0.0772712024044226,0,0.198178483385998,0,0,0,0,0,0.0360763545728996,0.0225755836421079,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,-0.131405164393321,0,0,0,0,0,0,0,0,0.0217623730144634,0.00933380315100883,0,0,0,0,0,0,0,0,0.976142267668746,0,0,0,0.086102022691277,0.100246617416647,-0.0708005344541912,0,0.0374883843285628,0,0,0,0,0,0,0,-0.01860160579366,0,0,0,0,0,0.00275795960635316,0.0385179215768684,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.00365337028716148,0.033864729326532,0,0.0387905144456359,0,0,0,0,0,0,0.1154519791564,0.268122321417665,0.0355360433790605,0.0171676352097308,0,0,0,0,0,0.00736530642883069,0.0474746464733862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413721254780345,0,0,0,0,0,0.0146219061661019,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0.0696308313989118,0,0,0,0,0,0.146225815474386,0,0,0,0.056888833159894,0,0,0,0,0,0,0,0,0,0,0.225572961838494,0,0,0.0394643546297664,0.1538710982927,0,0,0,0,0,0,0,0,0,0,0.0229004240254607,0.190938674047281,0,0,0,0,0,-0.0233400574771083,0,0,0,0,0,0
X600011.SH,0,0,0.0970352839164313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554252222517233,0,0,0,0.0167229011003295,0,0,0,0,0.0596426018423238,0.57596302677544,0,0,0,0.00593267297234216,-0.00651024378449561,0,0,0,0,0.149246614822502,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229471756854779,0.00471395621546533,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0.0445198556865901,0,0,0,0,0,0,0,0,-0.0868183606529024,0.0123130343352155,0,0,0.051327299109322,0.318957966795572,0,0,0,0.0108425926364809,0,0,0,0,0,0.0547135205621164,0,0,0,0,0,0,0,0,0,0.125789585950009,0,0,0,0,0,0,0.0373711577804182,0.00633024138026882,0,0,0,0,0,0
