,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600010.SH,X601600.SH,X600886.SH,X600660.SH,X600188.SH,X600362.SH,X601991.SH,X600795.SH,X600352.SH,X600801.SH,X600688.SH,X002271.SZ,X000786.SZ,X600111.SH,X600027.SH,X601992.SH,X000723.SZ,X600176.SH,X002466.SZ,X002353.SZ,X002460.SZ,X600299.SH,X600516.SH,X600583.SH,X000898.SZ,X600489.SH,X601158.SH,X000883.SZ,X600426.SH,X000709.SZ,X600612.SH,X600219.SH,X000792.SZ,X000027.SZ,X000553.SZ,X000629.SZ,X000630.SZ,X000825.SZ,X000539.SZ,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0478877706110824,0.128646895079313,0,0,-0.0213185633856944,0,0,0,0,0,0.02894521290745,0,0.121348948461459,0,0,0,0.0535064388037685,0,0,0,0,0.0406767756205318,0,0,0.00541429056942793,0.0937824661634427,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127873208743342,-0.0146392397162669,0,0,0,0.00931222515549138,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0377744391217796,0.00452088156224175,0,0,0,0,0,0,0,0,0.114823018826917,0,0,0.0141158123257736,0,0,0,0,0.102044218116912,0,0,0.00899557698975099,0,0,0,0,0,0,0,0,0.0778505503979088,0,0,0,0,0,0,0,0,0,0,-0.0593330077765582,0,0,0.0184453584402822,0,0,0,0.0162953961079989,0,0
X601088.SH,0,0,0,-1.38777878078145e-17,0,0,0,0,0.0663358683214633,0,0,0,0,0,0,0,0,0,0,0.107621167534745,0,0.139492567818932,0,0,0,0,-0.0640757925740017,0,0,-0.0850345962903316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436202623971964,0,0,0,-0.013694658604245,0,0
X600585.SH,0,0,0,0,0.0106743307601604,0,0,0,0.0737427427698162,0,0,0,0.0942356758361007,0,0,0,0,0,0,0.142005939616252,0,0,0.0117252889041443,0,-0.0266134012687488,0,-0.0670631950601915,0.176970212281475,0.055422564324798,0,-0.0638280909739151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107837243005884,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.053493436330803,-0.0381330748605041,0,-0.0860556794166725,0,0,0.00832476677767938,0,0,0,0,0.0316989710841272,0.0945157493513395,0,0,0,0,0,0,0,0.114266772332212,0.0303559585630789,0,0.118890116990053,0,0,0,0,0,0,0,0,0,0,0,-0.0435265670956325,0,0,0,0,0,0,0,0,-0.0304376549590248,0,0,0,0,0.00930941272081687,0,0
X600019.SH,0,0,0.201753321140162,0,0,0,0,0,0.0436336312584512,0,0,0,0,-0.049280915255935,0,0,0,0,0.0134173494748643,0,0,0.0339233721611178,0,0,0,0,0.0236250641152617,0,0,0,0,0,0,0.0192664181276823,0,0,0,0,0,0,0,0,0,0,0.00692434835754238,0,0,0,0,0,0,0,0.000683191015396808,0,0,0,0.0134655782149601,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0507839318672439,0.0358227868721259,-0.149996388619838,0,0.0688297727591323,0,0,0,0,1.41302416009198,0,0,0.0359624548318895,0,0.0324125985923405,0,0.117239701031551,0,0,0,0,0,0,0,-0.0748980388722333,-0.0362681755665516,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117753272003872,0,0,0,0,0,0,0.0965271576926064,0,0,0.303139511392641,0,-0.055067371561366,0.166392999783799,0,0.038663230607401,0,0,0,0.125703685033561,0,0,0,0,0,0,-0.0174362197420195,0,0.118337339789767,0,0,0,0,0,0,0.131989696593319,0,0.00745314699374763,8.67361737988404e-19,0,0,0,-0.0147090888833995,0,0
X000708.SZ,0,0,0.419575746146022,0,0,0,0,0,0,0,0.286026993249289,0,0,0,0.281352727906018,0,0,0,0,0.094245434107911,0,0.121540797645611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368152698496593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897934269009853,0,-0.0365685800638693,0,0,0,0,0.0392793405440614,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.160539696889613,0.0133221211929866,0.385185479597066,0,0,0,0,0,0,0,0,-0.230631166190373,0,0,0,0,0.00595002899202681,-0.00107232226085855,0,0.0770432826803075,0,0,0,0,0,0,-0.0390612907731923,0,0,0,0,0,0,0,0,0,0,0,0,-0.0923779422965221,0,0,0,0,0,0,0
