,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600299.SH,X601992.SH,X601158.SH,X000027.SZ,X600583.SH,X000539.SZ,X600309.SH,X600352.SH,X000630.SZ,X002466.SZ,X000792.SZ,X600623.SH,X600098.SH,X600660.SH,X000883.SZ,X000709.SZ,X000898.SZ,X600021.SH,X600160.SH,X002470.SZ,X000060.SZ,X601918.SH,X600489.SH,X600863.SH,X600808.SH,X600547.SH,X600578.SH,X600315.SH,X600307.SH,X300072.SZ,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.664060828566998,0.032115487506097,0,0,0,0,0.043469004040884,0,0,0,0,0,0,0,0,0,0,0.0110541558886475,0,0,0.0377915696067499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069108234792519,0,0,0,0.00303961066692769,0,0,0.0603678608843129,0,-0.0201391167364262,0,0,0,0,-0.0137717801059937,0,0,0,0,0,0,0
X600028.SH,0.243031481619898,0,0.274980829064297,0,0,0,0,0,0,0,0,0,0,0,0.0919607506342295,0,0,0,0.0152617250551278,0,0.0427427868504544,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056560067573367,0,0,0,0,0,0,0,0.0591537557505718,0,0,0,-0.0309562278838469,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.27563773870752,0,0,0.0918709350734927,0,0,0,0,0,0.0247072067032086,0,0,0,0,0,0,0.111196937322008,0,0,0.105224103318002,0,0,0,0,0.129012220821937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222847931856354,0,0,0,0,0,0,0
X600011.SH,0,0,0.18334647717954,0,0,0,0,0,0,0,0,0.375279072787146,0.167895846175211,0,0,0,0,0,-0.00473232030897767,0.0312715430165076,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.0510711722200157,0,0,0,0,0.101008793600495,0,-0.0144386865799601,0,0,0,0,0,0,0,0,0,0,-0.00462285734138799,0.00160059371460172,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0460711417685839,0,0,0,0,0.145328215866978,0,0.195286818924224,0,0,0,0,0,0,0,0,0,0.119403043231109,0,0,0,0,0,0,0.114493967820379,0,0,0,0.183553487390507,0,0,0,0,0,0,0,0,0,0,0,-0.0145059349650043,0,0,0,0,0,0,0
X600019.SH,0,0,0,0.0598446280364825,0,0,0,0,0,0.201259721178652,0.000223161075408854,0,0,0,0.0165077432546565,0,-6.93889390390723e-18,0.0686690261424345,0,0,0,0,0.0580457660586324,0,0,0,0,0.0518988723311445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228951795416555,0,0,0,0,0.0425425993562883,0,0,0,-0.0317577246696057,0,0,0,0,0,0,0
X600585.SH,0,0,0.214815235780182,0,0,0,0,0,0.0407234663281876,0,0,0,0,0,0,0.088751344147384,0,0,0,0,0,0,0.0852928225093853,0,0,0,0,0.110929133138081,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.00234216383269466,0,0,0,0,0,0,0,0,0,0,-0.0544784971747261,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.480026747619088,0,0,0,0,0.112449531106251,0,0,0,0,0,0,0.122256136323722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143740651684353,0.0101571739724873,0,0,0.0150912554050566,0,0,0,1.0842021724855e-19,0,0,0.0763070699086937,0,0,0,-0.0127838627299668,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0579740230826259,0,0,0,0,0,0,0,0.247466113517177,0,0,0.0793769803171808,0,0,0,0,0,0,0,0.0126401575974733,0,0,0,0.0267564415006586,0,0,0,0,0.0383617078772108,0,0,0,0,0.0667034586383109,0,0.000812940519502267,0,0.147539788297199,0,0,0,0,0,0,0,0,-0.0409376092522934,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.16072666694583,0,0,0,0,0,0,0.269386122487422,0,0,0,0.00249183466997925,0,0.0564450695750574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178200421241609,0,0,0,0,0,0,0,0,0,0.12460130539712,0,0,0,-0.0502016324201419,0.0273729602111561,0,0,0,0,0,0
