,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X002460.SZ,X000708.SZ,X600660.SH,X601898.SH,X600886.SH,X600010.SH,X601600.SH,X002466.SZ,X600362.SH,X600801.SH,X600188.SH,X002271.SZ,X600352.SH,X000786.SZ,X600795.SH,X601991.SH,X600688.SH,X002353.SZ,X600111.SH,X601992.SH,X600176.SH,X000723.SZ,X600027.SH,X600516.SH,X600426.SH,X600583.SH,X600489.SH,X600299.SH,X000898.SZ,X600219.SH,X601158.SH,X000792.SZ,X000932.SZ,X600612.SH,X000883.SZ,X000553.SZ,X000818.SZ,X000709.SZ,X002080.SZ,X000401.SZ,X000630.SZ,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0566105976930813,0,0,0.0316533940758695,0,0,0.0464263075715435,0.0334596925802074,0.0445525341907797,0.0335058925156343,0,0,0,0,0,0,0.405128828974014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0977357145106853,0,0,0.0416652267236178,0,0,0,0,0,0,-0.0027818325565646,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.0194200653093088,0,0,0,0,0,0.0334494626969475,0,5.42101086242752e-20,0,0,0,0.0355367307033972,0,0,0.331850702819828,0,0,0,0,0,0,0,0,0.0104992317857632,0,0,0.0469542589001862,0,0,0,0,0,0,0.00946136606349945,0.0438452093019583,0,0,0,0,0,0,-0.0019832714039924,0,0,0,0,0.00546041687739385,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.025006516059539,0,0,0,0.0176698046142926,0,0,0.186679989501045,0,0,0,0,0,0,0,0,0,0,0.150472581536508,0,0,0,0.0200005415959478,0,0,0,0,0,0,0,0,0,0.0446979455860468,0.0348309218333338,0,0.0794248669932764,0,0,0.00944222852606853,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0133306920926778,0,0,0,0,0,0,0,0,0.538007976307487,0,0,0,0,0,0,0,0,0,0,0.00647218292702984,0,0,0,0,0,0,0,0,0,0,0,0.0480560464279063,0,0,0,0,0,0.0283144522520626,0,0,0,0,0,0.026824699861692,0,0,0,0.028185130477128,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0461968450174215,0,0,0,0,0,0,-0.154955455773504,0.089972695465927,0.344104793599472,0,0,0,0,0,0,0,0,0,0,0,-0.00787504859817192,0,0,0,0,0,0,0,0.0433634112238637,0,0,0,0,0,0.00261382935527205,0.0936205249981977,0,0.019003770038907,0,0,0,0,-0.0151629375838356,0,0,0,0,1.0842021724855e-19,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0803127150572269,0,0,0,0,0,0.0178234323302631,1.73472347597681e-18,0.0304873573942927,0.128751831610417,0,0,0,0,0,0,0,0,0.0242878504910385,0,0,0,0.0864008659908852,0,0,0,0,0,0,0,0,0.03001293946327,0,0,0,0,0,0,0.121806617858599,0,0,0,0.00965733490950244,0,0,0,0,2.16840434497101e-19,0,0
X600547.SH,0,0,0,0,0,0,0,0,-0.00683476710057854,0,-0.0730887717533686,0,0,0,0,0,0,0,-0.0712876762901975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885142011240382,0,0,0,0,0,0,0.176031060529429,0,0,0,0,-0.035647805312742,0,0,0,0,0.0245125314101544,0.0196315509651611,0,0,0,0.0670814322284044,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0354299593905944,0.0470298697457841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220392449775628,0,0,0.266508860778613,0,0.0782759362632839,0,0,0,0.00479659746076402,0,0,0,0,0,0,0.0292722055128699,0,0,0,0.064803515497446,0,0.0783507733685762,0,0,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.144536119373382,0,0,0,0,0,0,0,0,0,0.0757600970049268,0,0,0,0.36340249557716,0,0.0150328835636457,0,0,0,-0.0410906915618067,0,0,0,0.0897360174792742,0,0,0,0.0422704259057726,0,0,0,0.0544475745194482,0,0,0,0,0.125863432625836,0,0
X000708.SZ,0,0,0,0,0,0,0,0,-0.156654532549315,0,0,0,0,0,0,-0.0239078986509466,0,0,0,0,0.301902905764633,0,0,0,0,0.202217945832579,0,0,0,0,0,0,0,0.0203973122620238,-0.0349564706594434,0.196027588794289,0,0,0,0,0.32816989169701,0,0,0,0,0,0,0,0,0,0,0,0.0380276152814137,0,0,0,0.0749972369677666,0,0
