,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X601898.SH,X600011.SH,X000301.SZ,X600019.SH,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X000877.SZ,X600886.SH,X601600.SH,X600795.SH,X600547.SH,X002271.SZ,X601991.SH,X600027.SH,X600426.SH,X600803.SH,X600362.SH,X600176.SH,X000983.SZ,X601699.SH,X000408.SZ,X000723.SZ,X600096.SH,X000629.SZ,X600348.SH,X000786.SZ,X600141.SH,X600995.SH,X600160.SH,X000933.SZ,X600219.SH,X000807.SZ,X600157.SH,X300073.SZ,X002353.SZ,X002080.SZ,X600985.SH,X600549.SH,X600295.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,-0.0453471154959567,0,0,0,0,0,0,0,0,0,0,0,0,-0.0191536015685774,0,0,0,0,0,0.289008507289983,0.151802778172302,0,0,0,0,0.00761132533048913,-0.0203073702181075,0,0,0,0,0,0,0,0,0,-0.0396682623722025,0,0,0,-0.0296899862417053,0,-0.00730000242855987,0,0,0,-0.00896249931609275,0,0
X601088.SH,0,0,0,0,0.273372819290911,0.279740663588372,0,0,0,0.0854021354505727,0.0718403974480831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145320858801036,0,0,0,0,-0.0978016497894924,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107269757772876,0.160579854754851,0,0,0.0248582961921896,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0320063599576618,0,0.0513672968399938,0,0,0,0,0,0,0,0.0626714567690399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588665201569802,0,0,0,0,0.0133133748189207,-0.00661832268528269,0,0,0,0,0,0,0,0,0,0.0211742752956477,0,0,0,0,0,0.0068936342520665,0,0,0,0,-0.0219834199276324,0,0
X600309.SH,0,0,0,0,0,0.0264879498161095,0,0,0,0.0768929129978153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0914102528341598,0,0,0.084370400395553,0,0,0,0,0,0,0,0,0,0,0.0184474644826847,0,0,0,0,0,0,0,0,0.0121003360032506,0,0,0,-0.00607569691883512,0,0,0,0,0,0
X600188.SH,0,0.128545816528833,0,0,0,-0.0117121028617339,0,0,0,0.593794732955438,0,0,0,0,0,-0.0441818006513048,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166374015460328,0,0,0,0,0.0317293593980276,0.0209658775032018,-0.0142237912336723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116957917631709,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.572522008996804,0,0.264588371438478,0,0,0,0,0,0,0.0802725359392437,0,0,0,0,0,0,0,-0.0534518979558196,-0.0904494839214724,0,0,0,0,0,0,0.326954999677856,0,0,-0.140415451951226,0,0,0.00106551472424135,0,0,-0.0535499121973232,0,0,0,0,0.138593129043662,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.0106115000304525,0,0
X002460.SZ,0,0,0,0,0,0.349878633422277,0,-0.224732119539213,0,0,0,0.119350616326375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168297503114884,0,0,0,0,0,0.123315358577024,0,0.0824854522482922,0.0539191617868874,0,0.0773503197823243,0,0,0.0736522275981117,0,0,0,0.00845461376128562,0,0,0,0,0,0,0.0289010112699919,-0.0831588364431606,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.044305694671754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123416380918483,0,0,0,0,0,0,0,0,0,0.0270255443239555,0,0,0.00818651701398111,0.0531326683545962,0,0.219661977269924,0,0,0,0.0762225697611967,0,0,0,0,0.0176973299673626,0,0,0,0,0,0,0.0211914254404637,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.209437032248818,0.236491343222481,0,0,0,0.125053744048884,0,0,0,0,0,0.038384933281111,0,0,0.0228018894220223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0944366420118033,0,0,0,0,0,0.118200022860277,0,0,0,0,0,0,0.0255679628745557,-0.0809339291615691,0,0,0,0,0,0,-0.0345407328933556,0,0
X601898.SH,0,0.0163118025739664,0,0,0.0697442241388789,0,0,0,0,0,0.0344039378764684,0,0,0,0,0,0,0,0,0,0,0,-0.0350038748049335,0,0,0,0,0,0,0.398437174990258,0,0,0,0.162038505140943,0,0,0,0,0,0,0,0,0,0,0,0.183696688669619,0,0,0,0,0,0,-0.0366813180050707,0,0,0,0,0,0
