,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600010.SH,X600886.SH,X600660.SH,X601600.SH,X600362.SH,X600801.SH,X600188.SH,X600795.SH,X601991.SH,X600352.SH,X002460.SZ,X600688.SH,X000786.SZ,X600111.SH,X000723.SZ,X601992.SH,X002271.SZ,X600027.SH,X600176.SH,X002353.SZ,X002466.SZ,X600516.SH,X600583.SH,X600426.SH,X000898.SZ,X600299.SH,X600489.SH,X000709.SZ,X000883.SZ,X601158.SH,X600219.SH,X000629.SZ,X600612.SH,X000027.SZ,X000553.SZ,X000630.SZ,X600808.SH,X000825.SZ,X000792.SZ,X000878.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.137502624067244,0,0,0,0,0,0,0,0,0,0.257477184436303,-0.011782885463813,0,0,0,0.0169063070192146,0.0684546567568986,0,0,0,0,0,0.0107928573898641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00293823588441079,0.00521701344314915,0,0,0,0,0,0,-0.0212540478647168,0,0
X600028.SH,0,0,0,0,0,0,-0.00399442595943833,0,0.0374863018448779,0.0612890604489961,2.16840434497101e-19,0,0,0,0,0,0.115794056092478,0,0,0,0,0,0,0,0.0269492577098641,0,0.0222681257438653,0,0,0.0514475661723479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386490703734833,0,0,0,0,-0.0200093937909048,0.00505216918273156,0,0,0,0.0152088214678244,0,0
X601088.SH,0,0,0,0,0,0.617598912390923,-0.0531969513554974,0,0.0120669813025864,0.106253468486085,0,0.126224526091413,0,0,0,0.0209878851457036,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0846555443196126,0.00322469787706169,-0.0106231562348559,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.126130657620776,0,-0.0304484258687788,0,0,-0.0774803826432162,0,0.0169276092891463,0,0,0,0.373256630096522,0,0,0,0,0,0,0.110093027618582,0,0,0,0.0481427695339871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208609904586401,0,0,0,0,0,0,0,0,0.0180555799065176,-0.0103937475149279,0,0,0,0,0,0
X600309.SH,0,0,0,0.0210802209764577,0,0,0.0456367994270248,0,-0.0404914690010487,0,-0.0180430612236319,0.14914368183469,0,0,0,0.215180917396789,0,0,0,0,0,0,0,0,0,0,0.102769715891832,0,0.0558508987350819,0,0.0265440309052338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0926707209287607,-0.106735909662712,0,0,0,0,0,0,-0.00420328222886223,0,0
X600019.SH,0,0,0.175465050125734,0,0,0,0,0,0.0646800571419821,0,0.0984505600446774,0.0255372331092452,-0.125441219491925,0,0,0.0376507130874117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0120329708408133,0,0,0,0,0,0,0.0554022648490767,0,0,0,0,0,0,0,0,0,0,0,0.0639621658804682,0,0,0,0,0,0,0.0170003296606461,0,0
X600547.SH,0,0,0,0,0.068993736165594,0,0,0,-0.0363591674109181,0,0,0,0,0,0,0,-0.0366800193711105,0,0,0,0.0508428135036035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15400719267115,0,0,0,0,-0.0217293415425366,0,-0.070476880537202,0,0,0,0,0.227795377843861,0,0,-0.0354495301384769,0,0,0,0,-0.0276524407754575,0,0
X600011.SH,0,0,0,0,0.109862121325777,0,-0.00576794338772751,0,-0.230690107949734,0,0,0,0,0,0,0,0.248007461988645,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.147541448863742,-0.0236401722564142,1.73472347597681e-18,0,0.12999804601311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156922853809876,0,0,0,0,-5.94186036470268e-05,0,0,0,0,0.0153873158972198,0,0
X000708.SZ,0,0,0,0.408935002712956,0,0,0,0,0,0,0.529485180932384,0,0,0,0,0,0,0,0,0,-0.0286813755484028,0,0.0168003581915727,0,0,0,0,0,0,0.235892786576966,0,0,0,0,0,0.40175799604481,0.183635751916717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0697991348358136,0,-0.0846080602143011,0,0,0.044691477751672,0,0
X601898.SH,0.51036355062903,0,0,0,0,0,0,0,0.0460183427783383,0,0,0.0231543668055765,0,0,0,0,0.534611389401433,0,0,0,0,0,0,-0.0302354274073843,0,0,0,0,0,0,0.0114393494529231,0,0,-0.0669670849135658,0,0.0387976091741934,0,0,0,0,0,0,0,0,0.103024201051581,0,0,0,0,0,0,-0.0545798103649668,0.0439520979215634,0,0,0,0,0,0
