,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601898.SH,X600309.SH,X601600.SH,X600688.SH,X600188.SH,X600795.SH,X600362.SH,X601992.SH,X002466.SZ,X600660.SH,X600547.SH,X601991.SH,X300072.SZ,X600886.SH,X600111.SH,X000709.SZ,X600157.SH,X600027.SH,X000898.SZ,X000959.SZ,X600516.SH,X002460.SZ,X600339.SH,X600489.SH,X600808.SH,X000983.SZ,X600219.SH,X601158.SH,X000723.SZ,X600352.SH,X000630.SZ,X002271.SZ,X600176.SH,X000883.SZ,X002092.SZ,X600299.SH,X600549.SH,X600578.SH,X601699.SH,X000792.SZ,X000060.SZ,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.00866009499020819,0,0,0,0,0,0,0,0.177047297885787,0,0,0,0,0,0,0,-0.0466530721773288,0,0,0,0,0,0,0,0.0118993090635208,0,0,0,-0.021423240770206,0,0,0.0133664275226578,0,0,0,0,0,0,0,0,-0.0473423445545681,0,0,0,0,0,0,0,0,-0.0158874912138094,-0.00359106083580759,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.13784623052037,0,0,0,0.001885994560863,0,0,0.0408569950234357,0,0,0,0,0,-0.114851789219123,0,-0.0739234276856804,0,0,0,0,-0.018704421820884,0.0345467901948379,0,0,-0.0264348881589207,-0.0287705866356732,-0.117193198107587,0,0,0,0,-0.0260637337352863,0,0,0.0390672874704949,0.0243303975026144,0,0,0,0,0,0,0,0,0,0,0,-0.00222181719464641,-0.146499296420771,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,-0.00522188378113577,0.0230051560480945,0,0,0,0.0380632124104386,0,0,0,0.0138659007439208,-0.00623294681725384,0,0,0,0,0,0,0.0344858373655697,0,0,0,-0.00302021212636433,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00850625204957042,0,0,0,0,0,0,-0.00860511834892537,-0.0108792834800127,0,0,0,0.0277013581340667,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332521631170281,0,-0.0106398797896206,0,0.00484945366178689,0,0.398444958253641,0,0,0,0,0,0,0,0,0,0,0,0.0147946885732412,0,0,0,0,0,0,-0.0177724741854601,0.0130092317339197,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.390440518313398,0,0,-0.0391244214097853,0,0,0,-0.0071095707545508,0.220264157134406,0,-0.0590841678755129,0,0.0783934951651011,0,0,0,0,0,0.0039240472444407,0,0,0.0178302427615266,0,0.223883925244186,0,0,0,0,0.0226195430078835,0,0,0,0,0,0,0,0,0,0,0,-0.138673172214623,0,0.0120806609362366,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.196226291898086,0,0,0,0,0.0509543962784798,0,-0.00629336381336947,0,0,0.0238694750353148,0,0.0334166207053026,0.0819509531158792,0,0,0,0,0,0,0,0,0,0.0632695531475935,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647822117834842,0,0,0,-0.00605701428021872,-2.71050543121376e-20,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,-0.0762965740356491,0,0,0,0,0,0,0,0,0,0,0,0.0301406260150673,0.44142940825087,-0.0830167645065334,0,0,0.00535829818992219,0,0.201937291422909,0,0,0,0.0344856861660952,0.10646235081315,0,-0.105713175723581,0,0,0,0,0,0,0,0.160021967735093,0,0,0,0,0,0,0,0,0,0,0.0231324275861967,0,-0.00214420562990361,0,0,0.134003438646673,0,0
X601898.SH,0,0,0,0.277640922306068,0,0,0,0,0,0.0909469315103019,0,0.105841691590844,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165849095382304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00999406253834093,0,0,0,0,0.146236789963249,0.262813619729429,-0.0403427214542229,0,0,0,0.00554403209450809,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.348243774390076,0,0,0,0,0.199904567122301,0,0,0.186293663220452,0,-0.0585183818323617,0,0,0,0,0,0.0821509406452352,0,0,0,0,0,0,0,0,0,0,0.118280637772824,0,0,0,0,0,-0.0555584399480729,0,0,0,0.138317907483995,0,-0.00450275393619079,-0.0631361175661268,0,0,0,0,0,0
X601600.SH,0,0,0,0.0407136208867505,0,0.126948384716347,0,0,0,0,0,0,0,0,0.0111407952435582,0,0,0,0,0,0,0,0,0,0.274976393836426,0,0.137668394652343,0,0,0.0968571283196247,0,0.0837840357165189,0.147127145938576,0,0,0,0,0,0,0,0,0,0,0.122186565676822,0,0,0,0,0,0,-0.0114015788358376,-0.0383775608976201,0,0,0,0,0,0
X600688.SH,0,0,0,0,0.233937785013229,0,0,0,0,0,0,-0.031813721124989,-0.00874440619068424,0,-0.0151074326838524,0,0,-0.0622939771740997,0,-0.0465915902798159,0,0.0260074082325003,0,0,0,0,0,-0.0448009030259287,0,-0.0291556624345581,0,0,0,0,0,0,0,0,0.0375972882688303,0,0,0,0,0.0442189522940426,0,0,0,0,0,0,-0.0112105422216876,-0.0170834292880715,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0.0772291893661106,0,0,0,0,0,0.0202874362048285,0,0,0,0,0,0,0,0.418527311993281,0,0,0,0,0,0,-0.177257617371952,0,0,0.468854264317027,0,0,0,0,0,0,0,0,0,0,0,0.0470643674387478,0,0,0,0,0,-0.0107283144908879,-0.0135657409238991,0,0,0,0.201821790958588,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850804714153278,0,0,0,0,0.0728330017975788,0,0.0221880399634279,0,0.0320052284808286,0,-0.0474142897819755,-0.0357621094998528,0,0,0.0419103867817899,0,0,0,0,0,0,-0.0134869410672461,0,0,0,0,0,0,0,0,0.00839495544849114,0,-0.012599210254902,-0.000658857121648023,-0.0466138510914845,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0.0836811264366868,0,0.0877820770693585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115688274471598,0,0.016036668456701,0,0,0,0,0.11681836081461,0,0,0,0,0,0,0,0,0,0,0.0317708877652383,0,0,0,0,0,0,-0.0221072987311444,0,0,0,0,0,0,0
