,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X000723.SZ,X601600.SH,X601898.SH,X600352.SH,X600660.SH,X600547.SH,X601991.SH,X600688.SH,X600188.SH,X600886.SH,X600362.SH,X600795.SH,X600516.SH,X601992.SH,X600027.SH,X600111.SH,X600801.SH,X000898.SZ,X600176.SH,X002466.SZ,X600299.SH,X002460.SZ,X000709.SZ,X000786.SZ,X000629.SZ,X600219.SH,X000990.SZ,X002110.SZ,X600157.SH,X600808.SH,X000553.SZ,X601158.SH,X002271.SZ,X000825.SZ,X600489.SH,X000883.SZ,X300072.SZ,X600985.SH,X000630.SZ,X600583.SH,X600339.SH,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0370487807350973,0,0,0,0,0,0,0,0,0,0,0,0,0.0384104876726927,0,0,0,0,0.0532729014371546,0.0371681361524706,0,0,0,0,0,0,0,0,0,0,0,0.0260451532811265,0,0,0,0,0,0,0,0.0337532392580212,0.0832015295129836,0,0,0.0313122736197717,0,0,-0.00919539541254545,-0.00752037298440773,0,0,0,0,0,0
X600028.SH,0,0,0.177588302519796,0,0,0,0,0,0,0.0782036104779957,0,0.00836159167868012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136035778057272,0,0,0,0,0,0.0494571313690453,0,0,0,0,0,0,0,0.0809631999437189,0.0821751070109346,-0.0315239175216908,0.00413338665545233,-0.0184594308093837,0,0,0,0,0,0
X601088.SH,0,0,0,0.0693185771886347,0,0,0,0,0,0,0,-0.162365056083629,0,0,0,0,0,0,0,0,0,0,0,0.137587678830797,0.253360440896251,0,0,0,0,0,0,0.0326339861042025,0,0,0,0,0.0255186601697968,0,0,0,0,0,0,0,0.0662275139245964,0,0,0,0,0.0345612279607622,0,0.0145305440371959,-0.049741001685769,0,0,0,-0.0119127174364199,0,0
X600585.SH,0,0,0,0,0,0.0931761455287903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490991647384411,0,0,0,0,0,0,0,0,0,-0.0105041283007617,0.026171854355927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142305461878407,0.00283883071087039,0,0,0,0,0,0
X600019.SH,0,0,0.0406186987242461,0,0,0.079612832261658,0,-1.73472347597681e-18,0,0.169078172607855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963024957603939,0.0602466577889091,0,0,0,0,0,0,0.064643116986485,0,0,0,0.06077166827129,0.0386880341089425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000442628919161791,-0.00663405691267074,0,0,0,0.00608875743365651,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0303736203595149,0,0,0.088239382984772,0,0,0,0,0,0,0,0,0.0267157754975245,0,0,0,0.0191200739080519,0,0,0.0676497666784361,0,0,0,0.0135564543751176,0,0,0.00719562385013941,0.196229843193193,0,0,0,0,0,0,0,0,0,0,-0.0558845634739466,0,0,0.345539433214744,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0222679457773007,0,0,0,0,0,0,0,0,0,0,0.385521125185932,0,0,0.412399188026445,0,0,0,0,0,0,0,0,0.0717260965428303,0,0,-0.0421650213576855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290060604689414,0,0,0,0,0.0537612586739805,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414665480120021,0,0,0.210363953279899,0,0,0,0,0,0.0676649880882723,0,0,3.46944695195361e-18,0.303965600257677,0,0,0.143844966649351,0,0,0,0,0,0,0,0.0110489103439469,0,0,0,0,0,0,-0.00283440201209717,-0.045017285845467,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0.263738984374217,0,0,0,0,0,-0.380206855059275,0,0,0,0,0,0,0.271824653502123,0,0,0,0,0.328094241197374,0,0.101846578214563,0,0,0,0,0.0469190154997852,0,0,0,0.321416117710448,0,0,0,0,0.222183500190066,0,-0.0517773691449969,0,0,0.335969589520426,0.0910042070701325,0.063823433337984,0,0.276813124439108,0,-0.0356578045520319,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.0171836253574564,0,0,0,0,0,0,0,0,0,0.145664834357747,0,0,0,0,0.187034052975728,0,0,0,0.07087758155999,0,0,0,0,0,0.310743983134655,0,0,0,0,0,0,0,0,0,0,0.020317395799523,0,0,0,0,0.132056720474037,0,-0.0186060873398735,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.00822293693332164,0.187072775827643,0,0,0,0,0,0,0.106560614712795,0,0.132967463312701,0,0,0,0,0,0.0601501859890358,0,0,0,0,0.0102040208735334,0,0,0,0,0,0,0.0495369761638745,0,0,0,0,0,0,0,0.0137416810844328,0,0,0,0,0,0,-0.00775903906470041,0,0,0,0,-0.0271771224705738,0,0
X600352.SH,0,0,0,0,0,0,0,0,0.010535260447767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446144418582591,0,0,0,0,0,0,0,-0.174136082462921,0,-8.67361737988404e-19,0,-0.0453188092064346,0,0,0,0,0,0,0,0.153910582200834,0,0.249301588945364,0,0,0,0,-0.0563088153669478,0.150444518479983,0,0,0,-0.166931805688283,0,0
X600660.SH,0,0,0.0941239732470469,0,0,0.00825077473903017,0,0,0.0591696525437494,0,0,0,0,0,0,0,0,0,0.00468189144922092,0,-0.0361707320053849,0,0,0,0,0,0,0.0790776105081528,0,0,0,0.172240659120869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245536770395234,0,0,0,0,0.0259785371372324,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,-0.002365958248982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079733413544024,0,0,0,0,0.121335615621932,0,0,0,0,0,0,0,0.084986537857723,0,0.0958897970799797,0,0,0,0.500519613963174,0,0,-0.0469257277943715,0,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.00108878288173365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0220366600578957,0.125296951300343,0,0,0,0,0,0,0,0.0182865107756637,0.149626421971277,0,0,0,0.0578963006862741,0,0.0522353492384476,0,0,0.0494350988363653,0,0,0.112918235054312,0,0.0260281076936163,0,0,0,0,0,-0.00989589367205196,0,0,0,0,0,0
