,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600188.SH,X600027.SH,X600362.SH,X600623.SH,X600111.SH,X601992.SH,X600886.SH,X600157.SH,X002466.SZ,X600547.SH,X600299.SH,X600660.SH,X601158.SH,X000792.SZ,X000709.SZ,X600352.SH,X600309.SH,X600489.SH,X600583.SH,X000898.SZ,X000539.SZ,X000883.SZ,X300072.SZ,X000027.SZ,X000630.SZ,X000629.SZ,X000983.SZ,X000060.SZ,X000959.SZ,X000723.SZ,X002470.SZ,X600021.SH,X002075.SZ,X600176.SH,X600022.SH,X600098.SH,X000012.SZ,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.256530120045561,0,0,0,0,0,0,0,0,0,0,0,0.0236717009321497,0,0,0,0,0,0,0,0.0683548869615379,0,0.0637388465847894,0.0400477376708599,0,0,0,0,0,0.0200298195450403,0,0,0,0.0138769350965419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.117932320611521,0.0594072802622456,0,0,0,0.0471630762788596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177254424311709,0,0,0,0,0,0,0,0.0182601255328646,0,0,0,0,0,0,0,0,0.00525425542521527,0,0.0141596093185127,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0639010255845558,0,0,0,0,0,0,0,0,0.063936285074991,0,0,0,0,0,0,0,0,0,0,0,0,0.275348233025675,0,0,0,0,0,0,0,0,0.139320832280122,0.137207490057508,0,0,0.0803356679507293,0,0,-0.00981135305038215,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.100400413137238,0,0.0881534454420115,0,0,0,0,0.101609228203335,0,0.0172042309064741,0,0,0,0,0.0171142182890509,0,0,0,0,0.0133571453342747,0,4.33680868994202e-19,0,0,0.160153133829751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235954169361205,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192115600997037,0,0,0,0.000281641283237958,0,0,0,0,0,0.101216474402384,0,0,0,0,0.102407691942711,0,0,0,0,0.194405965874287,0.0604082047209903,0,0.0828380462979229,0,0.0881853369133896,0,0.0489779044770287,0.00185142379463081,0.00685674200589739,0,0,0.0346322500154963,0,0,0.0293615439157775,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0684472232276692,0,0.348069293922003,0,0,0,-0.0193131238911669,0,0,0,0,0.0432809785644437,0,0.0114011471262654,0,0,0,0,0,0,0,0.0480947143426441,0,0,0,0.274264131774076,0,0,0.0163855293362626,0,0,0,0,0,0.0623015994031408,0,0,0,0,0,0,0,0.0471713745219698,0,0,0.0379982318838742,0.0996344139321226,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0305641794583918,0,0,0,0.00733962443991159,0,0,0,0,0,0,0,0.12877254358339,0,0,0,0,0,0,0,0,0,0.0910340418082466,0,0,0,0,0,0,0,0,0,0.146261952737576,0,0,0.105874028684984,0,0,0,0,0,0.173455120712255,0,0,0,0,-0.030359856877637,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0522998303205564,0,0,0,0,0,0,0,0,0,0,0,0.39077528556725,0,0,0,0,0.0851764119967675,0,0,0,0,0,0,0,0.171113836492979,0,0.116255493076121,0,0,0,0,-0.0276877992712317,0,0,0,0.0911217401400244,0,0,-0.0195672841494564,0.0208188495599075,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197241955531544,0,0,0,0,0,0,0.147190884513731,0,0,0.0429025246045486,0,0.0274684657157642,0,0,0.0661423086678846,0.15690587903373,0,0,0,0,0,0,0.0713057325264611,0,0,0.0444701302137081,0,0,0,0,0,0.153279323123626,0.121953563547867,0,0,0.00352351516194032,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.192895541589188,0,0,-0.0439387025702729,0,0,0,0,0,0,0.181456975715264,0,0,0,0,0,0,0,0,0,0,0.215581240981576,0,0.0582526616361627,0,0,0,0.0899430646019608,0.00536919748401589,0.100695458925634,0,0,0,0,0,0,0,0.000367514763220535,0,0,0,0.28361912719297,0.0462244681632927,0,0,0,0
