,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X601898.SH,X600019.SH,X600795.SH,X601600.SH,X600585.SH,X601991.SH,X600157.SH,X600688.SH,X600886.SH,X600027.SH,X600362.SH,X600188.SH,X600111.SH,X000709.SZ,X600583.SH,X000027.SZ,X000883.SZ,X000539.SZ,X601158.SH,X601992.SH,X000898.SZ,X600309.SH,X000629.SZ,X600021.SH,X600352.SH,X002075.SZ,X000060.SZ,X600307.SH,X000792.SZ,X600808.SH,X600489.SH,X600863.SH,X000825.SZ,X600098.SH,X600547.SH,X600008.SH,X002353.SZ,X600022.SH,X600578.SH,X601918.SH,X002470.SZ,X600660.SH,X000878.SZ,X600623.SH,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.607381810263046,0,0,0.00566310754733772,0,0,0,0,0,0,0.0143216377368666,0,0,0,0,0.0132176461782676,0,0,0,0.0461596109336664,0,0,0,0,0,0.0634100382795593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417980541520369,0,0,0.00617612741501191,0,0,0,0,0,0,0
X600028.SH,0.506213002540308,0,0,0,0.0369462035111931,0.0515657443412051,0,0,0.0166638886537864,0,0,0.0127921981797419,0,0,0,0,0,0,0,0.0513311858969716,0,0,0,0,0.0455606668764717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181063692001134,0,0,0,0.0994446626595463,0,0,0,0,0,0,-0.00379725770798543,0.0049259777246892,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.203033333450043,0,0,0,0.0582312485867946,0,0.0516416866404993,0,0.0427818532168379,0,0,0.0141782277172815,0,0,0.000778705003748922,0,0,0,0,0,0.0563469542644014,0,0,-3.46944695195361e-18,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398317519284628,0,0,0,0,0.147232512233988,0,-0.0202043922730937,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.117584801675805,0,0,0.00801198409566242,0.0391732047011807,0,6.93889390390723e-18,0,0,0,0.303445891817061,0,0.120526515033517,0,0,0,0,0,0,0,0,0,0,0.0249085475868452,0,0,0.0390875119103591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010643659172867,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.103884388190025,0,5.42101086242752e-20,0.0571135950821668,0,0,0,0,0,0,0,0,0.0305200422022249,0,-3.46944695195361e-18,0,0,0,0.0869144901337808,0,0,0,0,0,0,0,0,0.209407467402643,0,0,0,0,0,0.209639061584845,0,0,0,0,0,0,0,-0.00803700520614416,0.000428297591373805,0,0,0,0,0,0
X601898.SH,0,0,0.18201868982921,0,0,0,0,0,0.123366487020169,0,0.107031785884983,0,0.0647599954193322,0,0,0,0.034522254441819,0,0,0,0,0,0,0,0,0.06795440597545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118149170903061,0,0,0,0,0,0,0,0.0117323277096471,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.047827439573489,0,0,0,0,0,0,0,0,0,0,0,0,0.193438816438096,0,0,0,0,0,0,0.171538428122777,0,0,0.0650352283011398,0,0,0.125362656785504,0,0,0,0,0,0,0,0,0,0,0.0832962504997229,0,0.0822508995872128,0,0,0,0,0,0,0,0.00362756655641793,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.0580921816611247,0,0.118565211210971,0.0641892861613451,0,0,0.0775150968018587,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0.148945431258577,0,0,0,0,0,0,0,0.382460996636423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00339672857503505,0.00821373905937271,0,0,0,0,0,0
X601600.SH,0,0.0955448532263752,0,0,0,0,0,0,0,0,0.157444940247379,0.0312029504259212,0.0126140289619246,0,0,0,0,0.108755167726686,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209769506665223,0,0,0.184331123331027,0,0,0,0,0,0,0,0,0,0,-0.11555024253636,0,0,0,0,0,0,0.0215196101848743,0,0,0,0,0,0
X600585.SH,0,0,0.0977083315348218,0,0,0,0,0,0,0,0.0049667023141914,0,0,0.265624000359556,0,0,0,0,0,0,0,0.0476337758015241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516362588506568,0,0,0,-0.00011298875989811,0.204390590448368,0,-0.030344123195601,-0.029874623377263,0,0,0,0,0,0
X601991.SH,0,0,0,0,0.342633709920995,0.190092643630908,0,0.021072273049417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005578849731775,0.0929399558172277,0,0,0,0,0,0,0,0.0706235113108728,0,0.175966769263283,0,0,0,0,0.0543795554563522,0.0284314835281628,0,0,0,0,0,0,-0.00117334935878291,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344684650219266,0,0,0,0,0.161724098989336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242842050239085,0,0,0,0,0,0
