,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600547.SH,X600585.SH,X600886.SH,X600660.SH,X600011.SH,X601600.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X000708.SZ,X600111.SH,X600027.SH,X600803.SH,X002460.SZ,X601991.SH,X000301.SZ,X600160.SH,X600426.SH,X000983.SZ,X002466.SZ,X601699.SH,X000786.SZ,X600176.SH,X600219.SH,X000807.SZ,X002128.SZ,X600985.SH,X000630.SZ,X000877.SZ,X000933.SZ,X600096.SH,X601168.SH,X000408.SZ,X000883.SZ,X600378.SH,X000027.SZ,X002353.SZ,X000932.SZ,X600995.SH,X002271.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.706886190762838,0,0,0,0.0730184687047833,0,0,0,0.0830505628073068,0,0,0.110555414171522,0,0,0.132256144993847,0.0681507775356645,0,0,0,0,0,-0.0947248821567496,0.0361567846838316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205139780189897,0,0,0,0.00233756273350603,0,0,-0.0278071964292528,0,0,0,0,0,0,0,-0.0649139153949284,0,0
X600028.SH,0.429293118261049,0,0.132126134147235,0.00880127988365385,0.0440704460649034,0,0.0467843618693183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333986618447027,0,0,0,0.0464391685306989,0,0,0,0,0,0,0,0,0.0315376822192969,0,0,0,0,0,0,0
X601088.SH,0,0.315484739645124,0,0,0,0.131708509864575,0,0,0.0566997255662432,0,0,0,0.237461278208381,0,0,0,0,0,0,0,-0.00633240224510752,0,-0.00689822244492128,0,0,0,-0.0528286635789671,0,0,0,0,0,-0.109798984855134,0,0,0,0,0,-1.38777878078145e-17,-4.33680868994202e-19,0,-0.0166214821670327,1.35525271560688e-20,0,0,0,0,0,-0.0529159682881752,0,0,0,0.0457945453006245,0,0,0,0,0,0
X600309.SH,8.67361737988404e-19,0,0,0,0,-0.0647706210685593,0,0,0.00513634145408075,0,0.0126077451706497,0,0,0,0,0,0,0,0,0,0,0,0.205240104000425,0,0,0,0.0248489315719011,0,0,0,0.104444398980126,0,0,0,0.327223524919497,-0.068098373586159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291490596017253,-0.120410573979816,0,0,0,-0.0186652997622901,0,0
X601898.SH,0.0721988285060693,0.217860513759102,0,0,0,0.193486045544278,0,0,0,0.0119881130772658,0,0.0719773484140647,0.16063190326215,0,0,0,0,0,0,0,0.0631130570723206,0,0,0,0,0,0,0,0,0.194186104036132,0,0,0,0,0,0,0,0,0,0,0,0,0.0167727727192953,0,0,0,0,0,0,0,0,0.046887328661676,0,0,0,0,-0.00596168254106947,0,0
X600188.SH,0,0,0.173921598525097,0,0,0,0,0,0,0,0,0,0.00679268717670612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656046534570485,0,0,0,0,0,0.332781203756035,0,0,0,-0.0298887361124507,0,0,0,0,0,-0.0552752831626063,0,0,-0.152599159145854,0,0,0,0,0,0,0,0.0278031729768896,0,0
X600019.SH,0,0.0544825493488331,0,0,0.193792322594087,0,0,0,0,0,0,0.203622072677848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456341470345046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062094508922674,0,0,-0.293319432527674,0,-0.0492088296073699,0.113273057950675,0,0.22188358859897,0,0,0.14325866200291,-0.0191014839023289,-0.0335494900517436,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107300159064739,0,0,0.612841367566169,0.249692328908088,0,0,0,0,0,0,0,0,0.0598623802399904,0,0,0,0,0,0,0,0,0,0,0,-0.0353740884600702,0,0,0,0,0,0,0,0,0,0,-0.0112197214141934,-0.248293191682586,0.201406084425327,-0.00625619040141828,0,0,0,0,0.0321445267045598,0,0
X600585.SH,0,0,0,0.115065543209367,0,0,0,0,0,0,0,0,0,0,0.229905665351112,0.0651454520347621,0,0,0,0,-0.0190881205034481,0,0,0,0,0,0,0,0.083413085743197,0,0.0296213918153451,0.0918833786572229,0,0,0,0,0,0,0,0,0,0,0.0319875442343266,-0.096051950223881,0,0,0,0,0,0,0,0,-0.00265475361860243,0,0,0,0,0,0
X600886.SH,0.238917262514579,0,0,0,0,0,0,0,0,0,0,0,-0.0343753101799404,0.107894807056195,0,0.0549604352585348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.310814570059421,0,0.189943217471595,0,0,0,0,0,0,0,-0.202277503412256,0,0,0,0,0,0,0,0,-0.157388036647872,0,0,0.109641257790433,0,0,-0.00194654302818966,0,0
