,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X600886.SH,X600660.SH,X601991.SH,X600688.SH,X600362.SH,X600188.SH,X600795.SH,X600352.SH,X000723.SZ,X600111.SH,X600801.SH,X600027.SH,X601992.SH,X002271.SZ,X000898.SZ,X600489.SH,X600176.SH,X600516.SH,X000786.SZ,X600299.SH,X000709.SZ,X000629.SZ,X002460.SZ,X000883.SZ,X002466.SZ,X601158.SH,X600219.SH,X002353.SZ,X600426.SH,X601699.SH,X000553.SZ,X000630.SZ,X600985.SH,X600583.SH,X600612.SH,X000027.SZ,X600021.SH,X000825.SZ,X000401.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212962582376809,-0.00788873953579032,0,0,0,0,-0.0386504988946413,0,0.0297685590505923,0,0,0.0356164033306828,0,0,0.0353975240174579,0.0243217238338873,0,0.0458043529618015,0,0,0,0,0,0,0,0.0744667920782865,0.0945689767697902,0,0,0,0,0,0,-0.00305033654158477,0,0,0,0,-0.00170312569012159,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197596201883906,0,0,0,0,0,0,0,0,0,0,0.0178853680656122,0.0641316400105995,0,0,0,0,0,0,0,0.0690675325477631,0.0199081196792502,0.0170288123984522,0.0907208941455768,0,0,0,0,0,0,0,0,0,-0.0305556922970313,-0.00181726926553113,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137239449634263,0,0,0,0.0403590609831453,0,0.0677300441716321,0,0,0,0,0,0,0,0,0,0,0.10054053577817,0,0,0,0,0,-0.0626874086483326,0,0.0882606501590882,0.0210987748657247,0,0,0,0,0,0,0,0,0,-0.00459199739186551,-0.0165476125533625,0,0,0,0.0076746144614213,0,0
X600585.SH,0,0,0,0,0,0,0,0.0178575108889597,0,0,0,0,0,0,0,0,0,0,0,0.0421623355044473,0,0.394485297195506,0,0,0.31513279933993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190108150268417,0,-0.0020968269572979,0,0,0,0,0.0222633799787366,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118465410020504,0.0126279335402987,0,0,0,0,0,0,0,0,0,0,0.00981796632538232,0,0,0.0970685112706381,0,0,0,0,0,0.0429615699923501,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419293376543618,0,0,0,0.0228181223899161,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240987296019843,0,0.0737468076669091,0,0,0,0,0,0.00788295035273795,0,0,0,0,0,-0.0141521867617685,0,0,0,0,0,0,0,0,0.137497421854692,0,0,0,0.070181102038389,0,0,0,0,0,-0.0276215223070742,0,0,0,0,0.18005615069273,0,0
X600011.SH,0,0,0,0,0,0.0841096329640071,0,0,0.183692885694142,0,0,0.336082980381282,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.192376990245793,0,0,0,0,0,0.171217515944184,0,0.128567286803028,0,0,0,0,0,0.0262927692462449,0,0,-0.171353780871487,0,0,0,0,0,0,0,0,0,-0.000640432513077298,-0.0176041553937961,0,0,0,0.0595265650550847,0,0
X600547.SH,0,0,0,0,0,0,0,0,0.0320631270219765,0,0,0,0,0,0,0,0,0,0,0,0,-0.223075438861416,0,0,0,0,0.664367072495311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217111171401676,0,0,0,-0.00130393533795018,0,-0.0667681281352117,-0.017195125873972,0,0,0,-0.11715818832896,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.238964857251691,0,0,0,0,0,0.143793919018345,0,0,0,0.0576813326870006,0.00982630929956703,0.112187348016075,0,0,0,0,0,0,0,0,0,0,0,0.00670873844670199,0,0,0,0,0,0,0,0,0,0.0745239736467334,0,0,0,0,0,0,0,0,-0.0736099810955064,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.16888167336298,0,0,0,0,0,0,0.16111088526867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994151396380945,0,0.051070836453154,0,0,0,0.267509225611209,0,0,0,0,0,0,0,0,0,0,0,0,-0.0203549948066397,0,0,0,0.0201590849872918,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524664108669482,0,0,0,0,0,0.0835438015514658,0,0,0,0,0,0,-1.38777878078145e-17,0,0.0790242979292529,0,0.163460143016511,0,0,0,0,0,0.0766412961789519,0,0,0,0,0,0.0921352688768026,0,0,0,0,0,0,0.00407483406962634,0,0,0,0,0,0,0
X600886.SH,0,0,0,0.0854513824688735,0,0.0318479815210229,0,0.0420872127022965,0,0,0,0,0.00555116250577383,0,0,0,0,0,0.0554334955189575,0.0625560965645374,0,0,0,0,0,0,0,0,-0.126731977879551,0.276975981500232,0,0,0,0,0,0,0,0,0,0,0,0.0985034041620985,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.00549855733583333,-0.00531720556219237,0,0,0,0.0525485330163733,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312490421411958,0,0,0.141434419271603,0,0,0.0741950006025616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0727881218863589,-6.93889390390723e-18,0.059755237052013,0.0420098789574289,0,0,0,0,0,0,0,0,0,0.00367016749938233,-0.0306196935080732,0,0,0,0.0180282546225595,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338297147389603,0,0,0,0.0419027478237727,0.000899954287998196,0.141282651448769,0.0995484740677148,0,0,0,0,0,0,0,0.0272623102359251,0,0.0139791377831228,0,0,0,0,0,0.0894303050719037,0.0748199749303196,0,0,0,0,0,0,0,0,0,0,0,0.00325208152434424,-0.0080950864067403,0,0,0,0.00752036638673124,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637470922414165,0,0,0,0,0,0,0,0,0.00880102022856914,0,0,0,0,0,0,0,0,0.00519615933557774,0.225041354669078,0,0,0,0,0,0,0.0197266745031147,0,0,0,0.0207128719750031,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.365127881388086,0,0,0,0,0,0,0,0,0,0,0.0154479493770286,0.0576300399704818,0.0367209665405363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221834479153016,0,0,0.145338137559883,0,0,0.15449123379089,0,0,0,0,0,-0.0239328966525514,0.0249300399177688,0,0,0,0,0,0
