,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600010.SH,X600585.SH,X601600.SH,X600011.SH,X600309.SH,X601898.SH,X600688.SH,X601992.SH,X600111.SH,X600795.SH,X600362.SH,X600188.SH,X600547.SH,X002466.SZ,X601991.SH,X600660.SH,X300072.SZ,X000898.SZ,X600516.SH,X600886.SH,X000709.SZ,X600157.SH,X002460.SZ,X600027.SH,X000959.SZ,X600808.SH,X600489.SH,X600219.SH,X600339.SH,X600549.SH,X000983.SZ,X002092.SZ,X600352.SH,X000807.SZ,X000630.SZ,X601158.SH,X000553.SZ,X601699.SH,X000883.SZ,X000825.SZ,X000792.SZ,X002271.SZ,X000723.SZ,X600176.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0114808213469162,-0.0258738796457786,0,0,-0.0209567565634731,-0.0188109327271172,0,0,0.0183883212137047,0,0,0,0,0,0,0,0,0,0,0,-0.0603764221874014,0,0.00680542621648356,-0.0337477999881692,0,0.0373424286835455,0,0,-0.00518217415937507,0,0,0,0,0,-0.0963891012911543,0,0,0,-0.00783332301517179,-0.00501540301584188,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.195609864378449,0,0,0,0,0,-0.00843701647702813,0,0,0,0,-0.0123926626851507,0,0,0,0,0,-0.0557300120149348,0,0,0,0,-0.288804912258453,0,0,0,0,-0.0366313669365196,0,0,0,0,0,0,0,-0.00784376439469984,0,0,0,0,0.0461042354588218,0,0,-0.00151162684865753,0,0.00474311379713725,0,-0.122908682693291,0,0,0,0,0
X601088.SH,0,0,0,0,-0.0184514539459607,0,0,0.0138065682285283,0,0,0,0,0,0,0,0,0.0157372154373709,0,0,0,0.0308139999452511,0,0,0,0,0,0,0,0,0,0,0,-0.0085692736667751,0,-0.00917298700164622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00437145920710221,0.0085305726368251,0,0,0,0.126669848480988,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.20277949911296,0,0.0148712725508301,0,0,0.0824775033848026,0,0,0,0,0.0661176005548092,0,0.205951324396813,-0.0278813020496644,0,0,0,0,0,0,0.266515636058798,0,0,0.0256209928874755,0.0605106239661311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119962745655169,0.0309643962456192,0,0,0,0,0,0
X600010.SH,0,0,0,0.0695572830425701,0,0,0,0,0,0,0,0,0.0374815196405843,0,0,0.0149589384879915,0,0,0,0,0.0266565375415644,0,0.0854517337093865,0,0.0989984655189336,0,0.0157753206373184,0,0,0.166834787998504,0,0,0,0,0.0712414248753506,0,0,0,0,0,-0.101697187964993,0.0138737407562622,0,0,0,0,0,0,0,0,-0.00387960364022811,0.0191660857818101,0,0,0,-0.0931757568257708,0,0
X600585.SH,0,0,0,0,0,0,-0.0717014431827113,0,0.268881997296734,0,0,0,0,0,0.204572602952984,0,0,0,0,0.213093170258325,0,0,-0.0252283643538372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158564013787696,0,0,0,-0.0101277635872299,0.196057990281651,0,0,0,0,-0.00165405925746318,0.00918155677264363,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249382918977801,0,0,0,0.155142628755294,0.141988838991257,0,0,0,0,0,0,0,0,0.0439053277928539,0,0,0,0,0,0,-0.02316623906202,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105517864803613,0,0.425158517120394,0.106389149468429,0,0,-0.00805881355708102,0,0,0,0.0241865651407645,0,-0.0728557829907364,-0.018794080415468,0,0,0.0716120444227586,0,0,0.0478209726011829,0.109856544397216,0,0,0,0.0734935108591777,0,0,-0.0993770083824923,0,0,0,0,0,0,0.032377767287031,-0.030058383951818,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470040995596155,-0.0465796461225015,0.0886558020711547,0,0.222131143031106,0.108578273138804,0,0.0867350999235862,0,0,0,0.0618502508237155,0,-0.109787785607038,0,0,0,0,0,0,0.173411378762899,0,0.120313421581903,0,0,0,0,0,0,0,0.0410316840536758,0,0,0,0,-0.00157200724247751,0.0139219422357644,0,0,0,0,0,0
X601898.SH,0,0,0,0.173848576591662,0,0,0.17201621238589,0,0,0,0,0,0.0320002017125689,0,0,0,0,0,0,0,0,0.162548870154236,0,0,0.0306012153536516,0,0,0,0,0.0349488884723926,0,0,0,0,0.0981307868752151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00407278149388574,0,0,0,0,0,0,0
