,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X600547.SH,X600886.SH,X601600.SH,X000792.SZ,X600795.SH,X601699.SH,X002466.SZ,X000708.SZ,X002460.SZ,X600362.SH,X600010.SH,X600111.SH,X000301.SZ,X000983.SZ,X600027.SH,X600803.SH,X000877.SZ,X600426.SH,X600489.SH,X600160.SH,X601991.SH,X600985.SH,X000408.SZ,X000786.SZ,X000630.SZ,X000933.SZ,X000807.SZ,X601168.SH,X002271.SZ,X600612.SH,X000932.SZ,X600176.SH,X002128.SZ,X600348.SH,X600219.SH,X600096.SH,X601666.SH,X000831.SZ,X002353.SZ,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.31484283788253,0,0.0226996110247798,0.162989249699833,0,0,0.000527394910288751,0,0,0,0,0.0451791166737063,0,0,0.0915452160692198,-0.0105084153749727,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437157913310316,0,0.0372548669962488,0.042872190564236,0.184571947921373,0,0,0,0
X601088.SH,0.00213639901922794,0,0,0,0.18741881989334,0.171328944841159,0,0.0478537868784471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952726620747074,0,0,0,0,0,-0.0228822969412529,0,0,0,0,0,0,0,0.0222115238903534,0,0,0,-0.126167742885151,0,0.0481742378339912,0,0,0.10394603625095,0,0,0,0,-0.012693954440217,0.0161080472466134,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,-0.200802958147961,0.147690766251509,0,0,0,0,0,-0.0834741802403974,0,0,0,0,0,0,0,0.110640261310203,-0.0631998654475238,0,0,0,0,0,0,0,0,0,0,0,0.0278618873702277,-0.00404997356950716,0,0.181339692550015,-0.00131058551911678,0,0,0,0,0,0,0,0,0,0,0.00773621295156254,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584787664744895,0,0,0.153055917751373,0,0,0,0,0.104590172913523,0,0.308913553561576,0,0,0,0.0570963535532311,0,0,0,0,0,-0.0667750792284013,0,0,0,0,0,0,0,0.0385565334789849,0.0447714899784028,0,0,-0.00322241952875283,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.211602741880005,0,0,0,0,0,0,0,0,0,0.0106913115822791,0,0,-0.0551965342324124,0,0,0,0,0.199804643308434,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0183622574548118,0,0,0,0,0.091442845299213,0.237071439559136,0,0,0,0,0.00719122059548021,0,0,0.00533674591325086,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.157915942788744,0,0,0,0,0,0,0,0,0,0,0.259478283791373,0,0,0,0,0,0,0,0.305772741120929,0.393795971091909,0,0,0,0,0,0,0,0,0.0334487231184245,0,0.00786011420753591,0,0.0338595245945948,0,0,0,0,0,0.00947627578105434,0,-0.0385429454298109,0,0,0,0,0,-0.00927467582618138,-0.00733672431646043,0.0571843600761227,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0175928122455018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16080705263464,0,0,-3.46944695195361e-18,0,0,0,-0.0437574472989207,0,0.131846226698722,-0.106381599888255,-0.0241029068292897,0.0908186116203211,0,0,0,0,0,0,0,0,-0.0196328132794187,0,0.0101117433937497,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.256825018069506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275627419099485,0,0,0,0,0,0.160561708296824,0,0,0,0,0,0,0,0,0,0,0,0,0.0103785099899376,0,0,0,0.0242665825503678,0,0,0,0.0133924859874394,-0.00976683023253822,0,0,0,0,0,0
X600585.SH,0,0,0,0.194479158361328,0,0,0,0,0,0,0,0,0.143508048370129,0,0,-0.0146658937287203,0,0,0,0,0,0,0.0455921078037886,0,0,0,0,0,0,0,0,0,0,0,0.119914077062969,0,0,0,0.0179872604489314,-0.00936451523325809,0,0,0,0,0,0,0,0,0,0,0,0,0.00418525630550574,-0.0663813385170504,0,0,0,0,0
X600660.SH,0.173748129215848,0,0,0,0,-0.0765316339248712,0,0,0,0,0.0567589351937144,0.129442143490011,0,0,0,-0.00932117171718479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113257293811531,-0.0842220753746686,0,-0.0369577002456949,0,0,0,0,0,0,0,0.0363006880693295,0,0.137283392698454,0,0,0.0357894262883326,0.098866985266439,0,0,0,0,0
