,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600585.SH,X002460.SZ,X600019.SH,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X601600.SH,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X002271.SZ,X600795.SH,X600027.SH,X600362.SH,X600426.SH,X601991.SH,X000983.SZ,X600803.SH,X600176.SH,X600489.SH,X601699.SH,X000807.SZ,X000786.SZ,X300037.SZ,X000539.SZ,X600160.SH,X000408.SZ,X600995.SH,X600219.SH,X000932.SZ,X002409.SZ,X002080.SZ,X000629.SZ,X600612.SH,X600688.SH,X600378.SH,X600157.SH,X600096.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.575380562753951,0,0,0.264141851772766,0,0,0,0,0.0328356664892864,0,0,0,0,0,0,-0.0614282182596262,0,0,0,0,0,0,0.118983920571656,0,-0.0994318255920917,0.0688418371616482,0,0,0,0,0,0.309362724022825,0,0,0,0,0,0,0,-0.249282450948866,0,0,0,0.149783095940781,0,0,0,0,0,0,0.0233708808980767,0,0,0,0,0,0,0
X600028.SH,0.683968236854623,0,0,0,-0.0570521956686201,0.00149736766530424,0,0,0,-0.0558327182849148,0.0428279614636349,0.0605872437498648,0,0,0,0,0,0,0,0,0,-0.0333312505193434,0,0.0172576005949346,0,0,0.0838744175994879,0,0,0,0,0,0,0,0,0.00154386455119473,-0.0434543407058358,0,0,0,0,0,0,0,-0.0106972790624873,0,0,0,0,0,0,0.0177986274767186,0,0,0,0,0,0,0
X601088.SH,0,0.216398653239053,0,0,-0.0407992755554858,0,0,0,0,0,0.398870550298767,0,0,0.198833914141654,0,0,0,0,0,-0.0660232992468238,0,0,0,0,0,0,0.0960415129991749,0,0,0,0,0,0,0.181131762904203,0,0,0,0,0,0,0,-0.00789617229155518,0,0,0,0,0,0,0,0,0,0,-0.00983562511158402,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.240158950146223,0,0,0,0,0,-0.0123792790316823,0,0,0,0,0,0,0.0298055060449434,0,0,0,0,0,0,0.120348252172479,0,0,0.0296842020172855,0.141401465591239,0,0,0.0272786381205643,0,0,0,0.019733899581612,0,0,0,0,0,0.00457014955112098,0,0,0,0,0,0,0,0,0.00455870218974813,-0.00889693486893141,0.0293532876651482,0,0,0,0,0
X600188.SH,0.01182826418404,0,0.0268462092058065,0,0,0,0,0,0.144286134440549,0,0.438178257705388,0,0,0,0,0,0,0,0.0704737126603403,0,0,0,0,0,0,0,0,0,0,0,-0.096247145826473,0.186679973918483,0.216266093762219,0,0.0731435274927712,-0.0797802155570679,0.074773301407169,0,0.00354060151163217,0,0,0,0,0,0,0,0,0,0,0,0,-0.0579571129858432,-0.0217945371464256,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.216052353063727,0,0,-0.113355805721941,0,8.67361737988404e-19,0,0.0850283912370026,0,0,0.116260949075821,0,0,0,0,0,0,0,0.549452537364851,0.107166347733232,0,0,0.244234193157881,0,0,0,0,0,0,-0.223972162160751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.166629634986955,-0.078504495996706,0,0,0,0.179579125122513,0.0338060024519813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027442692431891,0.0645701234813363,0,-0.0958616905716577,0.0323387991170908,0,0,0,0,0,0.192238229129262,0,0,0,0,0,0,0,-0.0420152043527906,0,0,0,0,0,0,0
X002460.SZ,-0.00687921580366057,0,0,0,0,0,0,0,0,0.521597451172917,0,-0.0402499373402597,0,0,0,0,0,0,0,0,0.227427937378479,0,0,0,0,0,0,0,0,0,-0.0560061384512982,0,0,0,0,0.0262653731343609,0,0,0,0,0,0,0,0.0581566959446442,-0.00733337054327519,0,0,0,0,0,0.15856281769849,0.0171561535313532,0,0,0,0,0,0,0
X600019.SH,0,0.0595842414813354,0,0,0.17460549450325,0,0,0,0,0,0,0.037390242752033,0,0.177172097615557,0,0,0,0,0,0,0,0,0,-0.0153734972668909,0,0.012538314294841,0,0,0,0,0,0,0,0,-0.0603825846581775,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.061606364722361,0,0,0,-0.0955016850677117,0,0.0398903795982985,0.00813860984739622,0.0957435937612287,0,0,0,0,0,0
X002466.SZ,0,-0.0346930792325775,0,0,0,0,0,0.292736467170296,0,0,0.190034012646161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30631359881456,0,0,0,0,0.0532049991951652,0,0,0,0,0.0965582055982732,0.0638582440525049,0.132106234105644,0,0,0,0,0.189373885134976,0,0,0.0363917639185362,0,0,0,0,0,0,0
