,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X600886.SH,X601600.SH,X601898.SH,X600660.SH,X601991.SH,X600362.SH,X600795.SH,X600352.SH,X600688.SH,X600188.SH,X600111.SH,X600027.SH,X600801.SH,X000723.SZ,X600489.SH,X601992.SH,X002271.SZ,X000898.SZ,X600176.SH,X000786.SZ,X600516.SH,X600299.SH,X000709.SZ,X600612.SH,X002466.SZ,X601158.SH,X002460.SZ,X000629.SZ,X000883.SZ,X600426.SH,X002353.SZ,X600219.SH,X600583.SH,X000630.SZ,X600021.SH,X600985.SH,X000027.SZ,X600315.SH,X000553.SZ,X600578.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895019516753505,0.120276893787293,0,-0.0071471559908598,0,0,0,0,0,0,0,0,0,0,0.0410679410701019,0,0,0.0425149375322631,0,0,0.0599562816093028,0,0,0.0220678790619886,0,0.0148525566019523,0,0,0,0,0,0,0,0,0,-0.00748910159237135,0.0170776859526804,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,-0.0344954339554902,-0.0176599620850347,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0.174629231101766,0,0,-0.0111060657283532,0.0132190620892927,0,0,0,0,0,0.0122057775873847,0,0.122030121808244,0,0,0,0,0,0,0,0.0205515908935509,0.0850794288077361,0,0,0,0,0,0,0,0.0355519573145892,0,0,0,-0.0232939958961179,0.0113306781356811,0,0,0,0,0,0
X601088.SH,0,0,0,0.0203045781175407,0,0,0,0,0,0,0,0,0,0,0,0,0.0107710865002808,0,0.255499769064162,-0.103771865278616,0,0,0,0,0.147268036491095,0,0,0,0,0,0.0177108657357639,0,0,0,0,0,0.0904867542940912,0.16725926459769,0,-0.134548346256017,0,0,0,0,0,0,0,0.0528564105540099,0,0,0,-0.00148360477455413,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291424847209856,0,0,0,0,0.429956614285472,0.0115940464747253,-0.00333948465430046,0,0.295603468756648,0,0,0,0,0,0,-0.0138858066345898,0,0,0,0.00109596823049388,0,0,-0.00518183438072439,0,0,0,0,0,0,0,0,0,-0.0311498836624214,0,-0.00585263255997874,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.376854202632688,0,0,0,0,0,0,0,0,0,0,0,0,0.167743194339911,1.0842021724855e-19,0,0,0,0.0539241578351394,0,0.114405953259524,0,0,0,0,0,0,0,0,0,0,-0.0819825316325066,0,-0.010090199904651,0,0,0,0,0,0.192463163374255,0,0,0,0.00373489558474787,0.0188234877842942,0,0,0,0.0328662605519962,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0244295341446338,0,0,0,0.000790387288999576,0,0,0,0.109638457196128,0.033893738589628,0,0,0,0,0.0149676204831859,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0.0645864599009599,0,0,0,0,0,0,0,0,0,0,0.0580429453117198,0,0,0,-0.0207397491989832,0.0104714326996846,0,0,0,0.133438490791538,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.312995838119425,0,0,0,0,0,0,0,0,-0.0776225788891656,0,0.735678669800328,0,0,0,0,0,0,0,0,0,-0.0659362540195263,0,0,0,0.0574492410085906,0,0,0,0,0,-0.11373179585579,0,0,-0.18610957934047,0.136432201261452,0,-0.0510820538833955,0,-0.0518081357107208,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.285504990775694,0,0,0,0,0,0,-0.0102271139631707,0,0,-0.0145034267132436,0.470599030963442,0,0,0,0,0,0,0,0.0265861467560307,-0.0535048168959017,-0.0273638075614868,0,0,0,0,0,0,0,-0.132693141855396,0,0,0,0,0,0,0,0,0,0,0,0,-0.0146613879730958,0.00785513133231087,0,0,0,0.0681660234265526,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,-0.0242600959856743,0.401385101172343,0.0664227443362428,0,0,0,0,0,0,0,0.0448439221871353,0,-0.0186514998693543,0.0501136152829674,0,0.16607132599306,-0.00302950295795261,0,0,0,0.0360431647808009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066549992282865,0,0,0,0,0,0,0,-0.0315405675686689,0,0,0,0.132272269006315,0,0
X600886.SH,0,0,0,0.080675887447369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702370112491329,0,0,0,0,0,0.16982174323845,-0.212916082059665,0,0,0.0855517211815603,0,0,0.385189056612106,0,0,0,0,0,0,0,0,0,0,0.111311657183021,0,0,0,0,0.0171602248535557,-0.00417652430393585,0,0,0,-0.0319726805150711,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.209847672176241,0,0,0,0,0,0.102519528664264,0,0,0,0,0,0,0,0.0120545418349761,0,0,0,0,0,0,0,0.0793394224139865,0,0,0,0,0.107488711368624,0,0,0.219885044516338,0.00793809130331153,0,0,0,0,0,0,0,0,0,0,0,-0.00459987045309085,-0.019481186559606,0,0,0,0.119783819013849,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0577693298892257,0,0.0247928765348432,0,0,0,0,0.0744245917401448,0.00589601539320635,0,0,0,0,0,0.248470251704628,0,0,0.0161970470379671,0,0,0.0519606743479911,0,0.0342068604458773,0,0,0,0,0,0,0.0304246624674114,0.0147588884057033,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.0343760016313412,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.00688518236252313,0,0,-0.0477611643449121,0,0,0,0,0,0.0339197173893002,0,0,0,0,0.0193030906591808,0,0,0,0,0.0609312392487181,0,0,0,0,0,0,0,0,0.0524380791576786,0,0,0.0995818381112569,0,0,0,0.00480263739843122,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.00938713798646074,0,0,0,0,0,0,0,0,0,0,0.0607267707472017,0,0,0,0,0.0596001318630161,0,0.120140832008652,0,0.180107244313484,0.0438482604341976,0,0.0443688534429031,0,0,0,0.0536391210855564,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0268560888011445,0,0,0,0,-0.00461601153746253,0.0173843024824967,0,0,0,0,0.00714779197705528,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.314967012765058,0,0,0,0,0,0,0,0,0,0,0.0527986825814056,0,0.154926036896691,0.140845825968472,0.039882828446091,0,0,0,0,0,0,0,0,0.0923543400546324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00362816059756206,0,0,0,0,0,0,0
