,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600010.SH,X600585.SH,X601600.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X601992.SH,X600795.SH,X600688.SH,X002460.SZ,X600362.SH,X600188.SH,X600111.SH,X600516.SH,X600547.SH,X601991.SH,X300072.SZ,X600660.SH,X000898.SZ,X000709.SZ,X600886.SH,X600157.SH,X600027.SH,X600339.SH,X600489.SH,X600808.SH,X000408.SZ,X000959.SZ,X000723.SZ,X600549.SH,X600219.SH,X000983.SZ,X000792.SZ,X002092.SZ,X600352.SH,X000553.SZ,X601699.SH,X601158.SH,X000807.SZ,X000883.SZ,X000630.SZ,X600299.SH,X600008.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600516.SH,0,0,0,0,0,0,-0.437542455837455,0.174368600820168,0,0,0.0942319106396503,0.210534937287785,0,0,0,0,0,0,0,-0.652944707721481,0,0,0,0.12829468096949,0,0,0,0,-0.442179751724932,0,0,0,0,0,0.626684184199474,0,0,0.00381122670861501,0,0,0,0,0,0,0,0,0,0,0,0,-0.000905319624247369,-0.0888380275250863,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263581055223478,0,0.010342941990095,0,0,0,-0.00330435539921105,0,0,0,0,0,0,0,0.609287103952291,0,0,0,0,0,-0.000849870349954579,0,0,0,0.0912455035165956,-5.42101086242752e-20,0,0,0,0,0,-0.0980054687445362,0,0,0,-0.00652783421077989,0.00784519863456818,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123359136241431,0,0.064344067038479,0,0,0,0,0,0,0.0231985787594916,0,0,0,0,0,0,0,0.0808116694199753,0,0,0,0,0.0337805048863119,0,0,0.114030879321134,0.123100091461298,0,0,-0.00676769221612311,0.016692470542149,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0.240672025450803,0,-0.0283831135444979,0,0,-0.0724253815853963,0,0,0,0,0,0,0.267979356268089,-0.030712130597147,0,0,0,0,0,0,0,0,0,-0.359915333873383,0,0,0,-0.148770231962803,0,0,0,0,0,-0.223673100802837,0,-0.00595388571593403,0,0,-0.151717902080948,0,0.313619244277942,0,0,0,0,-1.35525271560688e-20,0.142618402548362,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.168796014364443,0.0784526881549016,0.00961423211701672,0,0.0373254369782505,0,0,0,0,0.0698246814126972,0,0.0490384357578161,-0.151877829547825,0,0,0,0.015303144235546,0,0,0,0,0,0,0,0,-0.0177773317611524,0.0251150333377893,0,0,0,0,0,0,0,0,0,0.0751950196324873,0,0,0,0,0,0,0,0,0.025776255829184,-0.0271361856930659,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0.166600093052074,0,0,0.0222994134564472,0,0,0,0,0,0,0,0,0.0296239361423719,-0.0390686862788839,0,-0.0696417724929489,0,0,0,0,0,0,0,0,0.491842927176428,0,0,0.0323109740464728,0.00940661007796534,0,0,0.0096712688978192,0,0,0,0,0,0,0,0,0,0,0.0679264512335758,0,-0.0216696923929882,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455414817279207,0,0,0,0,0,0.0591670304010213,0,0,0,0,0,0,0.0917542076120537,0,0.183205820437507,0,0.138268868118955,0,0,0.0291302834878597,0.139445221701679,0,0.0415738081726132,0,0,0,0,0,0,0.0228561663938963,0,0,0.00396599620473949,0,0,0,0,0,0,0
X600886.SH,0,0.0379845713774439,0.00498820129342599,0,0,0.11674605072249,0,0.0651627429164453,0,0,0,0,0,0,0,0,0,0,0,0.0616867274700962,0,0.100830639656739,0,-0.057062451320603,0,0,0,0,0.0528191215766025,0,-0.00113568114168034,0,0,-0.0211918716427356,-0.0493241511147555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000869502332266331,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0.0134784544796426,0,0,0,0,0,0,0,0,0,0,0.0665035453970329,0,0,0,0,0,0,0,0,0,0,0,0,0.138160748449544,0,0,0.0043797269680774,0.0202266922006159,0,0.0658911451778392,0.0828638377263279,0,0,0,0,0,0,0,0,0.0580287378235619,0,0,0,0,0.0178075830802706,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0.024888707407576,0,0,0.0327320804724334,0,0,0,0,0,0,-0.0204119786117907,-0.0246001623259653,0,0,0,0,0.124753559341811,0,0,0,0,0,0,0,0,0,0.0261332208663527,0,0,0,0,0,0,0,0,0,0,0,0,0.134906128290672,0,0,0,0,0.00327357351715658,0,0,0,0,0,0
