,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600547.SH,X601600.SH,X600585.SH,X600660.SH,X600886.SH,X600795.SH,X600362.SH,X000792.SZ,X000708.SZ,X002466.SZ,X600027.SH,X002460.SZ,X600010.SH,X600111.SH,X601699.SH,X000301.SZ,X600489.SH,X000983.SZ,X600160.SH,X600803.SH,X600426.SH,X000877.SZ,X601991.SH,X600985.SH,X000933.SZ,X000630.SZ,X000786.SZ,X000807.SZ,X601168.SH,X000408.SZ,X002128.SZ,X600176.SH,X600612.SH,X600219.SH,X000883.SZ,X600096.SH,X000932.SZ,X600348.SH,X601666.SH,X600295.SH,X000027.SZ,X002271.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.270775954930778,0,0,0,0,0,0,0.015609645931731,0.0471446850723127,0,0,0,0,0,0,0,0,0,0,0,-0.00564009079152242,0.0872118665275066,0,0,0,0,0,0,0,0,0.106450612145721,0,0,0,0,0.0640597326439435,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393286817438702,0,0.0466434301088352,-0.0393319006264715,0.0799833970338886,0,0,0,0,0
X601088.SH,0.0236018147641306,0,0,0,0.205608433743454,-3.46944695195361e-18,0.178582252265717,0,0,0,0,0,0,0,0,0,0,0,0,-0.0259281022990152,0,0,0,0,0,0.127511133699242,0,0,0,0,0,0.0290987656583747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778133166711558,0.0659850143517098,0,0,0,0,-0.0272789030994291,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.013676803639972,0,0,0,0,0.0405351173721295,0,0,0,-0.013245274474056,0,-0.146646899156489,0,0,0.000288834659760061,0,0.0943736631304399,0,0.014303598035953,0,0,0,0,0,0,0,0,0,0.155169528002429,0,0,0,0,0,0,0,0.062925157488913,0,0.112052034971688,0,0,-0.0779492303396738,0,0.022215182187648,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.0323585261280767,0,-0.0604621299481291,0,0.0139984765483919,0,0,-0.101196708163776,0,0,0.0457188706357433,0.137914510600844,-0.122872591196657,0.237545276995204,0,0,0.0848800626444934,0,0.307594203908804,0,0,0,0,0,0,0.0209980601747052,0,0,0,0.152157773415437,-0.146130422399513,0,0,0,0,0,0,0,0,0,0,0.0492957809301494,-0.118976528838734,0,0,0,0,0,0
X600188.SH,0,0.00954803960536315,0,0,0,0.199999627841155,0,0,0,0,0,0,0,0,0.00992964971913804,0,0,0,0,0,0,0,0.314968421920083,0,0.0179406186628404,0.0709189335506093,0,0,0,0,0,0,0,0,-0.032543846373882,0,0,0,0.219623437016184,0,0,0,0,0,0,0,0.0270862270993761,0,0,0,0,0,0.000848923282861605,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.53475045624396,0,-0.0112737704116767,0,0.079560691949246,0,0,0,0,0,0,0,0,-0.0696896595310694,0,0,0.420746882266808,0,0,0,0,0,0,0,0,0.278464260313336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0
X600011.SH,0.0218715520313112,0,0,0,0,0.155455493577934,0,0,0,0,0,0,0,0.17723613099296,0,0,0,0,0.235828071099672,0,0,0,0,0,0,0,0,0,0,-0.0124765438953826,0.181969091174806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000997058042218124,0,0,0,0,0,0.0178381525720583,-0.0398427614098807,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.177757954070774,0,0,0,0,0,0,0,0,0.0145949738256347,0.024062986839622,0,0,0,0,0,0,-0.00454867699383977,0,0,0,0,0.035780161952679,0,0,0,0,0,0,0,-0.0107030403591706,0.0473746236435939,0,0,0,0,-0.0287229272728967,0,0,0,0.0807703533290561,0,0,0,0,0,0,-0.011341167984043,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,-0.308355031062768,-0.0380157413503133,0,0,0,0,0,0,0,0,0,0,0,-0.0320891725897049,0,0,0,0,0,0,0.856215358921535,0,0,0,2.16840434497101e-19,0,0,0,0.15546449162663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0631857734119888,0,0.0153055541729464,-0.0174542773402723,-0.0505347809154703,0,0,0,0,0
X601600.SH,0.0678054818754961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206871524899314,-0.0670190235879256,0,0,0,0,0,0,0.0558346966506956,0,0,0,0,0,0.0159517703431862,0,0,0.264744825624235,0.162186109218199,0,0,0.0850171783090632,0.201282701647865,0,0,0,0.0372083210155062,0,0,0,0,-0.047681085709636,0,0,0.000323946435887554,0.286461498302427,0,0,0,0,0
